,card_name,card_num,price,status
0,ファイヤーEX,001/018,180 円,remaining:×
0,ホワイトキュレムEX,008/018,180 円,remaining:×
0,基本炎エネルギー,-,50 円,remaining:×
0,基本水エネルギー,-,50 円,remaining:×
0,ヒトモシ,002/018,50 円,remaining:×
0,キバニア,003/018,30 円,remaining:×
0,サメハダー,004/018,50 円,remaining:×
0,バニプッチ,005/018,30 円,remaining:×
0,バニリッチ,006/018,50 円,remaining:×
0,バイバニラ,007/018,50 円,remaining:×
0,エネコ,009/018,80 円,remaining:×
0,ハイパーボール,010/018,80 円,remaining:×
0,ふしぎなアメ,011/018,80 円,remaining:×
0,ポケモンいれかえ,012/018,50 円,remaining:×
0,ポケモンキャッチャー,013/018,30 円,remaining:×
0,ランダムレシーバー,014/018,320 円,remaining:1pcs
0,アララギ博士,015/018,80 円,remaining:×
0,チェレン,016/018,30 円,remaining:×
0,フウロ,017/018,120 円,remaining:×
0,プラズマエネルギー,018/018,50 円,remaining:×
