,card_name,card_num,price,status
0,ビクティニ,001/021,180 円,remaining:×
0,バオッキー,003/021,80 円,remaining:×
0,エモンガ(キラ),006/021,120 円,remaining:×
0,ビクティニ,009/021,180 円,remaining:×
0,デスカーン(キラ),011/021,80 円,remaining:×
0,タブンネ,014/021,120 円,remaining:×
0,基本炎エネルギー,-,50 円,remaining:×
0,基本雷エネルギー,-,50 円,remaining:×
0,基本超エネルギー,-,50 円,remaining:×
0,バオップ,002/021,30 円,remaining:×
0,メラルバ,004/021,50 円,remaining:×
0,シママ,005/021,50 円,remaining:×
0,エモンガ,006/021,30 円,remaining:×
0,シビシラス,007/021,30 円,remaining:×
0,マッギョ,008/021,50 円,remaining:×
0,デスマス,010/021,30 円,remaining:×
0,デスカーン,011/021,30 円,remaining:×
0,リグレー,012/021,30 円,remaining:×
0,ヒトモシ,013/021,50 円,remaining:×
0,クラッシュハンマー,015/021,80 円,remaining:×
0,げんきのかけら,016/021,50 円,remaining:×
0,スーパーボール,017/021,50 円,remaining:×
0,ポケモンいれかえ,018/021,50 円,remaining:×
0,ポケモンキャッチャー,019/021,30 円,remaining:×
0,チェレン,020/021,30 円,remaining:×
0,ベル,021/021,30 円,remaining:×
