,card_name,card_num,price,status
0,ゾロアーク,056/052,"24,800 円",remaining:×
0,サザンドラ,057/052,"19,800 円",remaining:×
0,シェイミEX,053/052,"4,980 円",remaining:×
0,カイオーガEX,054/052,"9,980 円",remaining:×
0,ミュウツーEX,055/052,"12,800 円",remaining:×
0,シェイミEX,005/052,500 円,remaining:×
0,ハハコモリ,008/052,220 円,remaining:5pcs
0,ファイヤー,009/052,320 円,remaining:×
0,フリーザー,014/052,320 円,remaining:×
0,カイオーガEX,015/052,500 円,remaining:×
0,レントラー,023/052,500 円,remaining:×
0,ミュウツーEX,028/052,780 円,remaining:×
0,ローブシン,036/052,220 円,remaining:1pcs
0,ズルズキン,042/052,220 円,remaining:×
0,チラチーノ,048/052,500 円,remaining:×
0,カイロス,001/052,120 円,remaining:2pcs
0,コロトック,004/052,120 円,remaining:◯
0,バオッキー,011/052,120 円,remaining:8pcs
0,スターミー,013/052,120 円,remaining:10pcs
0,ヒヤッキー,017/052,120 円,remaining:◯
0,ブルンゲル,020/052,120 円,remaining:◯
0,ゼブライカ,025/052,120 円,remaining:10pcs
0,ベトベトン,027/052,120 円,remaining:◯
0,ムシャーナ,030/052,120 円,remaining:9pcs
0,ランクルス,033/052,120 円,remaining:◯
0,コジョンド,038/052,120 円,remaining:◯
0,ダーテング,040/052,120 円,remaining:×
0,ナットレイ,044/052,120 円,remaining:◯
0,ペルシアン,046/052,120 円,remaining:◯
0,レベルボール,049/052,220 円,remaining:×
0,学習装置,050/052,420 円,remaining:×
0,スカイアローブリッジ,051/052,180 円,remaining:×
0,プリズムエネルギー,052/052,"1,480 円",remaining:4pcs
0,タネボー,002/052,80 円,remaining:◯
0,コロボーシ,003/052,80 円,remaining:◯
0,クルミル,006/052,80 円,remaining:◯
0,クルマユ,007/052,80 円,remaining:×
0,バオップ,010/052,80 円,remaining:◯
0,ヒトデマン,012/052,80 円,remaining:6pcs
0,ヒヤップ,016/052,80 円,remaining:◯
0,バスラオ,018/052,80 円,remaining:◯
0,プルリル,019/052,80 円,remaining:◯
0,コリンク,021/052,80 円,remaining:◯
0,ルクシオ,022/052,80 円,remaining:◯
0,シママ,024/052,80 円,remaining:◯
0,ベトベター,026/052,80 円,remaining:◯
0,ムンナ,029/052,80 円,remaining:◯
0,ユニラン,031/052,80 円,remaining:◯
0,ダブラン,032/052,80 円,remaining:◯
0,ドッコラー,034/052,80 円,remaining:◯
0,ドテッコツ,035/052,80 円,remaining:◯
0,コジョフー,037/052,80 円,remaining:◯
0,コノハナ,039/052,80 円,remaining:◯
0,ズルッグ,041/052,80 円,remaining:9pcs
0,テッシード,043/052,80 円,remaining:◯
0,ニャース,045/052,80 円,remaining:×
0,チラーミィ,047/052,80 円,remaining:1pcs
