,card_name,card_num,price,status
0,テラキオン,064/059,"14,800 円",remaining:×
0,チルタリス,065/059,"19,800 円",remaining:×
0,セレビィEX,060/059,"4,980 円",remaining:×
0,ケルディオEX,061/059,"3,980 円",remaining:×
0,ホワイトキュレムEX,062/059,"5,980 円",remaining:×
0,ベル,063/059,"99,800 円",remaining:×
0,モジャンボ,002/059,220 円,remaining:×
0,セレビィEX,004/059,500 円,remaining:×
0,カメックス,014/059,780 円,remaining:×
0,ケルディオEX,019/059,680 円,remaining:3pcs
0,エレキブル,021/059,220 円,remaining:1pcs
0,ヨノワール,026/059,680 円,remaining:×
0,イワパレス,038/059,220 円,remaining:5pcs
0,ハッサム,039/059,320 円,remaining:×
0,ホワイトキュレムEX,041/059,500 円,remaining:1pcs
0,メタモン,042/059,680 円,remaining:×
0,ムーランド,053/059,"1,280 円",remaining:3pcs
0,パソコン通信,058/059,"3,480 円",remaining:×
0,クリスタルエッジ,059/059,220 円,remaining:10pcs
0,ハハコモリ,007/059,120 円,remaining:◯
0,ドレディア,009/059,120 円,remaining:4pcs
0,バクーダ,011/059,120 円,remaining:◯
0,ゴルダック,016/059,120 円,remaining:◯
0,スワンナ,018/059,120 円,remaining:◯
0,デンチュラ,023/059,120 円,remaining:◯
0,サマヨール,025/059,120 円,remaining:◯
0,ドクロッグ,028/059,120 円,remaining:◯
0,ココロモリ,030/059,120 円,remaining:×
0,ソルロック,033/059,120 円,remaining:◯
0,ドテッコツ,035/059,120 円,remaining:◯
0,ローブシン,036/059,120 円,remaining:◯
0,バクオング,046/059,120 円,remaining:◯
0,エネコロロ,048/059,120 円,remaining:◯
0,じてんしゃ,054/059,"1,480 円",remaining:7pcs
0,ピーピーエイド,055/059,180 円,remaining:2pcs
0,フウロ,056/059,180 円,remaining:×
0,ヒオウギシティジム,057/059,180 円,remaining:◯
0,モンジャラ,001/059,80 円,remaining:7pcs
0,ストライク,003/059,80 円,remaining:1pcs
0,クルミル,005/059,80 円,remaining:◯
0,クルマユ,006/059,80 円,remaining:◯
0,チュリネ,008/059,80 円,remaining:10pcs
0,ドンメル,010/059,80 円,remaining:10pcs
0,ゼニガメ,012/059,80 円,remaining:×
0,カメール,013/059,80 円,remaining:×
0,コダック,015/059,80 円,remaining:×
0,コアルヒー,017/059,80 円,remaining:◯
0,エレブー,020/059,80 円,remaining:◯
0,バチュル,022/059,80 円,remaining:◯
0,ヨマワル,024/059,80 円,remaining:◯
0,グレッグル,027/059,80 円,remaining:×
0,コロモリ,029/059,80 円,remaining:◯
0,サンド,031/059,80 円,remaining:9pcs
0,サンドパン,032/059,80 円,remaining:◯
0,ドッコラー,034/059,80 円,remaining:◯
0,イシズマイ,037/059,80 円,remaining:◯
0,エアームド,040/059,80 円,remaining:8pcs
0,ノコッチ,043/059,80 円,remaining:6pcs
0,ゴニョニョ,044/059,80 円,remaining:◯
0,ドゴーム,045/059,80 円,remaining:◯
0,エネコ,047/059,80 円,remaining:8pcs
0,ミネズミ,049/059,80 円,remaining:◯
0,ミルホッグ,050/059,80 円,remaining:◯
0,ヨーテリー,051/059,80 円,remaining:10pcs
0,ハーデリア,052/059,80 円,remaining:◯
