,card_name,card_num,price,status
0,ダストダス,056/051,"19,800 円",remaining:×
0,ガブリアス,057/051,"39,800 円",remaining:×
0,まんたんのくすり,058/051,"3,980 円",remaining:×
0,ボルトロスEX,052/051,"3,980 円",remaining:×
0,ラティアスEX,053/051,"9,980 円",remaining:×
0,トルネロスEX,054/051,"1,980 円",remaining:×
0,アララギ博士,055/051,"59,800 円",remaining:×
0,レシラム,008/051,320 円,remaining:×
0,キュレム,016/051,500 円,remaining:×
0,マルマイン,018/051,420 円,remaining:2pcs
0,ボルトロスEX,020/051,680 円,remaining:6pcs
0,メタグロス,027/051,320 円,remaining:×
0,ブラッキー,031/051,"2,480 円",remaining:×
0,サザンドラ,036/051,320 円,remaining:4pcs
0,カイリュー,040/051,420 円,remaining:×
0,ラティアスEX,041/051,780 円,remaining:×
0,トルネロスEX,046/051,500 円,remaining:1pcs
0,いのちのしずく,050/051,420 円,remaining:×
0,スピアー,003/051,120 円,remaining:◯
0,ノクタス,005/051,120 円,remaining:◯
0,リーフィア,006/051,320 円,remaining:×
0,ブースター,007/051,320 円,remaining:×
0,シャワーズ,009/051,320 円,remaining:×
0,ヌオー,011/051,120 円,remaining:×
0,バイバニラ,014/051,120 円,remaining:◯
0,フリージオ,015/051,120 円,remaining:◯
0,ベトベトン,024/051,120 円,remaining:◯
0,ニドキング,028/051,120 円,remaining:◯
0,キリキザン,033/051,120 円,remaining:◯
0,ムクホーク,045/051,120 円,remaining:◯
0,プラズマ団のモンスターボール,047/051,120 円,remaining:9pcs
0,かるいし,048/051,"1,280 円",remaining:5pcs
0,ダークトリニティ,049/051,120 円,remaining:◯
0,プラズマエネルギー,051/051,120 円,remaining:◯
0,ビードル,001/051,80 円,remaining:◯
0,コクーン,002/051,80 円,remaining:◯
0,サボネア,004/051,80 円,remaining:◯
0,ウパー,010/051,80 円,remaining:2pcs
0,バニプッチ,012/051,80 円,remaining:◯
0,バニリッチ,013/051,80 円,remaining:◯
0,ビリリダマ,017/051,80 円,remaining:◯
0,パチリス,019/051,80 円,remaining:×
0,ニドラン♂,021/051,80 円,remaining:◯
0,ニドリーノ,022/051,80 円,remaining:◯
0,ベトベター,023/051,80 円,remaining:◯
0,ダンバル,025/051,80 円,remaining:◯
0,メタング,026/051,80 円,remaining:8pcs
0,マクノシタ,029/051,80 円,remaining:◯
0,ハリテヤマ,030/051,80 円,remaining:◯
0,コマタナ,032/051,80 円,remaining:10pcs
0,モノズ,034/051,80 円,remaining:◯
0,ジヘッド,035/051,80 円,remaining:8pcs
0,クチート,037/051,80 円,remaining:7pcs
0,ミニリュウ,038/051,80 円,remaining:×
0,ハクリュー,039/051,80 円,remaining:1pcs
0,イーブイ,042/051,220 円,remaining:1pcs
0,ムックル,043/051,80 円,remaining:◯
0,ムクバード,044/051,80 円,remaining:◯
