,card_name,card_num,price,status
0,ツタージャ(ツタージャ|キラ),001/037,80 円,remaining:×
0,ジャローダ(ツタージャ|キラ),003/037,80 円,remaining:×
0,ポカブ(ポカブ|キラ),006/037,80 円,remaining:×
0,エンブオー(ポカブ|キラ),008/037,80 円,remaining:×
0,ミジュマル(ミジュマル|キラ),011/037,80 円,remaining:×
0,ダイケンキ(ミジュマル|キラ),013/037,80 円,remaining:×
0,基本闘エネルギー(ツタージャ),-,50 円,remaining:×
0,基本超エネルギー(ミジュマル),-,50 円,remaining:×
0,基本雷エネルギー(ポカブ),-,50 円,remaining:×
0,基本水エネルギー(ミジュマル),-,50 円,remaining:×
0,基本炎エネルギー(ポカブ),-,50 円,remaining:×
0,基本草エネルギー(ツタージャ),-,50 円,remaining:×
0,ツタージャ(ツタージャ),001/037,30 円,remaining:×
0,ジャノビー(ツタージャ),002/037,30 円,remaining:×
0,ジャローダ(ツタージャ),003/037,50 円,remaining:×
0,ヤナップ(ポカブ),004/037,30 円,remaining:×
0,マラカッチ(ツタージャ),005/037,30 円,remaining:×
0,ポカブ(ポカブ),006/037,30 円,remaining:×
0,チャオブー(ポカブ),007/037,30 円,remaining:×
0,エンブオー(ポカブ),008/037,50 円,remaining:×
0,バオップ(ミジュマル),009/037,30 円,remaining:×
0,ダルマッカ(ポカブ),010/037,50 円,remaining:×
0,ミジュマル(ミジュマル),011/037,30 円,remaining:×
0,フタチマル(ミジュマル),012/037,30 円,remaining:×
0,ダイケンキ(ミジュマル),013/037,50 円,remaining:×
0,ヒヤップ(ツタージャ),014/037,30 円,remaining:×
0,バスラオ(ミジュマル),015/037,30 円,remaining:×
0,ママンボウ(ミジュマル),016/037,50 円,remaining:×
0,シママ(ポカブ),017/037,30 円,remaining:×
0,ゼブライカ(ポカブ),018/037,30 円,remaining:1pcs
0,バチュル(ポカブ),019/037,30 円,remaining:×
0,コロモリ(ミジュマル),020/037,30 円,remaining:×
0,フシデ(ミジュマル),021/037,30 円,remaining:×
0,ホイーガ(ミジュマル),022/037,30 円,remaining:×
0,ドッコラー(ツタージャ),023/037,50 円,remaining:×
0,メグロコ(ツタージャ),024/037,30 円,remaining:×
0,ワルビル(ツタージャ),025/037,30 円,remaining:×
0,ミネズミ(ツタージャ),026/037,30 円,remaining:×
0,ヨーテリー(ミジュマル),027/037,30 円,remaining:×
0,タブンネ(ポカブ),028/037,50 円,remaining:×
0,チラーミィ(ツタージャ),029/037,50 円,remaining:×
0,バッフロン(ポカブ),030/037,50 円,remaining:×
0,エネルギー回収(ポカブ),031/037,320 円,remaining:×
0,エネルギーつけかえ(ミジュマル),032/037,120 円,remaining:×
0,きずぐすり(ツタージャ),033/037,30 円,remaining:×
0,きずぐすり(ポカブ),033/037,30 円,remaining:3pcs
0,きずぐすり(ミジュマル),033/037,30 円,remaining:×
0,スーパーポケモン回収(ツタージャ),034/037,50 円,remaining:×
0,ポケモンいれかえ(ツタージャ),035/037,50 円,remaining:×
0,ポケモンいれかえ(ポカブ),035/037,50 円,remaining:×
0,ポケモンいれかえ(ミジュマル),035/037,50 円,remaining:×
0,ポケモン図鑑(ツタージャ),036/037,30 円,remaining:×
0,ポケモン図鑑(ポカブ),036/037,30 円,remaining:×
0,ポケモン図鑑(ミジュマル),036/037,30 円,remaining:×
0,モンスターボール(ツタージャ),037/037,120 円,remaining:×
0,モンスターボール(ポカブ),037/037,120 円,remaining:×
0,モンスターボール(ミジュマル),037/037,120 円,remaining:×
