,card_name,card_num,price,status
0,基本草エネルギー(SS旧デザイン),-,30 円,remaining:◯
0,基本炎エネルギー(SS旧デザイン),-,30 円,remaining:◯
0,基本水エネルギー(SS旧デザイン),-,30 円,remaining:3pcs
0,基本雷エネルギー(SS旧デザイン),-,30 円,remaining:◯
0,基本超エネルギー(SS旧デザイン),-,30 円,remaining:◯
0,基本闘エネルギー(SS旧デザイン),-,30 円,remaining:◯
0,基本悪エネルギー(SS旧デザイン),-,30 円,remaining:◯
0,基本鋼エネルギー(SS旧デザイン),-,30 円,remaining:◯
0,基本フェアリーエネルギー(SS旧デザイン),-,30 円,remaining:◯
0,基本草エネルギー(SS新デザイン),-,30 円,remaining:◯
0,基本炎エネルギー(SS新デザイン),-,30 円,remaining:◯
0,基本水エネルギー(SS新デザイン),-,30 円,remaining:◯
0,基本雷エネルギー(SS新デザイン),-,30 円,remaining:◯
0,基本超エネルギー(SS新デザイン),-,30 円,remaining:◯
0,基本闘エネルギー(SS新デザイン),-,30 円,remaining:◯
0,基本悪エネルギー(SS新デザイン),-,30 円,remaining:◯
0,基本鋼エネルギー(SS新デザイン),-,30 円,remaining:◯
