,card_name,card_num,price,status
0,はくばバドレックスVMAX,278/184,980 円,remaining:9pcs
0,ピカチュウVMAX,279/184,"4,980 円",remaining:10pcs
0,ミュウVMAX,280/184,"3,980 円",remaining:◯
0,こくばバドレックスVMAX,281/184,980 円,remaining:◯
0,いちげきウーラオスVMAX,282/184,980 円,remaining:4pcs
0,れんげきウーラオスVMAX,283/184,980 円,remaining:3pcs
0,レックウザVMAX,284/184,"2,980 円",remaining:8pcs
0,ジュラルドンVMAX,285/184,780 円,remaining:10pcs
0,コロトックV,213/184,880 円,remaining:×
0,イオルブV,214/184,880 円,remaining:3pcs
0,イオルブVMAX,215/184,880 円,remaining:×
0,バシャーモV,216/184,"1,480 円",remaining:◯
0,バシャーモVMAX,217/184,"1,480 円",remaining:5pcs
0,マルヤクデV,218/184,880 円,remaining:×
0,マルヤクデVMAX,219/184,880 円,remaining:×
0,はくばバドレックスV,220/184,880 円,remaining:×
0,はくばバドレックスVMAX,221/184,880 円,remaining:×
0,ピカチュウV,222/184,"3,980 円",remaining:◯
0,ピカチュウVMAX,223/184,"6,980 円",remaining:5pcs
0,ゼラオラV,224/184,"1,480 円",remaining:7pcs
0,パルスワンV,225/184,980 円,remaining:5pcs
0,モルペコV-UNION(左上),226/184,420 円,remaining:4pcs
0,モルペコV-UNION(右上),227/184,"1,480 円",remaining:9pcs
0,モルペコV-UNION(左下),228/184,420 円,remaining:5pcs
0,モルペコV-UNION(右下),229/184,420 円,remaining:4pcs
0,ガラルフリーザーV,230/184,880 円,remaining:×
0,ニンフィアV,231/184,"2,480 円",remaining:◯
0,ニンフィアVMAX,232/184,"4,980 円",remaining:2pcs
0,ミミッキュV,233/184,"2,480 円",remaining:8pcs
0,ミミッキュVMAX,234/184,"6,980 円",remaining:◯
0,こくばバドレックスV,235/184,880 円,remaining:×
0,こくばバドレックスVMAX,236/184,880 円,remaining:3pcs
0,ガラルサンダーV,237/184,880 円,remaining:×
0,いちげきウーラオスV,238/184,880 円,remaining:×
0,いちげきウーラオスVMAX,239/184,880 円,remaining:×
0,れんげきウーラオスV,240/184,880 円,remaining:×
0,れんげきウーラオスVMAX,241/184,880 円,remaining:×
0,ガラルファイヤーV,242/184,980 円,remaining:2pcs
0,クロバットV,243/184,980 円,remaining:6pcs
0,ブラッキーV,244/184,"2,980 円",remaining:◯
0,ブラッキーVMAX,245/184,"4,980 円",remaining:×
0,ムゲンダイナV,246/184,880 円,remaining:×
0,ムゲンダイナVMAX,247/184,980 円,remaining:×
0,アーマーガアV,248/184,880 円,remaining:×
0,アーマーガアVMAX,249/184,880 円,remaining:×
0,ザシアンV,250/184,980 円,remaining:2pcs
0,ザマゼンタV,251/184,880 円,remaining:×
0,レックウザVMAX,252/184,"3,480 円",remaining:6pcs
0,ジュラルドンVMAX,253/184,980 円,remaining:◯
0,ハピナスV,254/184,"1,280 円",remaining:7pcs
0,アセロラの予感,255/184,"17,800 円",remaining:6pcs
0,オニオン,256/184,780 円,remaining:9pcs
0,カブ,257/184,780 円,remaining:3pcs
0,ガラルの仲間たち,258/184,"12,800 円",remaining:6pcs
0,キバナ,259/184,780 円,remaining:◯
0,コック,260/184,680 円,remaining:5pcs
0,サイトウ,261/184,"2,980 円",remaining:8pcs
0,ジャッジマン,262/184,980 円,remaining:1pcs
0,ソッドとシルディ,263/184,680 円,remaining:5pcs
0,ネズ,264/184,680 円,remaining:5pcs
0,バーネット博士,265/184,"1,280 円",remaining:9pcs
0,博士の研究[アララギ博士],266/184,"1,480 円",remaining:2pcs
0,冒険家の発見,267/184,"1,280 円",remaining:◯
0,ボスの指令[フラダリ],268/184,980 円,remaining:1pcs
0,ポプラ,269/184,680 円,remaining:2pcs
0,マクワ,270/184,680 円,remaining:3pcs
0,マスター,271/184,680 円,remaining:2pcs
0,マスタード いちげきのかた,272/184,680 円,remaining:1pcs
0,マスタード れんげきのかた,273/184,680 円,remaining:4pcs
0,メロン,274/184,"1,280 円",remaining:◯
0,ヤロー,275/184,680 円,remaining:2pcs
0,ユウリ,276/184,"17,800 円",remaining:2pcs
0,ルリナ,277/184,"3,480 円",remaining:×
0,ユキノオー,185/184,180 円,remaining:◯
0,アップリュー,186/184,180 円,remaining:◯
0,リザードン,187/184,780 円,remaining:◯
0,ブースター,188/184,500 円,remaining:◯
0,シャワーズ,189/184,500 円,remaining:◯
0,キングドラ,190/184,320 円,remaining:◯
0,オクタン,191/184,180 円,remaining:◯
0,モスノウ,192/184,220 円,remaining:◯
0,サンダース,193/184,500 円,remaining:◯
0,モココ,194/184,680 円,remaining:◯
0,ゼクロム,195/184,420 円,remaining:◯
0,サーナイト,196/184,320 円,remaining:◯
0,ジュペッタ,197/184,180 円,remaining:×
0,ヨノワール,198/184,180 円,remaining:◯
0,カラマネロ,199/184,180 円,remaining:◯
0,デデンネ,200/184,320 円,remaining:◯
0,マホイップ,201/184,180 円,remaining:◯
0,イワンコ,202/184,180 円,remaining:6pcs
0,ナゲツケサル,203/184,180 円,remaining:◯
0,タイレーツ,204/184,320 円,remaining:◯
0,アリアドス,205/184,180 円,remaining:◯
0,ヘルガー,206/184,180 円,remaining:◯
0,ガラルタチフサグマ,207/184,180 円,remaining:◯
0,ドータクン,208/184,180 円,remaining:◯
0,クリムガン,209/184,220 円,remaining:◯
0,イーブイ,210/184,500 円,remaining:1pcs
0,ポワルン,211/184,180 円,remaining:◯
0,ヤレユータン,212/184,180 円,remaining:◯
0,イオルブVMAX,011/184,120 円,remaining:◯
0,バシャーモVMAX,020/184,120 円,remaining:×
0,マルヤクデVMAX,023/184,80 円,remaining:◯
0,はくばバドレックスVMAX,044/184,80 円,remaining:◯
0,ピカチュウVMAX,046/184,180 円,remaining:×
0,モルペコV-UNION(左上),056/184,30 円,remaining:◯
0,モルペコV-UNION(右上),057/184,30 円,remaining:10pcs
0,モルペコV-UNION(左下),058/184,30 円,remaining:◯
0,モルペコV-UNION(右下),059/184,30 円,remaining:◯
0,ニンフィアVMAX,075/184,180 円,remaining:◯
0,ミミッキュVMAX,077/184,180 円,remaining:◯
0,こくばバドレックスVMAX,083/184,120 円,remaining:◯
0,いちげきウーラオスVMAX,093/184,80 円,remaining:◯
0,れんげきウーラオスVMAX,095/184,80 円,remaining:◯
0,ブラッキーVMAX,101/184,180 円,remaining:◯
0,ムゲンダイナVMAX,110/184,120 円,remaining:◯
0,アーマーガアVMAX,116/184,80 円,remaining:◯
0,レックウザVMAX,120/184,120 円,remaining:◯
0,ジュラルドンVMAX,123/184,80 円,remaining:◯
0,コロトックV,004/184,80 円,remaining:◯
0,イオルブV,010/184,80 円,remaining:◯
0,バシャーモV,019/184,80 円,remaining:◯
0,マルヤクデV,022/184,80 円,remaining:◯
0,はくばバドレックスV,043/184,80 円,remaining:◯
0,ピカチュウV,045/184,120 円,remaining:◯
0,ゼラオラV,054/184,80 円,remaining:◯
0,パルスワンV,055/184,80 円,remaining:◯
0,ガラルフリーザーV,060/184,120 円,remaining:◯
0,ニンフィアV,074/184,80 円,remaining:◯
0,ミミッキュV,076/184,80 円,remaining:◯
0,こくばバドレックスV,082/184,120 円,remaining:◯
0,ガラルサンダーV,084/184,80 円,remaining:◯
0,いちげきウーラオスV,092/184,80 円,remaining:◯
0,れんげきウーラオスV,094/184,80 円,remaining:◯
0,ガラルファイヤーV,096/184,80 円,remaining:◯
0,クロバットV,099/184,120 円,remaining:◯
0,ブラッキーV,100/184,120 円,remaining:◯
0,ムゲンダイナV,109/184,80 円,remaining:◯
0,アーマーガアV,115/184,80 円,remaining:◯
0,ザシアンV,117/184,80 円,remaining:◯
0,ザマゼンタV,118/184,80 円,remaining:◯
0,レックウザV,119/184,80 円,remaining:◯
0,ジュラルドンV,122/184,80 円,remaining:◯
0,ハピナスV,127/184,80 円,remaining:◯
