,card_name,card_num,price,status
0,基本炎エネルギー(ミラー仕様),-,180 円,remaining:×
0,ロコン(ミラー仕様),001/023,120 円,remaining:×
0,キュウコン(ミラー仕様),002/023,180 円,remaining:×
0,ビクティニV,003/023,80 円,remaining:◯
0,クイタラン(ミラー仕様),004/023,80 円,remaining:×
0,バクガメス(ミラー仕様),005/023,80 円,remaining:×
0,ヒバニー(R仕様),006/023,80 円,remaining:◯
0,ヒバニー(ミラー仕様),006/023,120 円,remaining:×
0,ラビフット(R仕様),007/023,80 円,remaining:5pcs
0,ラビフット(ミラー仕様),007/023,80 円,remaining:×
0,エースバーン(R仕様),008/023,80 円,remaining:4pcs
0,エースバーン(ミラー仕様),008/023,80 円,remaining:×
0,ヤクデ(ミラー仕様),009/023,80 円,remaining:×
0,チラーミィ(ミラー仕様),010/023,320 円,remaining:×
0,エネルギー転送(ミラー仕様),011/023,120 円,remaining:×
0,クラッシュハンマー(ミラー仕様),012/023,180 円,remaining:×
0,しんかのおこう(ミラー仕様),013/023,980 円,remaining:×
0,スーパーボール(ミラー仕様),014/023,80 円,remaining:×
0,ふしぎなアメ(ミラー仕様),015/023,220 円,remaining:×
0,ポケギア3.0(ミラー仕様),016/023,500 円,remaining:×
0,ポケモンいれかえ(ミラー仕様),017/023,120 円,remaining:4pcs
0,ポケモンキャッチャー(ミラー仕様),018/023,120 円,remaining:×
0,げんきのハチマキ(ミラー仕様),019/023,500 円,remaining:×
0,博士の研究[マグノリア博士](ミラー仕様),020/023,120 円,remaining:3pcs
0,ポケモンごっこ(ミラー仕様),021/023,80 円,remaining:×
0,ホップ(ミラー仕様),022/023,80 円,remaining:×
0,マリィ(ミラー仕様),023/023,500 円,remaining:×
0,ロコン,001/023,50 円,remaining:×
0,キュウコン,002/023,80 円,remaining:×
0,クイタラン,004/023,30 円,remaining:◯
0,バクガメス,005/023,30 円,remaining:◯
0,ヒバニー,006/023,50 円,remaining:8pcs
0,ラビフット,007/023,30 円,remaining:×
0,エースバーン,008/023,30 円,remaining:×
0,ヤクデ,009/023,30 円,remaining:◯
0,チラーミィ,010/023,80 円,remaining:×
0,エネルギー転送,011/023,80 円,remaining:×
0,クラッシュハンマー,012/023,80 円,remaining:10pcs
0,しんかのおこう,013/023,80 円,remaining:8pcs
0,スーパーボール,014/023,50 円,remaining:◯
0,ふしぎなアメ,015/023,80 円,remaining:2pcs
0,ポケギア3.0,016/023,120 円,remaining:◯
0,ポケモンいれかえ,017/023,50 円,remaining:◯
0,ポケモンキャッチャー,018/023,30 円,remaining:◯
0,げんきのハチマキ,019/023,180 円,remaining:5pcs
0,博士の研究[マグノリア博士],020/023,80 円,remaining:◯
0,ポケモンごっこ,021/023,30 円,remaining:◯
0,ホップ,022/023,30 円,remaining:◯
0,マリィ,023/023,80 円,remaining:◯
