,card_name,card_num,price,status
0,基本草エネルギー(ミラー仕様),-,120 円,remaining:×
0,セレビィV,001/023,180 円,remaining:◯
0,ロゼリア(ミラー仕様),002/023,80 円,remaining:×
0,モンメン(ミラー仕様),003/023,220 円,remaining:3pcs
0,エルフーン(ミラー仕様),004/023,680 円,remaining:×
0,アイアント(ミラー仕様),005/023,80 円,remaining:×
0,サルノリ(R仕様),006/023,120 円,remaining:×
0,サルノリ(ミラー仕様),006/023,180 円,remaining:×
0,バチンキー(R仕様),007/023,80 円,remaining:2pcs
0,バチンキー(ミラー仕様),007/023,80 円,remaining:×
0,ゴリランダー(R仕様),008/023,80 円,remaining:×
0,ゴリランダー(ミラー仕様),008/023,80 円,remaining:×
0,サッチムシ(ミラー仕様),009/023,320 円,remaining:×
0,カビゴン(ミラー仕様),010/023,500 円,remaining:×
0,エネルギー転送(ミラー仕様),011/023,120 円,remaining:×
0,きずぐすり(ミラー仕様),012/023,80 円,remaining:×
0,クイックボール(ミラー仕様),013/023,"1,480 円",remaining:×
0,スーパーボール(ミラー仕様),014/023,80 円,remaining:×
0,ポケギア3.0(ミラー仕様),015/023,500 円,remaining:×
0,ポケモンいれかえ(ミラー仕様),016/023,120 円,remaining:3pcs
0,ポケモンキャッチャー(ミラー仕様),017/023,120 円,remaining:×
0,大きなおまもり(ミラー仕様),018/023,680 円,remaining:1pcs
0,博士の研究[マグノリア博士](ミラー仕様),019/023,120 円,remaining:◯
0,ポケモンごっこ(ミラー仕様),020/023,80 円,remaining:×
0,ポケモンセンターのお姉さん(ミラー仕様),021/023,420 円,remaining:×
0,ホップ(ミラー仕様),022/023,80 円,remaining:4pcs
0,マリィ(ミラー仕様),023/023,500 円,remaining:×
0,ロゼリア,002/023,30 円,remaining:◯
0,モンメン,003/023,120 円,remaining:9pcs
0,エルフーン,004/023,180 円,remaining:◯
0,アイアント,005/023,30 円,remaining:◯
0,サルノリ,006/023,80 円,remaining:×
0,バチンキー,007/023,30 円,remaining:9pcs
0,ゴリランダー,008/023,30 円,remaining:◯
0,サッチムシ,009/023,180 円,remaining:×
0,カビゴン,010/023,500 円,remaining:1pcs
0,エネルギー転送,011/023,80 円,remaining:×
0,きずぐすり,012/023,30 円,remaining:◯
0,クイックボール,013/023,180 円,remaining:7pcs
0,スーパーボール,014/023,50 円,remaining:◯
0,ポケギア3.0,015/023,120 円,remaining:6pcs
0,ポケモンいれかえ,016/023,50 円,remaining:◯
0,ポケモンキャッチャー,017/023,30 円,remaining:10pcs
0,大きなおまもり,018/023,120 円,remaining:◯
0,博士の研究[マグノリア博士],019/023,80 円,remaining:◯
0,ポケモンごっこ,020/023,30 円,remaining:◯
0,ポケモンセンターのお姉さん,021/023,180 円,remaining:×
0,ホップ,022/023,30 円,remaining:◯
0,マリィ,023/023,80 円,remaining:10pcs
