,card_name,card_num,price,status
0,エネルギー回収,001/024,420 円,remaining:×
0,エネルギーつけかえ,002/024,120 円,remaining:10pcs
0,クイックボール,003/024,180 円,remaining:◯
0,しんかのおこう,004/024,80 円,remaining:◯
0,ふしぎなアメ,005/024,80 円,remaining:3pcs
0,ポケギア3.0,006/024,120 円,remaining:7pcs
0,ポケモンいれかえ,007/024,50 円,remaining:6pcs
0,ポケモンキャッチャー,008/024,30 円,remaining:◯
0,博士の研究[マグノリア博士],009/024,80 円,remaining:◯
0,ビート,010/024,50 円,remaining:◯
0,マリィ,011/024,80 円,remaining:7pcs
0,いれかえフロート,012/024,120 円,remaining:2pcs
0,エレキパワー,013/024,80 円,remaining:◯
0,ダートじてんしゃ,014/024,120 円,remaining:◯
0,ネットボール,015/024,180 円,remaining:1pcs
0,ポケモン通信,016/024,180 円,remaining:9pcs
0,鋼鉄のフライパン,017/024,80 円,remaining:×
0,エリカのおもてなし,018/024,120 円,remaining:×
0,シロナ,019/024,80 円,remaining:×
0,ブルーの探索,020/024,120 円,remaining:◯
0,溶接工,021/024,180 円,remaining:×
0,レッドの挑戦,022/024,50 円,remaining:◯
0,格闘道場,023/024,50 円,remaining:4pcs
0,トリプル加速エネルギー,024/024,120 円,remaining:◯
