,card_name,card_num,price,status
0,フシギバナV,001/127,220 円,remaining:×
0,ビードル,002/127,30 円,remaining:×
0,コクーン,003/127,30 円,remaining:◯
0,スピアー,004/127,50 円,remaining:9pcs
0,ヘラクロス,005/127,30 円,remaining:◯
0,ユキカブリ,006/127,30 円,remaining:◯
0,ユキノオー,007/127,30 円,remaining:◯
0,ヒメンカ,008/127,120 円,remaining:×
0,ワタシラガ,009/127,30 円,remaining:×
0,ロコン,010/127,50 円,remaining:×
0,キュウコン,011/127,30 円,remaining:×
0,ポニータ,012/127,30 円,remaining:◯
0,ギャロップ,013/127,30 円,remaining:◯
0,エンテイ,014/127,30 円,remaining:◯
0,ガオガエンV,015/127,120 円,remaining:×
0,ヒバニー,016/127,30 円,remaining:×
0,ヤクデ,017/127,30 円,remaining:◯
0,マルヤクデ,018/127,50 円,remaining:◯
0,クラブ,019/127,30 円,remaining:◯
0,キャモメ,020/127,30 円,remaining:◯
0,ペリッパー,021/127,30 円,remaining:◯
0,キバニア,022/127,30 円,remaining:◯
0,サメハダー,023/127,50 円,remaining:×
0,ホエルオーV,024/127,220 円,remaining:1pcs
0,カムカメ,025/127,30 円,remaining:◯
0,カジリガメ,026/127,30 円,remaining:◯
0,ウッウ,027/127,30 円,remaining:8pcs
0,ピカチュウV,028/127,120 円,remaining:×
0,エレブー,029/127,30 円,remaining:×
0,メリープ,030/127,50 円,remaining:7pcs
0,モココ,031/127,30 円,remaining:◯
0,デンリュウ,032/127,80 円,remaining:◯
0,エリキテル,033/127,30 円,remaining:◯
0,エレザード,034/127,30 円,remaining:◯
0,ワンパチ,035/127,30 円,remaining:◯
0,パルスワン,036/127,50 円,remaining:×
0,バチンウニ,037/127,50 円,remaining:3pcs
0,ミュウV,038/127,220 円,remaining:×
0,ネイティ,039/127,30 円,remaining:◯
0,ネイティオ,040/127,30 円,remaining:×
0,ブルー,041/127,30 円,remaining:◯
0,グランブル,042/127,30 円,remaining:◯
0,ガラルサニーゴ,043/127,30 円,remaining:×
0,ミブリム,044/127,30 円,remaining:◯
0,テブリム,045/127,30 円,remaining:◯
0,ブリムオン,046/127,50 円,remaining:×
0,イエッサン,047/127,30 円,remaining:◯
0,エビワラー,048/127,30 円,remaining:9pcs
0,グラードン,049/127,30 円,remaining:×
0,ルカリオV,050/127,220 円,remaining:×
0,ヤンチャム,051/127,30 円,remaining:◯
0,ゴロンダ,052/127,30 円,remaining:◯
0,イワンコ,053/127,30 円,remaining:×
0,ルガルガン,054/127,50 円,remaining:×
0,スナヘビ,055/127,30 円,remaining:◯
0,サダイジャ,056/127,30 円,remaining:◯
0,アーボ,057/127,30 円,remaining:◯
0,アーボック,058/127,50 円,remaining:×
0,ガラルヤドランV,059/127,420 円,remaining:×
0,ベトベター,060/127,30 円,remaining:×
0,スコルピ,061/127,30 円,remaining:◯
0,ドラピオン,062/127,30 円,remaining:×
0,ヤブクロン,063/127,30 円,remaining:×
0,ベロバー,064/127,30 円,remaining:◯
0,ギモー,065/127,30 円,remaining:◯
0,オーロンゲ,066/127,30 円,remaining:×
0,クチート,067/127,30 円,remaining:◯
0,メルタン,068/127,30 円,remaining:5pcs
0,メルメタル,069/127,50 円,remaining:◯
0,アーマーガア,070/127,30 円,remaining:◯
0,ゾウドウ,071/127,30 円,remaining:◯
0,ダイオウドウ,072/127,30 円,remaining:◯
0,ジュラルドンV,073/127,780 円,remaining:×
0,ケンタロス,074/127,30 円,remaining:◯
0,イーブイV,075/127,220 円,remaining:×
