,card_name,card_num,price,status
0,基本草エネルギー(キラ),-,80 円,remaining:◯
0,基本炎エネルギー(キラ),-,80 円,remaining:◯
0,基本水エネルギー(キラ),-,80 円,remaining:3pcs
0,基本雷エネルギー(キラ),-,80 円,remaining:◯
0,基本超エネルギー(キラ),-,120 円,remaining:◯
0,基本闘エネルギー(キラ),-,80 円,remaining:◯
0,基本悪エネルギー(キラ),-,80 円,remaining:×
0,基本鋼エネルギー(キラ),-,80 円,remaining:◯
0,ヤンヤンマ(キラ),005/414,80 円,remaining:◯
0,メガヤンマ(キラ),006/414,80 円,remaining:◯
0,ヘラクロス(キラ),007/414,120 円,remaining:1pcs
0,トロピウス(キラ),013/414,80 円,remaining:1pcs
0,コロトックV(キラ),014/414,120 円,remaining:4pcs
0,リーフィアV(キラ),017/414,120 円,remaining:4pcs
0,カブルモ(キラ),025/414,80 円,remaining:2pcs
0,オーロットV(キラ),028/414,120 円,remaining:5pcs
0,オーロットVMAX(キラ),029/414,120 円,remaining:3pcs
0,タルップルV(キラ),042/414,120 円,remaining:1pcs
0,ザルードV(キラ),045/414,420 円,remaining:◯
0,ロコン(キラ),046/414,120 円,remaining:6pcs
0,キュウコン(キラ),047/414,120 円,remaining:5pcs
0,ブースターV(キラ),051/414,120 円,remaining:×
0,マグマッグ(キラ),053/414,80 円,remaining:×
0,マグカルゴ(キラ),054/414,80 円,remaining:8pcs
0,エンテイV(キラ),056/414,420 円,remaining:2pcs
0,コータス(キラ),058/414,80 円,remaining:9pcs
0,バオッキーV(キラ),063/414,120 円,remaining:9pcs
0,エンニュート(キラ),069/414,220 円,remaining:◯
0,エースバーンV(キラ),073/414,120 円,remaining:6pcs
0,コダック(キラ),076/414,80 円,remaining:×
0,ゴルダック(キラ),077/414,80 円,remaining:8pcs
0,キングラーV(キラ),080/414,120 円,remaining:×
0,キングラーVMAX(キラ),081/414,580 円,remaining:×
0,ヒトデマン(キラ),085/414,80 円,remaining:1pcs
0,シャワーズV(キラ),087/414,120 円,remaining:×
0,マンタイン(キラ),091/414,80 円,remaining:◯
0,スイクンV(キラ),092/414,180 円,remaining:×
0,ラグラージ(キラ),095/414,120 円,remaining:×
0,エンペルトV(キラ),100/414,500 円,remaining:◯
0,ブイゼル(キラ),101/414,80 円,remaining:×
0,フローゼル(キラ),102/414,80 円,remaining:5pcs
0,グレイシアV(キラ),103/414,120 円,remaining:×
0,グレイシアVMAX(キラ),104/414,120 円,remaining:×
0,ウデッポウ(キラ),108/414,80 円,remaining:5pcs
0,ブロスター(キラ),109/414,80 円,remaining:2pcs
0,ハギギシリ(キラ),114/414,80 円,remaining:3pcs
0,カムカメ(キラ),120/414,80 円,remaining:8pcs
0,カジリガメ(キラ),121/414,80 円,remaining:2pcs
0,コオリッポ(キラ),123/414,80 円,remaining:×
0,ピカチュウ(キラ),127/414,120 円,remaining:×
0,ライチュウ(キラ),128/414,120 円,remaining:◯
0,ピカチュウV(キラ),129/414,320 円,remaining:×
0,サンダースV(キラ),130/414,120 円,remaining:6pcs
0,ライコウV(キラ),137/414,320 円,remaining:×
0,プラスル(キラ),138/414,120 円,remaining:×
0,マイナン(キラ),139/414,120 円,remaining:4pcs
0,パチリス(キラ),143/414,80 円,remaining:2pcs
0,エモンガ(キラ),144/414,120 円,remaining:9pcs
0,エリキテル(キラ),147/414,80 円,remaining:◯
0,エレザード(キラ),148/414,80 円,remaining:◯
0,ワンパチ(キラ),153/414,180 円,remaining:◯
0,パルスワンV(キラ),155/414,180 円,remaining:◯
0,ストリンダー(キラ),158/414,80 円,remaining:1pcs
0,モルペコ(キラ),159/414,120 円,remaining:9pcs
0,ガラルヤドン(キラ),164/414,80 円,remaining:×
0,スターミー(キラ),167/414,80 円,remaining:1pcs
0,ガラルフリーザーV(キラ),169/414,120 円,remaining:×
0,ミュウツー(キラ),170/414,220 円,remaining:◯
0,ミュウ(キラ),171/414,500 円,remaining:1pcs
0,クレセリア(キラ),182/414,120 円,remaining:1pcs
0,シンボラー(キラ),185/414,80 円,remaining:6pcs
0,ニンフィアV(キラ),191/414,120 円,remaining:×
0,ニンフィアVMAX(キラ),192/414,120 円,remaining:×
0,ミブリム(キラ),199/414,80 円,remaining:×
0,テブリム(キラ),200/414,80 円,remaining:×
0,ブリムオン(キラ),201/414,80 円,remaining:×
0,マンキー(キラ),208/414,80 円,remaining:4pcs
0,オコリザル(キラ),209/414,80 円,remaining:×
0,カポエラー(キラ),218/414,80 円,remaining:2pcs
0,チャーレムV(キラ),221/414,320 円,remaining:4pcs
0,ランドロス(キラ),232/414,80 円,remaining:×
0,ルガルガンV(キラ),234/414,120 円,remaining:3pcs
0,ルガルガンVMAX(キラ),235/414,180 円,remaining:×
0,セキタンザン(キラ),240/414,120 円,remaining:2pcs
0,サダイジャV(キラ),241/414,120 円,remaining:5pcs
0,れんげきウーラオスV(キラ),248/414,180 円,remaining:◯
0,ズバット(キラ),249/414,120 円,remaining:×
0,ゴルバット(キラ),250/414,220 円,remaining:×
0,クロバット(キラ),251/414,320 円,remaining:5pcs
0,ガラルヤドラン(キラ),252/414,120 円,remaining:×
0,ゲンガーV(キラ),253/414,220 円,remaining:2pcs
0,ガラルヤドキング(キラ),257/414,120 円,remaining:×
0,ハリーセン(キラ),260/414,80 円,remaining:1pcs
0,バンギラスV(キラ),263/414,220 円,remaining:◯
0,アブソル(キラ),267/414,120 円,remaining:6pcs
0,ダークライ(キラ),270/414,120 円,remaining:×
0,チョロネコ(キラ),271/414,80 円,remaining:9pcs
0,レパルダス(キラ),272/414,180 円,remaining:◯
0,フシデ(キラ),274/414,80 円,remaining:◯
0,ホイーガ(キラ),275/414,80 円,remaining:4pcs
0,ペンドラー(キラ),276/414,80 円,remaining:3pcs
0,ズルッグ(キラ),277/414,80 円,remaining:10pcs
0,ズルズキン(キラ),278/414,80 円,remaining:3pcs
0,ダストダスV(キラ),281/414,120 円,remaining:◯
0,イベルタル(キラ),285/414,120 円,remaining:×
0,ベロバー(キラ),286/414,80 円,remaining:◯
0,ギモー(キラ),287/414,80 円,remaining:◯
0,オーロンゲ(キラ),288/414,80 円,remaining:9pcs
0,モルペコV(キラ),290/414,120 円,remaining:◯
0,ボスゴドラV(キラ),299/414,320 円,remaining:4pcs
0,ボスゴドラVMAX(キラ),300/414,680 円,remaining:◯
0,メタグロスV(キラ),301/414,120 円,remaining:◯
0,シュバルゴ(キラ),305/414,120 円,remaining:×
0,コバルオン(キラ),306/414,80 円,remaining:◯
