,card_name,card_num,price,status
0,アクアパッチ,060/050,"2,980 円",remaining:×
0,改造ハンマー,061/050,"5,980 円",remaining:×
0,基本闘エネルギー,062/050,"6,980 円",remaining:4pcs
0,ヨワシGX,056/050,"1,480 円",remaining:×
0,カプ・テテフGX,057/050,"14,800 円",remaining:×
0,ルガルガンGX,058/050,"1,780 円",remaining:×
0,メタグロスGX,059/050,"3,980 円",remaining:×
0,ヨワシGX,051/050,780 円,remaining:×
0,カプ・テテフGX,052/050,"4,980 円",remaining:×
0,ルガルガンGX,053/050,780 円,remaining:2pcs
0,メタグロスGX,054/050,"1,480 円",remaining:×
0,マオ,055/050,"59,800 円",remaining:×
0,ヨワシGX,014/050,120 円,remaining:10pcs
0,カプ・テテフGX,022/050,320 円,remaining:×
0,ルガルガンGX,027/050,120 円,remaining:3pcs
0,メタグロスGX,035/050,220 円,remaining:3pcs
0,シャンデラ,005/050,80 円,remaining:◯
0,アローラゴローニャ,017/050,80 円,remaining:2pcs
0,ミミッキュ,020/050,80 円,remaining:×
0,ダダリン,021/050,80 円,remaining:◯
0,メテノ,028/050,80 円,remaining:◯
0,ヌメルゴン,040/050,80 円,remaining:2pcs
0,オーロット,002/050,50 円,remaining:◯
0,エンニュート,007/050,50 円,remaining:◯
0,ドククラゲ,009/050,50 円,remaining:◯
0,ホエルオー,011/050,50 円,remaining:10pcs
0,ママンボウ,012/050,50 円,remaining:◯
0,ダストダス,019/050,180 円,remaining:◯
0,グライオン,024/050,50 円,remaining:◯
0,ドンカラス,030/050,50 円,remaining:◯
0,ヤミラミ,031/050,50 円,remaining:◯
0,ゴロンダ,032/050,50 円,remaining:◯
0,エルフーン,037/050,50 円,remaining:◯
0,ファイアロー,046/050,50 円,remaining:◯
0,アクアパッチ,047/050,180 円,remaining:◯
0,レスキュータンカ,048/050,180 円,remaining:×
0,マオ,049/050,80 円,remaining:×
0,せせらぎの丘,050/050,80 円,remaining:×
0,ボクレー,001/050,30 円,remaining:◯
0,ヒトモシ,003/050,30 円,remaining:◯
0,ランプラー,004/050,30 円,remaining:◯
0,ヤトウモリ,006/050,30 円,remaining:◯
0,メノクラゲ,008/050,30 円,remaining:◯
0,ホエルコ,010/050,30 円,remaining:◯
0,ヨワシ,013/050,30 円,remaining:◯
0,アローライシツブテ,015/050,30 円,remaining:◯
0,アローラゴローン,016/050,30 円,remaining:◯
0,ヤブクロン,018/050,80 円,remaining:5pcs
0,グライガー,023/050,30 円,remaining:◯
0,ヤンチャム,025/050,30 円,remaining:◯
0,イワンコ,026/050,30 円,remaining:◯
0,ヤミカラス,029/050,30 円,remaining:◯
0,ダンバル,033/050,30 円,remaining:◯
0,メタング,034/050,30 円,remaining:◯
0,モンメン,036/050,30 円,remaining:◯
0,ヌメラ,038/050,30 円,remaining:◯
0,ヌメイル,039/050,30 円,remaining:◯
0,ポワルン,041/050,30 円,remaining:◯
0,ミネズミ,042/050,30 円,remaining:◯
0,ミルホッグ,043/050,30 円,remaining:◯
0,ヤヤコマ,044/050,30 円,remaining:◯
0,ヒノヤコマ,045/050,30 円,remaining:◯
