,card_name,card_num,price,status
0,スーパーポケモン回収,062/051,"2,980 円",remaining:6pcs
0,レスキュータンカ,063/051,"9,980 円",remaining:×
0,基本フェアリーエネルギー,064/051,"8,980 円",remaining:1pcs
0,グソクムシャGX,058/051,"1,980 円",remaining:3pcs
0,ネクロズマGX,059/051,"2,980 円",remaining:×
0,マーシャドーGX,060/051,"2,480 円",remaining:×
0,サーナイトGX,061/051,"24,800 円",remaining:1pcs
0,グソクムシャGX,052/051,780 円,remaining:2pcs
0,ネクロズマGX,053/051,980 円,remaining:1pcs
0,マーシャドーGX,054/051,"1,280 円",remaining:7pcs
0,サーナイトGX,055/051,"4,980 円",remaining:1pcs
0,グズマ,056/051,"14,800 円",remaining:1pcs
0,ビッケ,057/051,"39,800 円",remaining:2pcs
0,グソクムシャGX,007/051,180 円,remaining:◯
0,ネクロズマGX,026/051,180 円,remaining:×
0,マーシャドーGX,033/051,120 円,remaining:×
0,サーナイトGX,038/051,180 円,remaining:×
0,ギャラドス,009/051,120 円,remaining:1pcs
0,ライチュウ,014/051,120 円,remaining:×
0,ヨノワール,021/051,80 円,remaining:9pcs
0,ドサイドン,029/051,80 円,remaining:4pcs
0,ジガルデ,041/051,80 円,remaining:◯
0,ポリゴンZ,044/051,80 円,remaining:3pcs
0,バタフリー,003/051,50 円,remaining:◯
0,モジャンボ,005/051,50 円,remaining:◯
0,ハギギシリ,012/051,50 円,remaining:◯
0,シビルドン,017/051,50 円,remaining:◯
0,ハブネーク,018/051,50 円,remaining:1pcs
0,ドクロッグ,023/051,50 円,remaining:◯
0,ニャオニクス,025/051,50 円,remaining:◯
0,バンバドロ,032/051,50 円,remaining:◯
0,アローララッタ,035/051,50 円,remaining:10pcs
0,マシェード,040/051,50 円,remaining:◯
0,キテルグマ,046/051,50 円,remaining:◯
0,いちゃもんスプレー,047/051,50 円,remaining:5pcs
0,スーパーポケモン回収,048/051,50 円,remaining:×
0,グズマ,049/051,320 円,remaining:6pcs
0,ビッケ,050/051,50 円,remaining:3pcs
0,ポータウン,051/051,50 円,remaining:◯
0,キャタピー,001/051,30 円,remaining:◯
0,トランセル,002/051,30 円,remaining:◯
0,モンジャラ,004/051,30 円,remaining:◯
0,コソクムシ,006/051,30 円,remaining:◯
0,コイキング,008/051,30 円,remaining:×
0,ヒヤップ,010/051,30 円,remaining:◯
0,ヒヤッキー,011/051,30 円,remaining:◯
0,ピカチュウ,013/051,120 円,remaining:×
0,シビシラス,015/051,30 円,remaining:◯
0,シビビール,016/051,30 円,remaining:◯
0,ヨマワル,019/051,30 円,remaining:◯
0,サマヨール,020/051,30 円,remaining:◯
0,グレッグル,022/051,30 円,remaining:◯
0,ニャスパー,024/051,30 円,remaining:◯
0,サイホーン,027/051,30 円,remaining:◯
0,サイドン,028/051,30 円,remaining:◯
0,ダゲキ,030/051,30 円,remaining:◯
0,ドロバンコ,031/051,30 円,remaining:◯
0,アローラコラッタ,034/051,30 円,remaining:5pcs
0,ラルトス,036/051,30 円,remaining:◯
0,キルリア,037/051,30 円,remaining:◯
0,ネマシュ,039/051,30 円,remaining:◯
0,ポリゴン,042/051,30 円,remaining:◯
0,ポリゴン2,043/051,30 円,remaining:◯
0,ヌイコグマ,045/051,30 円,remaining:◯
