,card_name,card_num,price,status
0,ねがいのバトン,060/050,"2,480 円",remaining:×
0,カウンターエネルギー,061/050,"5,980 円",remaining:×
0,基本水エネルギー,062/050,"24,800 円",remaining:×
0,ギャラドスGX,056/050,"24,800 円",remaining:×
0,ウツロイドGX,057/050,"3,480 円",remaining:1pcs
0,アクジキングGX,058/050,"3,480 円",remaining:×
0,アローラナッシーGX,059/050,"1,980 円",remaining:×
0,ギャラドスGX,051/050,"2,480 円",remaining:1pcs
0,ウツロイドGX,052/050,"1,280 円",remaining:×
0,アクジキングGX,053/050,780 円,remaining:1pcs
0,アローラナッシーGX,054/050,780 円,remaining:3pcs
0,ルザミーネ,055/050,"158,000 円",remaining:1pcs
0,ギャラドスGX,008/050,320 円,remaining:×
0,ウツロイドGX,022/050,220 円,remaining:1pcs
0,アクジキングGX,033/050,320 円,remaining:2pcs
0,アローラナッシーGX,037/050,220 円,remaining:◯
0,ミロカロス,013/050,80 円,remaining:×
0,レジアイス,014/050,80 円,remaining:×
0,アローラライチュウ,016/050,80 円,remaining:×
0,キテルグマ,027/050,80 円,remaining:◯
0,サザンドラ,032/050,80 円,remaining:5pcs
0,ゼルネアス,036/050,80 円,remaining:7pcs
0,ジャラランガ,040/050,80 円,remaining:1pcs
0,スピアー,003/050,50 円,remaining:◯
0,マンムー,011/050,50 円,remaining:◯
0,ムウマージ,018/050,50 円,remaining:◯
0,ヤレユータン,021/050,50 円,remaining:◯
0,オコリザル,024/050,50 円,remaining:◯
0,レジロック,025/050,50 円,remaining:◯
0,ヘルガー,029/050,50 円,remaining:◯
0,ジヘッド,031/050,50 円,remaining:◯
0,プクリン,035/050,50 円,remaining:◯
0,ジャランゴ,039/050,50 円,remaining:◯
0,チルタリス,043/050,50 円,remaining:6pcs
0,ダッシュポーチ,046/050,80 円,remaining:◯
0,ルザミーネ,047/050,120 円,remaining:1pcs
0,虚ろの海,048/050,50 円,remaining:4pcs
0,喰いつくされた原野,049/050,50 円,remaining:◯
0,カウンターエネルギー,050/050,80 円,remaining:×
0,ビートル,001/050,30 円,remaining:◯
0,コクーン,002/050,30 円,remaining:◯
0,タマタマ,004/050,30 円,remaining:◯
0,チョボマキ,005/050,30 円,remaining:◯
0,アギルダー,006/050,30 円,remaining:◯
0,コイキング,007/050,30 円,remaining:×
0,ウリムー,009/050,30 円,remaining:◯
0,イノムー,010/050,30 円,remaining:◯
0,ヒンバス,012/050,30 円,remaining:9pcs
0,ピカチュウ,015/050,180 円,remaining:×
0,ムウマ,017/050,30 円,remaining:6pcs
0,バネブー,019/050,30 円,remaining:◯
0,ブービック,020/050,30 円,remaining:◯
0,マンキー,023/050,30 円,remaining:◯
0,ヌイコグマ,026/050,30 円,remaining:◯
0,デルビル,028/050,30 円,remaining:◯
0,モノズ,030/050,30 円,remaining:◯
0,プリン,034/050,30 円,remaining:◯
0,ジャラコ,038/050,30 円,remaining:◯
0,ミルタンク,041/050,30 円,remaining:5pcs
0,チルット,042/050,30 円,remaining:◯
0,ホルビー,044/050,30 円,remaining:◯
0,ホルード,045/050,30 円,remaining:◯
