,card_name,card_num,price,status
0,サトシのピカチュウGX,005/026,"4,980 円",remaining:×
0,ロケット団のミミッキュGX,010/026,"2,980 円",remaining:×
0,基本闘エネルギー,-,120 円,remaining:×
0,基本超エネルギー,-,120 円,remaining:×
0,基本雷エネルギー,-,120 円,remaining:×
0,基本水エネルギー,-,120 円,remaining:×
0,モクロー,001/026,500 円,remaining:×
0,ヒドイデ,002/026,30 円,remaining:×
0,ドヒドイデ,003/026,30 円,remaining:×
0,ハギギシリ,004/026,30 円,remaining:9pcs
0,トゲデマル,006/026,30 円,remaining:×
0,カプ・コケコ,007/026,30 円,remaining:×
0,ソーナンス,008/026,80 円,remaining:×
0,ヤトウモリ,009/026,80 円,remaining:×
0,イワンコ,011/026,120 円,remaining:×
0,ルガルガン,012/026,30 円,remaining:×
0,ニャース,013/026,320 円,remaining:×
0,ケンタロス,014/026,30 円,remaining:×
0,ヤングース,015/026,30 円,remaining:×
0,デカグース,016/026,30 円,remaining:×
0,ヌイコグマ,017/026,30 円,remaining:×
0,キテルグマ,018/026,30 円,remaining:×
0,エネルギー回収,019/026,320 円,remaining:×
0,きずぐすり,020/026,30 円,remaining:×
0,クラッシュハンマー,021/026,80 円,remaining:×
0,ポケモンいれかえ(ピカチュウ),022/026,180 円,remaining:×
0,ポケモンいれかえ(R団),022/026,180 円,remaining:×
0,ポケモンキャッチャー,023/026,30 円,remaining:◯
0,モンスターボール(ピカチュウ),024/026,120 円,remaining:4pcs
0,モンスターボール(R団),024/026,120 円,remaining:6pcs
0,サトシのゆうじょう,025/026,80 円,remaining:×
0,ロケット団のいやがらせ,026/026,500 円,remaining:×
