,card_name,card_num,price,status
0,ルナアーラGX,005/021,180 円,remaining:2pcs
0,ソルガレオGX,007/021,420 円,remaining:7pcs
0,ミュウツー,001/021,220 円,remaining:×
0,ラティオス,002/021,80 円,remaining:×
0,コスモッグ,003/021,30 円,remaining:×
0,コスモウム,004/021,30 円,remaining:×
0,クチート,006/021,30 円,remaining:×
0,パッチール,008/021,30 円,remaining:×
0,タイプ:ヌル,009/021,30 円,remaining:×
0,シルヴァディ,010/021,30 円,remaining:×
0,ネストボール,011/021,220 円,remaining:×
0,ハイパーボール,012/021,80 円,remaining:7pcs
0,ふしぎなアメ,013/021,80 円,remaining:×
0,ポケモンいれかえ,014/021,50 円,remaining:5pcs
0,ポケモンキャッチャー,015/021,30 円,remaining:5pcs
0,レスキュータンカ,016/021,180 円,remaining:×
0,シロナ,017/021,80 円,remaining:×
0,ハウ,018/021,30 円,remaining:4pcs
0,マーマネ,019/021,50 円,remaining:8pcs
0,リーリエ,020/021,120 円,remaining:9pcs
0,ダブル無色エネルギー,021/021,120 円,remaining:1pcs
