,card_name,card_num,price,status
0,ブースターGX,001/038,220 円,remaining:1pcs
0,シャワーズGX,007/038,320 円,remaining:×
0,サンダースGX,013/038,220 円,remaining:×
0,イーブイGX,017/038,220 円,remaining:×
0,イーブイGX,018/038,220 円,remaining:×
0,イーブイGX,019/038,220 円,remaining:×
0,ファイヤー,002/038,30 円,remaining:×
0,レシラム,003/038,80 円,remaining:×
0,シシコ,004/038,30 円,remaining:◯
0,カエンジシ,005/038,30 円,remaining:6pcs
0,ラプラス,006/038,30 円,remaining:×
0,ウパー,008/038,50 円,remaining:×
0,ヌオー,009/038,80 円,remaining:×
0,カイオーガ,010/038,30 円,remaining:×
0,ビリリダマ,011/038,30 円,remaining:◯
0,マルマイン,012/038,30 円,remaining:5pcs
0,サンダー,014/038,80 円,remaining:×
0,カプ・コケコ,015/038,80 円,remaining:×
0,イーブイ,016/038,80 円,remaining:×
0,シェイミ,020/038,30 円,remaining:×
0,アクアパッチ,021/038,220 円,remaining:◯
0,いれかえフロート,022/038,120 円,remaining:4pcs
0,エレキパワー,023/038,120 円,remaining:8pcs
0,ネストボール,024/038,220 円,remaining:×
0,ハイパーボール,025/038,80 円,remaining:7pcs
0,火打石,026/038,50 円,remaining:×
0,ポケモンいれかえ,027/038,50 円,remaining:9pcs
0,こだわりハチマキ,028/038,80 円,remaining:8pcs
0,こだわりメット,029/038,50 円,remaining:×
0,カキ,030/038,80 円,remaining:5pcs
0,グズマ,031/038,320 円,remaining:◯
0,ジャッジマン,032/038,80 円,remaining:×
0,シロナ,033/038,80 円,remaining:2pcs
0,デンジ,034/038,50 円,remaining:×
0,ハウ,035/038,30 円,remaining:◯
0,マキシ,036/038,80 円,remaining:×
0,マサキの解析,037/038,80 円,remaining:×
0,リーリエ,038/038,120 円,remaining:◯
