,card_name,card_num,price,status
0,スターミーGX,004/031,680 円,remaining:◯
0,イワークGX,011/031,320 円,remaining:×
0,カスミの水さばき,021/031,500 円,remaining:×
0,タケシのトレーニング,025/031,180 円,remaining:×
0,コダック,001/031,30 円,remaining:×
0,タッツー,002/031,50 円,remaining:×
0,ヒトデマン,003/031,30 円,remaining:×
0,コイキング,005/031,30 円,remaining:×
0,ギャラドス,006/031,50 円,remaining:×
0,ラプラス,007/031,30 円,remaining:×
0,イシツブテ,008/031,50 円,remaining:×
0,ゴローン,009/031,50 円,remaining:×
0,ゴローニャ,010/031,80 円,remaining:×
0,カラカラ,012/031,30 円,remaining:×
0,サイホーン,013/031,50 円,remaining:×
0,サイドン,014/031,50 円,remaining:×
0,ウソッキー,015/031,30 円,remaining:×
0,ダートじてんしゃ,016/031,120 円,remaining:2pcs
0,ネストボール,017/031,220 円,remaining:×
0,ハイパーボール,018/031,80 円,remaining:5pcs
0,ポケモンいれかえ,019/031,50 円,remaining:5pcs
0,ポケモンキャッチャー,020/031,30 円,remaining:7pcs
0,カスミのやる気,022/031,120 円,remaining:×
0,シロナ,023/031,80 円,remaining:×
0,タケシのガッツ,024/031,320 円,remaining:2pcs
0,ハウ,026/031,30 円,remaining:3pcs
0,ポケモンセンターのお姉さん,027/031,180 円,remaining:1pcs
0,リーリエ,028/031,120 円,remaining:×
0,カスミのハナダシティジム,029/031,80 円,remaining:×
0,タケシのニビシティジム,030/031,120 円,remaining:8pcs
0,ダブル無色エネルギー,031/031,120 円,remaining:×
