,card_name,card_num,price,status
0,ゲッコウガV-UNION(左上),001/013,180 円,remaining:3pcs
0,ゲッコウガV-UNION(右上),002/013,180 円,remaining:5pcs
0,ゲッコウガV-UNION(左下),003/013,180 円,remaining:4pcs
0,ゲッコウガV-UNION(右下),004/013,180 円,remaining:3pcs
0,ミュウツーV-UNION(左上),005/013,320 円,remaining:◯
0,ミュウツーV-UNION(右上),006/013,420 円,remaining:◯
0,ミュウツーV-UNION(左下),007/013,320 円,remaining:◯
0,ミュウツーV-UNION(右下),008/013,420 円,remaining:◯
0,ザシアンV-UNION(左上),009/013,120 円,remaining:6pcs
0,ザシアンV-UNION(右上),010/013,120 円,remaining:3pcs
0,ザシアンV-UNION(左下),011/013,120 円,remaining:3pcs
0,ザシアンV-UNION(右下),012/013,120 円,remaining:2pcs
0,バーネット博士,013/013,320 円,remaining:◯
