,card_name,card_num,price,status
0,ミュウex,208/165,"3,980 円",remaining:2pcs
0,ポケモンいれかえ,209/165,"2,980 円",remaining:×
0,基本超エネルギー,210/165,"1,780 円",remaining:6pcs
0,フシギバナex,200/165,"5,980 円",remaining:4pcs
0,リザードンex,201/165,"14,800 円",remaining:7pcs
0,カメックスex,202/165,"5,980 円",remaining:◯
0,フーディンex,203/165,"3,980 円",remaining:4pcs
0,サンダーex,204/165,"6,980 円",remaining:3pcs
0,ミュウex,205/165,"17,800 円",remaining:3pcs
0,エリカの招待,206/165,"19,800 円",remaining:8pcs
0,サカキのカリスマ,207/165,"1,980 円",remaining:×
0,フシギバナex,184/165,780 円,remaining:2pcs
0,リザードンex,185/165,"2,480 円",remaining:7pcs
0,カメックスex,186/165,780 円,remaining:×
0,アーボックex,187/165,680 円,remaining:9pcs
0,キュウコンex,188/165,680 円,remaining:×
0,プクリンex,189/165,680 円,remaining:×
0,フーディンex,190/165,680 円,remaining:×
0,ゴローニャex,191/165,680 円,remaining:1pcs
0,ガルーラex,192/165,680 円,remaining:3pcs
0,ルージュラex,193/165,680 円,remaining:3pcs
0,サンダーex,194/165,680 円,remaining:×
0,ミュウex,195/165,"1,280 円",remaining:1pcs
0,エリカの招待,196/165,"7,980 円",remaining:◯
0,サカキのカリスマ,197/165,780 円,remaining:1pcs
0,ナナミの手助け,198/165,980 円,remaining:◯
0,マサキの転送,199/165,680 円,remaining:×
0,フシギダネ,166/165,500 円,remaining:5pcs
0,フシギソウ,167/165,320 円,remaining:◯
0,ヒトカゲ,168/165,780 円,remaining:◯
0,リザード,169/165,680 円,remaining:◯
0,ゼニガメ,170/165,500 円,remaining:4pcs
0,カメール,171/165,320 円,remaining:◯
0,キャタピー,172/165,220 円,remaining:◯
0,ピカチュウ,173/165,980 円,remaining:◯
0,ニドキング,174/165,220 円,remaining:◯
0,コダック,175/165,320 円,remaining:◯
0,ニョロゾ,176/165,320 円,remaining:◯
0,ゴーリキー,177/165,220 円,remaining:◯
