,card_name,card_num,price,status
0,パオジアンex,097/071,"1,480 円",remaining:×
0,すごいつりざお,098/071,"8,980 円",remaining:×
0,基本水エネルギー,099/071,"3,480 円",remaining:×
0,チオンジェンex,092/071,"1,780 円",remaining:×
0,パオジアンex,093/071,"6,980 円",remaining:×
0,イキリンコex,094/071,"3,480 円",remaining:3pcs
0,グルーシャ,095/071,"8,980 円",remaining:10pcs
0,ピーニャ,096/071,"1,280 円",remaining:×
0,チオンジェンex,084/071,680 円,remaining:◯
0,パオジアンex,085/071,980 円,remaining:◯
0,ヤドキングex,086/071,680 円,remaining:×
0,コノヨザルex,087/071,680 円,remaining:9pcs
0,ダイオウドウex,088/071,680 円,remaining:8pcs
0,イキリンコex,089/071,680 円,remaining:×
0,グルーシャ,090/071,"2,480 円",remaining:◯
0,ピーニャ,091/071,680 円,remaining:2pcs
0,アノクサ,072/071,180 円,remaining:◯
0,マリル,073/071,420 円,remaining:◯
0,コオリッポ,074/071,180 円,remaining:◯
0,セビエ,075/071,500 円,remaining:◯
0,セゴール,076/071,180 円,remaining:◯
0,セグレイブ,077/071,500 円,remaining:3pcs
0,ゴチミル,078/071,180 円,remaining:◯
0,ベラカス,079/071,180 円,remaining:◯
0,ウソッキー,080/071,180 円,remaining:8pcs
0,ミミズズ,081/071,180 円,remaining:◯
0,ココガラ,082/071,180 円,remaining:10pcs
0,ノココッチ,083/071,180 円,remaining:◯
0,チオンジェンex,015/071,120 円,remaining:◯
0,パオジアンex,028/071,120 円,remaining:◯
0,ヤドキングex,030/071,120 円,remaining:◯
0,コノヨザルex,040/071,120 円,remaining:◯
0,ダイオウドウex,054/071,120 円,remaining:◯
0,イキリンコex,065/071,120 円,remaining:◯
0,ユキノオー,006/071,80 円,remaining:◯
0,ミガルーサ,023/071,80 円,remaining:◯
0,セグレイブ,027/071,180 円,remaining:◯
0,ミミッキュ,034/071,180 円,remaining:◯
0,ベラカス,037/071,80 円,remaining:◯
0,キラフロル,044/071,80 円,remaining:◯
0,ミミズズ,055/071,80 円,remaining:◯
0,ケッキング,062/071,80 円,remaining:◯
0,アメモース,002/071,50 円,remaining:◯
0,ビークイン,004/071,50 円,remaining:◯
0,アマージョ,009/071,50 円,remaining:◯
0,アノホラグサ,012/071,50 円,remaining:◯
0,マリルリ,017/071,50 円,remaining:◯
0,コオリッポ,019/071,50 円,remaining:◯
0,ハルクジラ,022/071,50 円,remaining:◯
0,ゴチルゼル,033/071,50 円,remaining:◯
0,ポットデス,036/071,50 円,remaining:◯
0,ウソッキー,041/071,50 円,remaining:◯
0,ドンカラス,046/071,50 円,remaining:◯
0,マフィティフ,049/071,50 円,remaining:◯
0,ドータクン,051/071,50 円,remaining:◯
0,アーマーガア,052/071,50 円,remaining:◯
0,ノココッチ,057/071,50 円,remaining:◯
0,ペリッパー,059/071,50 円,remaining:◯
0,すごいつりざお,066/071,120 円,remaining:×
0,ファイトオレ,067/071,50 円,remaining:◯
0,グルーシャ,068/071,50 円,remaining:◯
0,ピーニャ,069/071,50 円,remaining:◯
0,災いの雪山,070/071,80 円,remaining:◯
0,リバーサルエネルギー,071/071,80 円,remaining:◯
0,アメタマ,001/071,30 円,remaining:◯
0,ミツハニー,003/071,30 円,remaining:◯
0,ユキカブリ,005/071,30 円,remaining:◯
0,アマカジ,007/071,30 円,remaining:◯
0,アママイコ,008/071,30 円,remaining:◯
0,アノクサ,010/071,30 円,remaining:◯
0,アノクサ,011/071,30 円,remaining:◯
0,シガロコ,013/071,30 円,remaining:◯
0,シガロコ,014/071,30 円,remaining:◯
0,マリル,016/071,30 円,remaining:◯
0,ラブカス,018/071,30 円,remaining:◯
0,アルクジラ,020/071,30 円,remaining:◯
0,アルクジラ,021/071,30 円,remaining:◯
0,セビエ,024/071,120 円,remaining:◯
0,セビエ,025/071,50 円,remaining:◯
0,セゴール,026/071,30 円,remaining:◯
0,ヤドン,029/071,30 円,remaining:◯
0,ゴチム,031/071,30 円,remaining:◯
0,ゴチミル,032/071,30 円,remaining:◯
0,ヤバチャ,035/071,30 円,remaining:◯
0,マンキー,038/071,30 円,remaining:◯
0,オコリザル,039/071,30 円,remaining:◯
0,キラーメ,042/071,50 円,remaining:◯
0,キラーメ,043/071,30 円,remaining:◯
0,ヤミカラス,045/071,30 円,remaining:◯
0,オラチフ,047/071,30 円,remaining:◯
0,オラチフ,048/071,30 円,remaining:◯
0,ドーミラー,050/071,30 円,remaining:◯
0,ゾウドウ,053/071,30 円,remaining:◯
0,ノコッチ,056/071,30 円,remaining:◯
0,キャモメ,058/071,30 円,remaining:◯
0,ナマケロ,060/071,30 円,remaining:◯
0,ヤルキモノ,061/071,30 円,remaining:◯
0,ココガラ,063/071,30 円,remaining:◯
0,アオガラス,064/071,30 円,remaining:◯
