,card_name,card_num,price,status
0,ホゲータ(R仕様),005/020,80 円,remaining:2pcs
0,アチゲータ(R仕様),006/020,80 円,remaining:◯
0,ラウドボーンex,008/020,420 円,remaining:◯
0,ブーバー,001/020,30 円,remaining:◯
0,ブーバーン,002/020,50 円,remaining:◯
0,ヒートロトム,003/020,50 円,remaining:◯
0,ボルケニオン,004/020,50 円,remaining:◯
0,ホゲータ,005/020,50 円,remaining:◯
0,アチゲータ,006/020,50 円,remaining:◯
0,ミュウ,007/020,80 円,remaining:◯
0,スーパーエネルギー回収,009/020,120 円,remaining:3pcs
0,すごいつりざお,010/020,120 円,remaining:×
0,ネストボール,011/020,220 円,remaining:◯
0,ハイパーボール,012/020,50 円,remaining:◯
0,ふしぎなアメ,013/020,80 円,remaining:◯
0,ポケギア3.0,014/020,120 円,remaining:4pcs
0,ポケモンいれかえ,015/020,30 円,remaining:◯
0,ナンジャモ,016/020,120 円,remaining:◯
0,ネモ,017/020,30 円,remaining:◯
0,博士の研究[オーリム博士],018/020,50 円,remaining:◯
0,ボスの指令[ゲーチス],019/020,80 円,remaining:◯
0,マグマの滝壺,020/020,50 円,remaining:◯
