,card_name,card_num,price,status
0,かがやくリザードン,001/038,320 円,remaining:◯
0,ネオラントV,002/038,80 円,remaining:◯
0,マナフィ,003/038,80 円,remaining:◯
0,かがやくゲッコウガ,004/038,580 円,remaining:◯
0,ミュウ,005/038,80 円,remaining:◯
0,ラルトス,006/038,80 円,remaining:◯
0,キルリア,007/038,120 円,remaining:6pcs
0,ビッパ,008/038,120 円,remaining:10pcs
0,ビーダル,009/038,120 円,remaining:◯
0,あなぬけのヒモ,010/038,120 円,remaining:◯
0,キャンセルコロン,011/038,80 円,remaining:◯
0,霧の水晶,012/038,80 円,remaining:◯
0,すごいつりざお,013/038,120 円,remaining:×
0,ダークパッチ,014/038,80 円,remaining:◯
0,トレッキングシューズ,015/038,80 円,remaining:◯
0,ネストボール,016/038,220 円,remaining:◯
0,ハイパーボール,017/038,50 円,remaining:◯
0,バトルVIPパス,018/038,420 円,remaining:◯
0,ヒスイのヘビーボール,019/038,80 円,remaining:◯
0,ふしぎなアメ,020/038,80 円,remaining:◯
0,ポケモンいれかえ,021/038,30 円,remaining:◯
0,レベルボール,022/038,80 円,remaining:◯
0,ロストスイーパー,023/038,80 円,remaining:×
0,森の封印石,024/038,420 円,remaining:◯
0,カイ,025/038,180 円,remaining:◯
0,キバナ,026/038,80 円,remaining:◯
0,セイボリー,027/038,80 円,remaining:◯
0,セレナ,028/038,180 円,remaining:◯
0,ナンジャモ,029/038,120 円,remaining:7pcs
0,博士の研究[オーリム博士],030/038,50 円,remaining:◯
0,博士の研究[フトゥー博士],031/038,50 円,remaining:◯
0,ボスの指令[ゲーチス],032/038,80 円,remaining:◯
0,モミ,033/038,50 円,remaining:◯
0,頂への雪道,034/038,80 円,remaining:◯
0,ビーチコート,035/038,80 円,remaining:◯
0,ボウルタウン,036/038,80 円,remaining:◯
0,マグマの滝壺,037/038,50 円,remaining:◯
0,ダブルターボエネルギー,038/038,80 円,remaining:◯
