,card_name,card_num,price,status
0,フシギバナEX,061/060,"12,800 円",remaining:×
0,エアームドEX,062/060,"3,480 円",remaining:×
0,ゼルネアスEX,063/060,"2,980 円",remaining:×
0,フシギバナEX,001/060,420 円,remaining:×
0,MフシギバナEX,002/060,420 円,remaining:×
0,エアームドEX,039/060,220 円,remaining:×
0,ゼルネアスEX,044/060,320 円,remaining:×
0,ビビヨン(みやびなもよう),008/060,120 円,remaining:3pcs
0,ビビヨン(はなぞののもよう),008/060,120 円,remaining:1pcs
0,ゴーゴート,010/060,120 円,remaining:5pcs
0,ゴーゴート(ノーマル仕様),010/060,120 円,remaining:×
0,マフォクシー,015/060,120 円,remaining:3pcs
0,ゲッコウガ,021/060,120 円,remaining:×
0,ライチュウ,023/060,120 円,remaining:×
0,オーロット,029/060,120 円,remaining:×
0,ゾロアーク,038/060,120 円,remaining:×
0,ペロリーム,043/060,120 円,remaining:4pcs
0,テールナー,014/060,80 円,remaining:3pcs
0,スターミー,017/060,80 円,remaining:◯
0,ゲコガシラ,020/060,80 円,remaining:8pcs
0,アーボック,025/060,80 円,remaining:×
0,ローブシン,033/060,80 円,remaining:◯
0,ワルビアル,036/060,80 円,remaining:◯
0,キリキザン,041/060,80 円,remaining:7pcs
0,ケンタロス,045/060,80 円,remaining:◯
0,オオスバメ,048/060,80 円,remaining:×
0,ムーランド,051/060,80 円,remaining:9pcs
0,ホルード,053/060,80 円,remaining:9pcs
0,げんきのかたまり,054/060,80 円,remaining:5pcs
0,シンカソーダ,055/060,180 円,remaining:×
0,ローラースケート,056/060,80 円,remaining:×
0,ちからのハチマキ,057/060,320 円,remaining:×
0,プラターヌ博士,058/060,80 円,remaining:×
0,フレア団のしたっぱ,059/060,80 円,remaining:×
0,レインボーエネルギー,060/060,220 円,remaining:1pcs
0,バルビート,003/060,50 円,remaining:◯
0,ヤナップ,004/060,50 円,remaining:◯
0,ヤナッキー,005/060,50 円,remaining:◯
0,コフキムシ,006/060,50 円,remaining:◯
0,コフーライ,007/060,50 円,remaining:◯
0,メェークル,009/060,50 円,remaining:◯
0,マグマッグ,011/060,50 円,remaining:◯
0,マグカルゴ,012/060,50 円,remaining:◯
0,フォッコ,013/060,50 円,remaining:◯
0,ヒトデマン,016/060,50 円,remaining:◯
0,サニーゴ,018/060,50 円,remaining:◯
0,ケロマツ,019/060,50 円,remaining:×
0,ピカチュウ,022/060,320 円,remaining:×
0,アーボ,024/060,50 円,remaining:◯
0,バネブー,026/060,50 円,remaining:◯
0,ブーピッグ,027/060,50 円,remaining:◯
0,ボクレー,028/060,50 円,remaining:8pcs
0,ルナトーン,030/060,50 円,remaining:◯
0,ドッコラー,031/060,50 円,remaining:◯
0,ドテッコツ,032/060,50 円,remaining:◯
0,メグロコ,034/060,50 円,remaining:◯
0,ワルビル,035/060,50 円,remaining:◯
0,ゾロア,037/060,50 円,remaining:5pcs
0,コマタナ,040/060,50 円,remaining:◯
0,ペロッパフ,042/060,50 円,remaining:◯
0,ノコッチ,046/060,50 円,remaining:2pcs
0,スバメ,047/060,50 円,remaining:◯
0,ヨーテリー,049/060,50 円,remaining:◯
0,ハーデリア,050/060,50 円,remaining:7pcs
0,ホルビー,052/060,50 円,remaining:◯
