,card_name,card_num,price,status
0,フーディンEX,088/078,"14,800 円",remaining:×
0,グレイシアEX,079/078,"17,800 円",remaining:×
0,フーディンEX,080/078,"6,980 円",remaining:×
0,MフーディンEX,081/078,"12,800 円",remaining:×
0,ブラッキーEX,082/078,"79,800 円",remaining:×
0,ゲノセクトEX,083/078,"2,980 円",remaining:×
0,MチルタリスEX,084/078,"12,800 円",remaining:×
0,キングドラEX,085/078,"5,980 円",remaining:×
0,チルタリスEX,086/078,"5,980 円",remaining:×
0,ロケット団の工作,087/078,"69,800 円",remaining:×
0,マフォクシーBREAK,012/078,220 円,remaining:×
0,オムスターBREAK,017/078,220 円,remaining:2pcs
0,グレイシアEX,018/078,980 円,remaining:×
0,フーディンEX,023/078,180 円,remaining:×
0,MフーディンEX,024/078,180 円,remaining:×
0,ブラッキーEX,042/078,"2,480 円",remaining:×
0,ドータクンBREAK,049/078,980 円,remaining:2pcs
0,ゲノセクトEX,051/078,180 円,remaining:×
0,MチルタリスEX,054/078,220 円,remaining:×
0,キングドラEX,055/078,220 円,remaining:×
0,ルギアBREAK,059/078,780 円,remaining:×
0,チルタリスEX,063/078,220 円,remaining:×
0,マフォクシー,011/078,120 円,remaining:3pcs
0,ホワイトキュレム,019/078,120 円,remaining:×
0,ミュウ,027/078,780 円,remaining:×
0,ジガルデ,041/078,120 円,remaining:7pcs
0,バンギラス,043/078,180 円,remaining:×
0,ルカリオ,050/078,180 円,remaining:×
0,ルギア,058/078,320 円,remaining:×
0,ガーメイル,004/078,80 円,remaining:8pcs
0,ジャローダ,007/078,80 円,remaining:×
0,ファイヤー,008/078,80 円,remaining:×
0,ジュゴン,014/078,80 円,remaining:7pcs
0,オムスター,016/078,80 円,remaining:3pcs
0,ロトム,022/078,80 円,remaining:9pcs
0,ランクルス,032/078,80 円,remaining:4pcs
0,カブトプス,034/078,80 円,remaining:6pcs
0,ジガルデ,040/078,80 円,remaining:◯
0,ドータクン,048/078,80 円,remaining:×
0,プクリン,053/078,80 円,remaining:×
0,プテラ,056/078,80 円,remaining:×
0,バクオング,062/078,80 円,remaining:◯
0,化石採掘キット,066/078,80 円,remaining:◯
0,退化スプレー,067/078,80 円,remaining:×
0,メガキャッチャー,068/078,50 円,remaining:◯
0,エネルギーポーチ,072/078,80 円,remaining:×
0,ねじれたスプーン,073/078,80 円,remaining:×
0,チルタリスソウルリンク,074/078,80 円,remaining:×
0,フーディンソウルリンク,075/078,50 円,remaining:2pcs
0,N,076/078,320 円,remaining:×
0,ロケット団の工作,077/078,680 円,remaining:×
0,カオスタワー,078/078,80 円,remaining:×
0,ツボツボ,001/078,50 円,remaining:9pcs
0,ミノムッチ,002/078,50 円,remaining:9pcs
0,ミノマダム,003/078,50 円,remaining:◯
0,ツタージャ,005/078,50 円,remaining:×
0,ジャノビー,006/078,50 円,remaining:1pcs
0,フォッコ,009/078,50 円,remaining:×
0,テールナー,010/078,50 円,remaining:×
0,パウワウ,013/078,50 円,remaining:◯
0,オムナイト,015/078,50 円,remaining:◯
0,カメテテ,020/078,50 円,remaining:◯
0,ガメノデス,021/078,50 円,remaining:1pcs
0,ドガース,025/078,50 円,remaining:2pcs
0,マタドガス,026/078,50 円,remaining:◯
0,バネブー,028/078,50 円,remaining:◯
0,ブーピッグ,029/078,50 円,remaining:◯
0,ユニラン,030/078,50 円,remaining:◯
0,ダブラン,031/078,50 円,remaining:◯
0,カブト,033/078,50 円,remaining:◯
0,ヨーギラス,035/078,50 円,remaining:8pcs
0,サナギラス,036/078,50 円,remaining:6pcs
0,ミノマダム,037/078,50 円,remaining:◯
0,リオル,038/078,50 円,remaining:×
0,メレシー,039/078,50 円,remaining:2pcs
0,バルチャイ,044/078,50 円,remaining:◯
0,バルジーナ,045/078,50 円,remaining:◯
0,ミノマダム,046/078,50 円,remaining:◯
0,ドーミラー,047/078,50 円,remaining:6pcs
0,プリン,052/078,50 円,remaining:×
0,カビゴン,057/078,50 円,remaining:×
0,ゴニョニョ,060/078,50 円,remaining:◯
0,ドゴーム,061/078,50 円,remaining:◯
0,チラーミィ,064/078,50 円,remaining:1pcs
0,チラチーノ,065/078,50 円,remaining:×
0,かいの化石 オムナイト,069/078,50 円,remaining:◯
0,こうらの化石 カブト,070/078,50 円,remaining:◯
0,ひみつのコハク プテラ,071/078,50 円,remaining:4pcs
