,card_name,card_num,price,status
0,レックウザEX,005/018,120 円,remaining:×
0,MレックウザEX,006/018,"5,980 円",remaining:6pcs
0,基本炎エネルギー,-,50 円,remaining:×
0,基本雷エネルギー,-,50 円,remaining:×
0,ビクティニ,001/018,30 円,remaining:1pcs
0,ラクライ,002/018,30 円,remaining:×
0,ライボルト,003/018,30 円,remaining:1pcs
0,タツベイ,004/018,30 円,remaining:×
0,ゼクロム,007/018,80 円,remaining:3pcs
0,ダートじてんしゃ,008/018,120 円,remaining:5pcs
0,ハイパーボール,009/018,80 円,remaining:×
0,ポケモンいれかえ,010/018,50 円,remaining:×
0,メガターボ,011/018,80 円,remaining:1pcs
0,レックウザソウルリンク,012/018,50 円,remaining:×
0,オダマキ博士の観察,013/018,50 円,remaining:×
0,ダイゴ,014/018,180 円,remaining:1pcs
0,ティエルノ,015/018,30 円,remaining:5pcs
0,プラターヌ博士,016/018,80 円,remaining:4pcs
0,フラダリ,017/018,120 円,remaining:6pcs
0,ダブルドラゴンエネルギー,018/018,980 円,remaining:×
