,card_name,card_num,price,status
0,ピカチュウ,001/XY-P,"8,980 円",remaining:×
0,ライチュウ,002/XY-P,"1,280 円",remaining:×
0,エネルギー回収,003/XY-P,500 円,remaining:×
0,エネルギーつけかえ,004/XY-P,320 円,remaining:×
0,スーパーポケモン回収,005/XY-P,80 円,remaining:×
0,ともだちてちょう,006/XY-P,"1,280 円",remaining:1pcs
0,なんでもなおし,007/XY-P,80 円,remaining:×
0,オンバット,008/XY-P,120 円,remaining:×
0,オンバーン,009/XY-P,120 円,remaining:×
0,ガブリアスEX,010/XY-P,120 円,remaining:×
0,メェークル(XY激アツ始動キャンペーン),011/XY-P,80 円,remaining:×
0,メェークル(セブンイレブン限定サマーキャンペーン2014),011/XY-P,80 円,remaining:×
0,ヒトツキ(XY激アツ始動キャンペーン),012/XY-P,80 円,remaining:×
0,ヒトツキ(リザードンメガバトル開催記念キャンペーン),012/XY-P,80 円,remaining:×
0,デデンネ(XY激アツ始動キャンペーン),013/XY-P,80 円,remaining:1pcs
0,デデンネ(リザードンメガバトル開催記念キャンペーン),013/XY-P,80 円,remaining:×
0,デデンネ(セブンイレブン限定サマーキャンペーン2014),013/XY-P,80 円,remaining:×
0,デデンネ(丸美屋 スペシャルカード),013/XY-P,80 円,remaining:×
0,デデンネ(ポケモンパン),013/XY-P,80 円,remaining:×
0,ピッピ,014/XY-P,80 円,remaining:1pcs
0,ヤンチャム,015/XY-P,80 円,remaining:×
0,エリキテル,016/XY-P,180 円,remaining:×
0,ゴーゴート,017/XY-P,320 円,remaining:×
0,ファイアロー,018/XY-P,180 円,remaining:×
0,ちからのハチマキ(リザードンメガバトル開催記念キャンペーン),019/XY-P,"1,480 円",remaining:×
0,ちからのハチマキ(ファミ通ナビBOOK),019/XY-P,"1,280 円",remaining:×
0,コフキムシ,020/XY-P,80 円,remaining:×
0,ゲッコウガEX,021/XY-P,320 円,remaining:×
0,オーロット,022/XY-P,120 円,remaining:×
0,ディグダ,023/XY-P,120 円,remaining:×
