,card_name,card_num,price,status
0,イベルタル,007/014,80 円,remaining:×
0,基本悪エネルギー,-,30 円,remaining:×
0,ニューラ,001/014,30 円,remaining:×
0,ヤミラミ,002/014,30 円,remaining:×
0,メグロコ,003/014,30 円,remaining:×
0,ワルビル,004/014,30 円,remaining:×
0,マーイーカ,005/014,30 円,remaining:×
0,カラマネロ,006/014,30 円,remaining:2pcs
0,クラッシュハンマー,008/014,80 円,remaining:×
0,スーパーボール,009/014,50 円,remaining:×
0,ポケモンいれかえ,010/014,50 円,remaining:×
0,ポケモンキャッチャー,011/014,30 円,remaining:4pcs
0,サナ,012/014,30 円,remaining:×
0,ティエルノ,013/014,30 円,remaining:5pcs
0,シャドーサークル,014/014,50 円,remaining:×
