,index,set_code,set_name,set_link
0,0,im,THE IDOLM@STER,https://yuyu-tei.jp/sell/ws/s/im#kana
1,0,imd,THE IDOLM@STER Deary Stars Extra,https://yuyu-tei.jp/sell/ws/s/imd#kana
2,0,im2.0,THE IDOLM@STER2,https://yuyu-tei.jp/sell/ws/s/im2.0#kana
3,0,animeim,アニメ アイドルマスター,https://yuyu-tei.jp/sell/ws/s/animeim#kana
4,0,imm,劇場版「THE IDOLM@STER MOVIE 輝きの向こう側へ！」,https://yuyu-tei.jp/sell/ws/s/imm#kana
5,0,im765proext,アイドルマスター ミニキャラパック 『765pro』 Extra,https://yuyu-tei.jp/sell/ws/s/im765proext#kana
6,0,impset,パワーアップセット アイドルマスター,https://yuyu-tei.jp/sell/ws/s/impset#kana
7,0,isc,ブースターパック「アイドルマスター シャイニーカラーズ」,https://yuyu-tei.jp/sell/ws/s/isc#kana
8,0,isctd,トライアルデッキ+「アイドルマスター シャイニーカラーズ」,https://yuyu-tei.jp/sell/ws/s/isctd#kana
9,0,imc,アイドルマスター シンデレラガールズ,https://yuyu-tei.jp/sell/ws/s/imc#kana
10,0,imc2nd,アイドルマスター シンデレラガールズ 2nd SEASON,https://yuyu-tei.jp/sell/ws/s/imc2nd#kana
11,0,ims,アイドルマスター ミリオンライブ!,https://yuyu-tei.jp/sell/ws/s/ims#kana
12,0,ims2.0,アイドルマスター ミリオンライブ! Welcome to the New St@ge,https://yuyu-tei.jp/sell/ws/s/ims2.0#kana
13,0,aw,アクセル・ワールド,https://yuyu-tei.jp/sell/ws/s/aw#kana
14,0,awib,アクセル・ワールド -インフィニット・バースト-,https://yuyu-tei.jp/sell/ws/s/awib#kana
15,0,lily,アサルトリリィ BOUQUET,https://yuyu-tei.jp/sell/ws/s/lily#kana
16,0,lily2.0,アサルトリリィ Vol.2,https://yuyu-tei.jp/sell/ws/s/lily2.0#kana
17,0,lilystageext,ポートレートブースター アサルトリリィ Last Bullet,https://yuyu-tei.jp/sell/ws/s/lilystageext#kana
18,0,azl,アズールレーン,https://yuyu-tei.jp/sell/ws/s/azl#kana
19,0,ayt,あやかしトライアングル,https://yuyu-tei.jp/sell/ws/s/ayt#kana
20,0,ags,アリス・ギア・アイギス Expansion,https://yuyu-tei.jp/sell/ws/s/ags#kana
21,0,ari,ありふれた職業で世界最強,https://yuyu-tei.jp/sell/ws/s/ari#kana
22,0,bfr,痛いのは嫌なので防御力に極振りしたいと思います。,https://yuyu-tei.jp/sell/ws/s/bfr#kana
