,card_name,card_num,price,status
0,“踏み出した勇気”鈴(サイン入り),LB/W21-001SP,"5,980 円",remaining:×
0,“いつもの笑顔”葉留佳(サイン入り),LB/W21-021SP,"4,980 円",remaining:1pcs
0,“ふたりはひとつ”美魚(サイン入り),LB/W21-041SP,"2,980 円",remaining:×
0,“楽しい時間”小毬(サイン入り),LB/W21-061SP,"3,980 円",remaining:×
0,“宇宙への夢”クド(サイン入り),LB/W21-062SP,"29,800 円",remaining:×
0,“リトルバスターズ”理樹(サイン入り),LB/W21-065SP,"24,800 円",remaining:×
0,“一緒にお手伝い”クド(サイン入り),LB/W21-102SP,"7,980 円",remaining:×
0,“理想の宮沢様”佐々美,LB/W21-002R,320 円,remaining:1pcs
0,せいいっぱいの人形劇,LB/W21-018R,500 円,remaining:×
0,新しい物語,LB/W21-019R,420 円,remaining:2pcs
0,“風紀委員長さん”佳奈多,LB/W21-026R,"7,980 円",remaining:×
0,取り戻した絆,LB/W21-039R,980 円,remaining:2pcs
0,“好奇な視線”唯湖,LB/W21-042R,"3,980 円",remaining:1pcs
0,リトルバスターズ!,LB/W21-059R,500 円,remaining:×
0,50ノーティカルマイルの空へ,LB/W21-079R,980 円,remaining:1pcs
0,“幸せスパイラル理論”小毬,LB/W21-101R,420 円,remaining:4pcs
0,“僕らの物語”理樹,LB/W21-104R,980 円,remaining:5pcs
0,リトルバスターズ!,LB/W21-105R,"1,480 円",remaining:1pcs
0,“リトルバスターズ”小毬,LB/W21-003S,320 円,remaining:2pcs
0,“リトルバスターズ”鈴,LB/W21-005S,320 円,remaining:×
0,“リトルバスターズ”謙吾&真人,LB/W21-006S,320 円,remaining:×
0,無敵の来ヶ谷,LB/W21-020S,220 円,remaining:×
0,“悩ましい想い”鈴,LB/W21-022S,420 円,remaining:×
0,“リトルバスターズ”クド,LB/W21-023S,320 円,remaining:×
0,“可愛いは正義”クド,LB/W21-025S,"1,480 円",remaining:×
0,不器用な友情,LB/W21-040S,320 円,remaining:×
0,“リトルバスターズ”葉留佳,LB/W21-044S,320 円,remaining:×
0,“リトルバスターズ”唯湖,LB/W21-046S,320 円,remaining:1pcs
0,あの時の約束,LB/W21-060S,220 円,remaining:×
0,“リトルバスターズ”美魚,LB/W21-064S,320 円,remaining:×
0,“リトルバスターズ”恭介,LB/W21-066S,320 円,remaining:×
0,――行こう…生きよう。,LB/W21-080S,320 円,remaining:×
0,“真っ直ぐな強さ”鈴,LB/W21-103S,120 円,remaining:×
0,“踏み出した勇気”鈴,LB/W21-001,180 円,remaining:9pcs
0,“いつもの笑顔”葉留佳,LB/W21-021,120 円,remaining:9pcs
0,“ふたりはひとつ”美魚,LB/W21-041,220 円,remaining:◯
0,“楽しい時間”小毬,LB/W21-061,120 円,remaining:◯
0,“宇宙への夢”クド,LB/W21-062,320 円,remaining:9pcs
0,“理想の宮沢様”佐々美,LB/W21-002,120 円,remaining:◯
0,“リトルバスターズ”小毬,LB/W21-003,120 円,remaining:◯
0,“秘密”を求めて鈴,LB/W21-004,980 円,remaining:◯
0,“リトルバスターズ”鈴,LB/W21-005,120 円,remaining:◯
0,“リトルバスターズ”謙吾&真人,LB/W21-006,80 円,remaining:◯
0,“悩ましい想い”鈴,LB/W21-022,120 円,remaining:◯
0,“リトルバスターズ”クド,LB/W21-023,120 円,remaining:5pcs
0,“大切なもの”葉留佳,LB/W21-024,320 円,remaining:5pcs
0,“可愛いは正義”クド,LB/W21-025,120 円,remaining:3pcs
0,“風紀委員長さん”佳奈多,LB/W21-026,500 円,remaining:◯
0,“好奇な視線”唯湖,LB/W21-042,180 円,remaining:4pcs
0,“妹思いのお姉さん”佳奈多,LB/W21-043,420 円,remaining:◯
0,“リトルバスターズ”葉留佳,LB/W21-044,120 円,remaining:◯
0,“本当の願い”美鳥,LB/W21-045,120 円,remaining:◯
0,“リトルバスターズ”唯湖,LB/W21-046,80 円,remaining:◯
0,“新たな絆”小毬,LB/W21-063,80 円,remaining:◯
0,“リトルバスターズ”美魚,LB/W21-064,120 円,remaining:◯
0,“リトルバスターズ”理樹,LB/W21-065,"1,980 円",remaining:10pcs
0,“リトルバスターズ”恭介,LB/W21-066,120 円,remaining:◯
0,棗×直枝,LB/W21-007,50 円,remaining:◯
0,“次期キャプテン候補”佐々美,LB/W21-008,80 円,remaining:◯
0,“新たな絆”鈴,LB/W21-009,80 円,remaining:◯
0,“一刀両断”唯湖,LB/W21-010A,50 円,remaining:◯
0,“一刀両断”唯湖,LB/W21-010B,50 円,remaining:◯
0,夜空を見上げて,LB/W21-017,50 円,remaining:◯
0,“真人のライバル”謙吾,LB/W21-027,50 円,remaining:◯
0,“学食を救え!”鈴,LB/W21-028,80 円,remaining:◯
0,“恋する乙女”佐々美,LB/W21-029,50 円,remaining:◯
0,“お似合いの服”理樹,LB/W21-030A,50 円,remaining:◯
0,“お似合いの服”理樹,LB/W21-030B,50 円,remaining:◯
0,“手を繋いで”葉留佳&佳奈多,LB/W21-031,50 円,remaining:◯
0,ムヒョッス、最高だぜ,LB/W21-038,50 円,remaining:◯
