,card_name,card_num,price,status
0,翠緑の瞳 デッドマスター(サイン入り),BR/SE06-09,"8,980 円",remaining:×
0,異世界の少女 ブラック★ロックシューター(サイン入り),BR/SE06-22,"19,800 円",remaining:×
0,クラスメイト ユウ,BR/SE06-01,220 円,remaining:2pcs
0,ストレングス,BR/SE06-02,120 円,remaining:7pcs
0,帰国子女 ヨミ,BR/SE06-07,220 円,remaining:◯
0,“冷笑”デッドマスター,BR/SE06-08,220 円,remaining:5pcs
0,翠緑の瞳 デッドマスター,BR/SE06-09,320 円,remaining:8pcs
0,“Dead Scythe”デッドマスター,BR/SE06-10,180 円,remaining:◯
0,常闇の主 デッドマスター,BR/SE06-11,420 円,remaining:◯
0,天真爛漫 マト,BR/SE06-21,500 円,remaining:1pcs
0,異世界の少女 ブラック★ロックシューター,BR/SE06-22,420 円,remaining:◯
0,対照的な二人 マト&ヨミ,BR/SE06-23,180 円,remaining:10pcs
0,青い衝撃 ブラック★ロックシューター,BR/SE06-24,180 円,remaining:◯
0,闇を駆ける ブラック★ロックシューター,BR/SE06-25,220 円,remaining:7pcs
0,優秀なマネージャー ユウ,BR/SE06-03,180 円,remaining:◯
0,無明の刃 ブラックゴールドソー,BR/SE06-04,120 円,remaining:◯
0,ユウ,BR/SE06-05,180 円,remaining:◯
0,ブラックゴールドソー,BR/SE06-06,50 円,remaining:◯
0,異世界の少女 デッドマスター,BR/SE06-12,80 円,remaining:◯
0,空虚なる者 デッドマスター,BR/SE06-13,50 円,remaining:◯
0,バレー部のホープ ヨミ,BR/SE06-14,180 円,remaining:◯
0,小鳥遊 ヨミ,BR/SE06-15,80 円,remaining:◯
0,大人びた美少女 ヨミ,BR/SE06-16,180 円,remaining:◯
0,闇を舞うデッドマスター,BR/SE06-17,50 円,remaining:◯
0,黒の玉座 デッドマスター,BR/SE06-18,50 円,remaining:◯
0,佇むブラック★ロックシューター,BR/SE06-26,80 円,remaining:10pcs
0,“Black blade”ブラック★ロックシューター,BR/SE06-27,50 円,remaining:◯
0,期待の一年生エース マト,BR/SE06-28,120 円,remaining:◯
0,黒衣 マト,BR/SE06-29,80 円,remaining:◯
0,“★Rock Cannon”ブラック★ロックシューター,BR/SE06-30,180 円,remaining:4pcs
0,青き炎の瞳 ブラック★ロックシューター,BR/SE06-31,120 円,remaining:10pcs
0,友達を想う マト,BR/SE06-32,120 円,remaining:7pcs
0,“邂逅”ブラック★ロックシューター&デッドマスター,BR/SE06-33,50 円,remaining:◯
0,“流星”ブラック★ロックシューター,BR/SE06-34,120 円,remaining:◯
0,星型のストラップ,BR/SE06-19,120 円,remaining:◯
0,闇に浮かぶ影,BR/SE06-20,120 円,remaining:◯
0,★Rock Cannon,BR/SE06-35,320 円,remaining:6pcs
0,アナタは誰?,BR/SE06-36,320 円,remaining:2pcs
0,クラスメイト ユウ(ホロ),BR/SE06-01,320 円,remaining:×
0,ストレングス(ホロ),BR/SE06-02,180 円,remaining:1pcs
0,帰国子女 ヨミ(ホロ),BR/SE06-07,320 円,remaining:3pcs
0,“冷笑”デッドマスター(ホロ),BR/SE06-08,320 円,remaining:1pcs
0,翠緑の瞳 デッドマスター(ホロ),BR/SE06-09,420 円,remaining:10pcs
