,card_name,card_num,price,status
0,ジャーナリスト マリア&御法川(サイン入り),CN/SE02-01,"9,980 円",remaining:×
0,“宝物”カナン&マリア(サイン入り),CN/SE02-02,"12,800 円",remaining:×
0,社長秘書リャン・チー(サイン入り),CN/SE02-17,"4,980 円",remaining:×
0,ジャーナリスト マリア&御法川,CN/SE02-01,420 円,remaining:◯
0,“宝物”カナン&マリア,CN/SE02-02,420 円,remaining:◯
0,過去を奪われた犠牲者カナン,CN/SE02-03,320 円,remaining:2pcs
0,駆け出しカメラマン マリア,CN/SE02-04,180 円,remaining:◯
0,“希望の地”カナン,CN/SE02-05,500 円,remaining:◯
0,心に咲いた花ハッコー,CN/SE02-15,180 円,remaining:◯
0,過去を失った敗北者アルファルド,CN/SE02-16,180 円,remaining:◯
0,社長秘書リャン・チー,CN/SE02-17,180 円,remaining:◯
0,テロリスト アルファルド,CN/SE02-18,180 円,remaining:◯
0,思い出の品マリア,CN/SE02-06,120 円,remaining:10pcs
0,大沢 マリア,CN/SE02-07,320 円,remaining:9pcs
0,共感覚者カナン,CN/SE02-08,220 円,remaining:◯
0,破壊工作員カナン,CN/SE02-09,220 円,remaining:2pcs
0,監視役 夏目,CN/SE02-10,180 円,remaining:9pcs
0,鉄の闘争代行人カナン,CN/SE02-11,180 円,remaining:◯
0,大切な友人 カナン&マリア,CN/SE02-12,180 円,remaining:6pcs
0,新人アイドル ネネ,CN/SE02-19,180 円,remaining:10pcs
0,天然娘ユンユン,CN/SE02-20,180 円,remaining:◯
0,貧乏アルバイター ユンユン,CN/SE02-21,120 円,remaining:◯
0,姉妹弟子 カナン&アルファルド,CN/SE02-22,320 円,remaining:◯
0,蛇の頭アルファルド,CN/SE02-23,180 円,remaining:◯
0,アルファルド&リャン・チー,CN/SE02-24,120 円,remaining:◯
0,ダイダラ社社長カミングズ,CN/SE02-25,120 円,remaining:◯
0,蛇の天敵,CN/SE02-13,320 円,remaining:◯
0,親愛なる友人,CN/SE02-14,120 円,remaining:◯
0,カナンの名を持つ存在,CN/SE02-26,320 円,remaining:◯
0,空を舞う蛇,CN/SE02-27,120 円,remaining:◯
0,ジャーナリスト マリア&御法川(ホロ),CN/SE02-01S,500 円,remaining:1pcs
0,“宝物”カナン&マリア(ホロ),CN/SE02-02S,500 円,remaining:1pcs
0,過去を奪われた犠牲者カナン(ホロ),CN/SE02-03S,420 円,remaining:1pcs
0,駆け出しカメラマン マリア(ホロ),CN/SE02-04S,220 円,remaining:◯
0,“希望の地”カナン(ホロ),CN/SE02-05S,680 円,remaining:2pcs
0,心に咲いた花ハッコー(ホロ),CN/SE02-15S,220 円,remaining:9pcs
0,過去を失った敗北者アルファルド(ホロ),CN/SE02-16S,220 円,remaining:2pcs
0,社長秘書リャン・チー(ホロ),CN/SE02-17S,220 円,remaining:×
0,テロリスト アルファルド(ホロ),CN/SE02-18S,220 円,remaining:◯
0,思い出の品マリア(ホロ),CN/SE02-06S,180 円,remaining:◯
0,大沢 マリア(ホロ),CN/SE02-07S,420 円,remaining:1pcs
0,共感覚者カナン(ホロ),CN/SE02-08S,320 円,remaining:4pcs
0,破壊工作員カナン(ホロ),CN/SE02-09S,320 円,remaining:×
0,監視役 夏目(ホロ),CN/SE02-10S,220 円,remaining:×
0,鉄の闘争代行人カナン(ホロ),CN/SE02-11S,220 円,remaining:◯
0,大切な友人 カナン&マリア(ホロ),CN/SE02-12S,220 円,remaining:◯
0,新人アイドル ネネ(ホロ),CN/SE02-19S,220 円,remaining:5pcs
0,天然娘ユンユン(ホロ),CN/SE02-20S,220 円,remaining:7pcs
0,貧乏アルバイター ユンユン(ホロ),CN/SE02-21S,180 円,remaining:9pcs
0,姉妹弟子 カナン&アルファルド(ホロ),CN/SE02-22S,420 円,remaining:2pcs
0,蛇の頭アルファルド(ホロ),CN/SE02-23S,120 円,remaining:◯
0,アルファルド&リャン・チー(ホロ),CN/SE02-24S,180 円,remaining:4pcs
0,ダイダラ社社長カミングズ(ホロ),CN/SE02-25S,180 円,remaining:6pcs
0,蛇の天敵(ホロ),CN/SE02-13S,420 円,remaining:6pcs
0,親愛なる友人(ホロ),CN/SE02-14S,180 円,remaining:◯
0,カナンの名を持つ存在(ホロ),CN/SE02-26S,500 円,remaining:×
0,空を舞う蛇(ホロ),CN/SE02-27S,180 円,remaining:◯
0,“守るべき絆”カナン&マリア,CN/SE02-28,220 円,remaining:◯
