,card_name,card_num,price,status
0,聖槍の担い手 獅子王(サイン入り),FGO/S87-001SP,"39,800 円",remaining:×
0,古き天空の女王 ニトクリス(サイン入り),FGO/S87-028SP,"5,980 円",remaining:×
0,荒廃の地を往く法師 玄奘三蔵(サイン入り),FGO/S87-029SP,"5,980 円",remaining:×
0,太陽王 オジマンディアス(サイン入り),FGO/S87-030SP,"5,980 円",remaining:1pcs
0,毒の娘 静謐のハサン(サイン入り),FGO/S87-052SP,"6,980 円",remaining:×
0,輝けるアガートラム ベディヴィエール(サイン入り),FGO/S87-053SP,"19,800 円",remaining:×
0,聖なる盾の騎士 マシュ・キリエライト(サイン入り),FGO/S87-082SP,"29,800 円",remaining:1pcs
0,獅子王の補佐官 アグラヴェイン,FGO/S87-003RTR,"3,980 円",remaining:1pcs
0,嘆きの騎士 トリスタン,FGO/S87-005RTR,"1,980 円",remaining:×
0,日輪の輝く限り ガウェイン,FGO/S87-006RTR,980 円,remaining:×
0,祝福された暴走 モードレッド,FGO/S87-008RTR,"2,480 円",remaining:×
0,孤高の騎士 ランスロット,FGO/S87-059RTR,"1,280 円",remaining:×
0,最果てにて輝ける槍,FGO/S87-024R,"2,480 円",remaining:×
0,転輪する勝利の剣,FGO/S87-025R,420 円,remaining:◯
0,光輝の大複合神殿,FGO/S87-049R,420 円,remaining:×
0,五行山・釈迦如来掌,FGO/S87-051R,320 円,remaining:×
0,剣を摂れ、銀色の腕,FGO/S87-077R,780 円,remaining:×
0,湖光のランスロット,FGO/S87-078R,500 円,remaining:×
0,流星一条,FGO/S87-079R,220 円,remaining:×
0,いまは遥か理想の城,FGO/S87-099R,980 円,remaining:5pcs
0,神霊 獅子王,FGO/S87-002S,320 円,remaining:1pcs
0,ゆるがぬ忠義 ガウェイン&獅子王,FGO/S87-004S,420 円,remaining:◯
0,嵐の王の名の下に 獅子王,FGO/S87-007S,420 円,remaining:×
0,獣の心を持つ悪鬼 トリスタン,FGO/S87-010S,320 円,remaining:7pcs
0,鉄のアグラヴェイン,FGO/S87-013S,180 円,remaining:×
0,遊撃騎士 モードレッド,FGO/S87-014S,220 円,remaining:×
0,世界の救済 オジマンディアス,FGO/S87-031S,180 円,remaining:×
0,御仏の慈悲 玄奘三蔵,FGO/S87-032S,220 円,remaining:×
