,card_name,card_num,price,status
0,騎士の風格 セイバー(サイン入り),FS/S34-001SP,"5,980 円",remaining:×
0,騎士の誓い セイバー(サイン入り),FS/S34-003SP,"19,800 円",remaining:×
0,勝利のために 凛(サイン入り),FS/S34-051SP,"4,980 円",remaining:×
0,デート日和 凛(サイン入り),FS/S34-052SP,"4,980 円",remaining:×
0,聖杯戦争への参戦 セイバー(サイン入り),FS/S34-T16SP,"6,980 円",remaining:×
0,宝石魔術師 凛(サイン入り),FS/S34-T19SP,"5,980 円",remaining:×
0,“セイバーのマスター”士郎,FS/S34-002R,320 円,remaining:4pcs
0,“英霊”ライダー,FS/S34-036R,780 円,remaining:×
0,“英霊”アーチャー,FS/S34-053R,"2,480 円",remaining:×
0,“英霊”キャスター,FS/S34-076R,"2,480 円",remaining:7pcs
0,聖杯戦争への参戦 セイバー,FS/S34-T16R,980 円,remaining:×
0,宝石魔術師 凛,FS/S34-T19R,780 円,remaining:×
0,共に戦う覚悟 士郎,FS/S34-004S,"2,480 円",remaining:×
0,“英霊”セイバー,FS/S34-005S,420 円,remaining:×
0,共に戦う覚悟 セイバー,FS/S34-006S,320 円,remaining:×
0,日常の象徴 桜,FS/S34-037S,"6,980 円",remaining:1pcs
0,小悪魔的微笑み 凛,FS/S34-054S,780 円,remaining:×
0,魔術師として 凛,FS/S34-055S,980 円,remaining:×
0,凛のサーヴァント アーチャー,FS/S34-056S,980 円,remaining:10pcs
0,銀糸錬金 天使の詩 イリヤ,FS/S34-078S,"2,980 円",remaining:×
0,勝利のために 凛&アーチャー,FS/S34-T18S,220 円,remaining:1pcs
0,騎士の風格 セイバー,FS/S34-001,680 円,remaining:◯
0,“セイバーのマスター”士郎,FS/S34-002,120 円,remaining:◯
0,騎士の誓い セイバー,FS/S34-003,"2,480 円",remaining:◯
0,“英霊”ライダー,FS/S34-036,120 円,remaining:◯
0,勝利のために 凛,FS/S34-051,220 円,remaining:4pcs
0,デート日和 凛,FS/S34-052,220 円,remaining:◯
0,“英霊”アーチャー,FS/S34-053,"1,280 円",remaining:10pcs
0,“英霊”キャスター,FS/S34-076,780 円,remaining:◯
0,共に戦う覚悟 士郎,FS/S34-004,"1,480 円",remaining:1pcs
0,“英霊”セイバー,FS/S34-005,180 円,remaining:10pcs
0,共に戦う覚悟 セイバー,FS/S34-006,120 円,remaining:◯
0,不戦の覚悟 士郎,FS/S34-007,80 円,remaining:◯
0,宗一郎との戦い セイバー,FS/S34-008,120 円,remaining:◯
0,朝焼けの中で 士郎,FS/S34-009,180 円,remaining:◯
0,結界内の攻防 セイバー,FS/S34-010,120 円,remaining:◯
0,日常の象徴 桜,FS/S34-037,"1,980 円",remaining:◯
0,妖艶な美女 ライダー,FS/S34-038,320 円,remaining:◯
0,“英霊”ランサー,FS/S34-039,80 円,remaining:◯
0,小悪魔的微笑み 凛,FS/S34-054,220 円,remaining:◯
0,魔術師として 凛,FS/S34-055,420 円,remaining:◯
0,凛のサーヴァント アーチャー,FS/S34-056,680 円,remaining:◯
0,遅参する アーチャー,FS/S34-057,120 円,remaining:◯
0,呪いの魔弾 凛,FS/S34-058,120 円,remaining:◯
0,マスターの心構え 凛,FS/S34-059,120 円,remaining:◯
0,弓兵の真価 アーチャー,FS/S34-060,80 円,remaining:◯
0,魔術師の戦い方 キャスター,FS/S34-077,120 円,remaining:◯
0,銀糸錬金 天使の詩 イリヤ,FS/S34-078,680 円,remaining:1pcs
0,“英霊”アサシン,FS/S34-079,120 円,remaining:◯
0,放課後の戦い 士郎,FS/S34-011,80 円,remaining:◯
0,過去の英雄 セイバー,FS/S34-012,120 円,remaining:◯
0,サーヴァントとの対峙 士郎,FS/S34-013,50 円,remaining:◯
0,救出へ向かう セイバー,FS/S34-014,50 円,remaining:◯
0,悪戯な微笑 大河,FS/S34-015,50 円,remaining:◯
0,“サーヴァント”ギルガメッシュ,FS/S34-016,50 円,remaining:◯
0,お人好し 士郎,FS/S34-017,80 円,remaining:◯
0,弓道部長 美綴,FS/S34-018,50 円,remaining:◯
0,一時休息,FS/S34-030,50 円,remaining:◯
0,朝の挨拶 桜,FS/S34-040,50 円,remaining:◯
0,弓道部員 桜,FS/S34-041,50 円,remaining:◯
0,傍観者 ランサー,FS/S34-042,50 円,remaining:◯
0,宝具開放,FS/S34-048,780 円,remaining:◯
0,契約の証 凛,FS/S34-061,180 円,remaining:◯
0,伊達眼鏡 凛,FS/S34-062,80 円,remaining:◯
0,契約の証 アーチャー,FS/S34-063,50 円,remaining:◯
0,奇襲するアーチャー,FS/S34-064,50 円,remaining:◯
0,弓兵の本領 アーチャー,FS/S34-065,50 円,remaining:◯
0,父の形見,FS/S34-071,50 円,remaining:◯
0,“キャスターのマスター”葛木宗一郎,FS/S34-080,80 円,remaining:◯
0,凛のクラスメイト 氷室 鐘,FS/S34-081,50 円,remaining:◯
0,圧倒的な暴力 バーサーカー,FS/S34-082,80 円,remaining:◯
0,淑女 イリヤ,FS/S34-083,50 円,remaining:◯
0,慇懃無礼 綺礼,FS/S34-084,50 円,remaining:◯
0,“必殺”の技 アサシン,FS/S34-085,50 円,remaining:◯
0,策略家 キャスター,FS/S34-086,50 円,remaining:◯
0,幻影魔術,FS/S34-096,680 円,remaining:◯
0,略奪,FS/S34-097,50 円,remaining:◯
0,凛とした空気 セイバー,FS/S34-019,30 円,remaining:◯
0,学食にて 美綴,FS/S34-020,30 円,remaining:◯
0,士郎の親友 一成,FS/S34-021,30 円,remaining:◯
0,機械いじり 士郎,FS/S34-022,30 円,remaining:◯
0,朝練中 美綴,FS/S34-023,30 円,remaining:◯
0,いつもの朝 士郎,FS/S34-024,30 円,remaining:◯
0,生徒会長 一成,FS/S34-025,30 円,remaining:◯
0,いつもの朝 大河,FS/S34-026,30 円,remaining:◯
0,令呪の発動 士郎,FS/S34-027,30 円,remaining:◯
0,金髪のサーヴァント,FS/S34-028,30 円,remaining:◯
0,隠された武器 セイバー,FS/S34-029,30 円,remaining:◯
0,自己鍛錬,FS/S34-031,30 円,remaining:◯
0,自意識過剰 慎二,FS/S34-043,30 円,remaining:◯
0,弓道部副部長 慎二,FS/S34-044,30 円,remaining:◯
0,獣の如き動き ランサー,FS/S34-045,80 円,remaining:◯
0,いつもの朝 桜,FS/S34-046,30 円,remaining:◯
0,慎二のサーヴァント ライダー,FS/S34-047,50 円,remaining:◯
0,皮肉屋 アーチャー,FS/S34-066,30 円,remaining:◯
0,手荒な召喚 アーチャー,FS/S34-067,30 円,remaining:◯
0,二刀使いの弓兵 アーチャー,FS/S34-068,50 円,remaining:◯
0,いつもと違う朝 凛,FS/S34-069,30 円,remaining:◯
0,召喚の儀 凛,FS/S34-070,30 円,remaining:◯
0,戦いの前の忠告 イリヤ,FS/S34-087,30 円,remaining:◯
0,現代の実力者 綺礼,FS/S34-088,30 円,remaining:◯
0,“英霊”バーサーカー,FS/S34-089,30 円,remaining:◯
0,凛のクラスメイト 三枝 由紀香,FS/S34-090,30 円,remaining:◯
0,“バーサーカーのマスター”イリヤ,FS/S34-091,50 円,remaining:◯
0,凛のクラスメイト 蒔寺 楓,FS/S34-092,30 円,remaining:◯
0,破戒の宝具 キャスター,FS/S34-093,30 円,remaining:◯
0,聖杯戦争の監督役 綺礼,FS/S34-094,30 円,remaining:◯
0,無口な教師 葛木 宗一郎,FS/S34-095,30 円,remaining:◯
0,強大な力,FS/S34-098,30 円,remaining:◯
0,武装の開放,FS/S34-032,80 円,remaining:◯
0,放課後に踊る,FS/S34-049,80 円,remaining:◯
0,遠坂の魔術刻印,FS/S34-072,220 円,remaining:9pcs
0,イリヤの魔術 シュトルヒリッター,FS/S34-099,80 円,remaining:◯
0,運命の夜,FS/S34-033,80 円,remaining:◯
0,悪への怒り,FS/S34-034,50 円,remaining:◯
0,セイバーの召喚,FS/S34-035,30 円,remaining:◯
0,魂喰いの結界,FS/S34-050,80 円,remaining:◯
0,召喚の儀式,FS/S34-073,30 円,remaining:◯
0,狙い穿つ,FS/S34-074,30 円,remaining:◯
0,弓兵の本領,FS/S34-075,30 円,remaining:◯
0,破戒の宝具,FS/S34-100,80 円,remaining:◯
0,凛とした空気 セイバー,FS/S34-T01,30 円,remaining:◯
0,機械いじり 士郎,FS/S34-T02,30 円,remaining:◯
0,いつもの朝 士郎,FS/S34-T03,50 円,remaining:◯
0,過去の英雄 セイバー,FS/S34-T04,120 円,remaining:◯
0,お人好し 士郎,FS/S34-T05,50 円,remaining:◯
0,隠された武器 セイバー,FS/S34-T06,30 円,remaining:◯
0,自己鍛錬,FS/S34-T07,50 円,remaining:◯
0,運命の夜,FS/S34-T08,80 円,remaining:◯
0,契約の証 凛,FS/S34-T09,180 円,remaining:◯
0,手荒な召喚 アーチャー,FS/S34-T10,30 円,remaining:◯
0,二刀使いの弓兵 アーチャー,FS/S34-T11,50 円,remaining:◯
0,いつもと違う朝 凛,FS/S34-T12,50 円,remaining:◯
0,召喚の儀 凛,FS/S34-T13,50 円,remaining:◯
0,召喚の儀式,FS/S34-T14,50 円,remaining:◯
0,弓兵の本領,FS/S34-T15,80 円,remaining:◯
0,聖杯戦争への参戦 セイバー,FS/S34-T16,180 円,remaining:5pcs
0,使い魔の仕事 アーチャー,FS/S34-T17,180 円,remaining:◯
0,勝利のために 凛&アーチャー,FS/S34-T18,120 円,remaining:10pcs
0,宝石魔術師 凛,FS/S34-T19,180 円,remaining:◯
0,強化の魔術 士郎,FS/S34-T20,80 円,remaining:◯
0,SD士郎,FS/S34-101,180 円,remaining:◯
0,SDセイバー,FS/S34-102,180 円,remaining:◯
0,SDアーチャー,FS/S34-103,180 円,remaining:6pcs
0,SD凛,FS/S34-104,220 円,remaining:7pcs
0,運命に挑む者たち,FS/S34-P01,180 円,remaining:◯
0,共闘する者たち,FS/S34-P02,220 円,remaining:2pcs
0,夜に舞う 凛&アーチャー,FS/S34-P03,180 円,remaining:◯
0,たまの息抜き 凛,FS/S34-P04,320 円,remaining:◯
