,card_name,card_num,price,status
0,“勇ましき巫女”マイナ(サイン入り),GZL/SE33-01SP,"2,480 円",remaining:2pcs
0,“心優しき巫女”ミアナ(サイン入り),GZL/SE33-02SP,"1,980 円",remaining:1pcs
0,“一縷の希望”ユウコ・タニ(サイン入り),GZL/SE33-22SP,"3,980 円",remaining:4pcs
0,“猛き咆哮”ゴジラ・アース(箔押し入り),GZL/SE33-12SEC,"19,800 円",remaining:×
0,“装甲兵器”ヴァルチャー(箔押し入り),GZL/SE33-23SEC,"6,980 円",remaining:1pcs
0,“勇ましき巫女”マイナ,GZL/SE33-01,220 円,remaining:◯
0,“心優しき巫女”ミアナ,GZL/SE33-02,180 円,remaining:◯
0,“猛き咆哮”ゴジラ・アース,GZL/SE33-12,"1,780 円",remaining:×
0,“迷いを捨てて”ハルオ,GZL/SE33-21,220 円,remaining:◯
0,“一縷の希望”ユウコ・タニ,GZL/SE33-22,420 円,remaining:◯
0,“装甲兵器”ヴァルチャー,GZL/SE33-23,500 円,remaining:◯
0,“共に行こう”ミアナ,GZL/SE33-03,80 円,remaining:◯
0,“覗く好奇心”ミアナ,GZL/SE33-04,120 円,remaining:◯
0,“進行開始”ゴジラ・アース,GZL/SE33-13,500 円,remaining:×
0,“緋色に染まる”ゴジラ・アース,GZL/SE33-14,500 円,remaining:×
0,“起動”メカゴジラ,GZL/SE33-15,180 円,remaining:◯
0,“疑念の渦”ハルオ,GZL/SE33-24,120 円,remaining:◯
0,“文明の再燃”ガルグ,GZL/SE33-25,120 円,remaining:◯
0,“生物学者”マーティン,GZL/SE33-26,120 円,remaining:◯
0,“戦闘指揮”ハルオ,GZL/SE33-27,80 円,remaining:◯
0,“冷徹なリアリスト”ドルド,GZL/SE33-28,80 円,remaining:◯
0,“大司教”メトフィエス,GZL/SE33-29,120 円,remaining:◯
0,“ワタリドリの翼”ユウコ・タニ,GZL/SE33-30,120 円,remaining:◯
0,“闇に紛れて”マイナ,GZL/SE33-05,80 円,remaining:◯
0,“フツアの少女”マイナ,GZL/SE33-06,50 円,remaining:◯
0,卵の歌,GZL/SE33-10,50 円,remaining:◯
0,“蘇る決戦兵器”メカゴジラ,GZL/SE33-16,120 円,remaining:◯
0,“地球の支配者”ゴジラ・アース,GZL/SE33-17,320 円,remaining:×
0,“探求心”マーティン,GZL/SE33-31,80 円,remaining:7pcs
0,“エクシフの祈り”エンダルフ,GZL/SE33-32,50 円,remaining:◯
0,“秘めた信念”メトフィエス,GZL/SE33-33,80 円,remaining:◯
0,“合理的な思考”ガルグ,GZL/SE33-34,80 円,remaining:◯
0,“森の中で”ユウコ,GZL/SE33-35,50 円,remaining:◯
0,“決死の抵抗”ハルオ,GZL/SE33-36,50 円,remaining:◯
0,ナノメタル,GZL/SE33-47,80 円,remaining:◯
0,“耳澄ます”フツアの民,GZL/SE33-07,120 円,remaining:◯
0,“歩み寄る?”ミアナ,GZL/SE33-08,30 円,remaining:◯
0,“警戒の目”マイナ,GZL/SE33-09,30 円,remaining:◯
0,“ワーム型”セルヴァム,GZL/SE33-18,120 円,remaining:2pcs
0,“導きの道”メトフィエス,GZL/SE33-37,30 円,remaining:◯
0,“危機一髪”ユウコ・タニ,GZL/SE33-38,30 円,remaining:◯
0,“未来のために”エリオット,GZL/SE33-39,30 円,remaining:◯
0,“館長の決断”モーリ,GZL/SE33-40,30 円,remaining:◯
0,“強敵に挑む者”ベルベ,GZL/SE33-41,80 円,remaining:8pcs
0,“若き少尉”アダム,GZL/SE33-42,30 円,remaining:◯
0,“ビルサルドの熱情”ベルベ,GZL/SE33-43,80 円,remaining:◯
0,“文明の結晶”ヴァルチャー,GZL/SE33-44,80 円,remaining:◯
0,“見知らぬ場所”ハルオ,GZL/SE33-45,30 円,remaining:◯
0,“決意を宿す”ユウコ・タニ,GZL/SE33-46,30 円,remaining:◯
0,卵を讃えよ,GZL/SE33-11,50 円,remaining:◯
0,熱線,GZL/SE33-19,320 円,remaining:◯
0,増殖都市,GZL/SE33-20,120 円,remaining:◯
0,前線への覚悟,GZL/SE33-48,50 円,remaining:◯
0,銀の涙,GZL/SE33-49,50 円,remaining:◯
0,全機、出撃!,GZL/SE33-50,120 円,remaining:◯
0,“勇ましき巫女”マイナ(ホロ),GZL/SE33-01,220 円,remaining:4pcs
0,“心優しき巫女”ミアナ(ホロ),GZL/SE33-02,180 円,remaining:◯
0,“猛き咆哮”ゴジラ・アース(ホロ),GZL/SE33-12,"1,980 円",remaining:×
0,“迷いを捨てて”ハルオ(ホロ),GZL/SE33-21,320 円,remaining:◯
0,“一縷の希望”ユウコ・タニ(ホロ),GZL/SE33-22,500 円,remaining:◯
0,“装甲兵器”ヴァルチャー(ホロ),GZL/SE33-23,680 円,remaining:1pcs
0,“共に行こう”ミアナ(ホロ),GZL/SE33-03,120 円,remaining:◯
0,“覗く好奇心”ミアナ(ホロ),GZL/SE33-04,180 円,remaining:×
0,“進行開始”ゴジラ・アース(ホロ),GZL/SE33-13,780 円,remaining:1pcs
0,“緋色に染まる”ゴジラ・アース(ホロ),GZL/SE33-14,780 円,remaining:1pcs
0,“起動”メカゴジラ(ホロ),GZL/SE33-15,220 円,remaining:1pcs
0,“疑念の渦”ハルオ(ホロ),GZL/SE33-24,180 円,remaining:3pcs
0,“文明の再燃”ガルグ(ホロ),GZL/SE33-25,180 円,remaining:1pcs
0,“生物学者”マーティン(ホロ),GZL/SE33-26,180 円,remaining:×
0,“戦闘指揮”ハルオ(ホロ),GZL/SE33-27,120 円,remaining:◯
0,“冷徹なリアリスト”ドルド(ホロ),GZL/SE33-28,120 円,remaining:◯
0,“大司教”メトフィエス(ホロ),GZL/SE33-29,180 円,remaining:5pcs
0,“ワタリドリの翼”ユウコ・タニ(ホロ),GZL/SE33-30,180 円,remaining:4pcs
0,“闇に紛れて”マイナ(ホロ),GZL/SE33-05,120 円,remaining:4pcs
0,“フツアの少女”マイナ(ホロ),GZL/SE33-06,80 円,remaining:◯
0,卵の歌(ホロ),GZL/SE33-10,80 円,remaining:◯
0,“蘇る決戦兵器”メカゴジラ(ホロ),GZL/SE33-16,220 円,remaining:2pcs
0,“地球の支配者”ゴジラ・アース(ホロ),GZL/SE33-17,420 円,remaining:4pcs
0,“探求心”マーティン(ホロ),GZL/SE33-31,120 円,remaining:×
0,“エクシフの祈り”エンダルフ(ホロ),GZL/SE33-32,80 円,remaining:◯
0,“秘めた信念”メトフィエス(ホロ),GZL/SE33-33,120 円,remaining:8pcs
0,“合理的な思考”ガルグ(ホロ),GZL/SE33-34,180 円,remaining:7pcs
0,“森の中で”ユウコ(ホロ),GZL/SE33-35,80 円,remaining:◯
0,“決死の抵抗”ハルオ(ホロ),GZL/SE33-36,80 円,remaining:◯
0,ナノメタル(ホロ),GZL/SE33-47,120 円,remaining:3pcs
0,“耳澄ます”フツアの民(ホロ),GZL/SE33-07,180 円,remaining:◯
0,“歩み寄る?”ミアナ(ホロ),GZL/SE33-08,50 円,remaining:×
0,“警戒の目”マイナ(ホロ),GZL/SE33-09,50 円,remaining:◯
0,“ワーム型”セルヴァム(ホロ),GZL/SE33-18,220 円,remaining:8pcs
0,“導きの道”メトフィエス(ホロ),GZL/SE33-37,50 円,remaining:◯
0,“危機一髪”ユウコ・タニ(ホロ),GZL/SE33-38,50 円,remaining:◯
0,“未来のために”エリオット(ホロ),GZL/SE33-39,50 円,remaining:◯
0,“館長の決断”モーリ(ホロ),GZL/SE33-40,50 円,remaining:◯
0,“強敵に挑む者”ベルベ(ホロ),GZL/SE33-41,180 円,remaining:10pcs
0,“若き少尉”アダム(ホロ),GZL/SE33-42,50 円,remaining:◯
0,“ビルサルドの熱情”ベルベ(ホロ),GZL/SE33-43,120 円,remaining:◯
0,“文明の結晶”ヴァルチャー(ホロ),GZL/SE33-44,120 円,remaining:2pcs
0,“見知らぬ場所”ハルオ(ホロ),GZL/SE33-45,50 円,remaining:◯
0,“決意を宿す”ユウコ・タニ(ホロ),GZL/SE33-46,50 円,remaining:◯
0,卵を讃えよ(ホロ),GZL/SE33-11,80 円,remaining:3pcs
0,熱線(ホロ),GZL/SE33-19,420 円,remaining:×
0,増殖都市(ホロ),GZL/SE33-20,220 円,remaining:4pcs
0,前線への覚悟(ホロ),GZL/SE33-48,80 円,remaining:◯
0,銀の涙(ホロ),GZL/SE33-49,80 円,remaining:◯
0,全機、出撃!(ホロ),GZL/SE33-50,220 円,remaining:5pcs
0,“人類の希望”ハルオ,GZL/SE33-P01,120 円,remaining:◯
0,“指揮官として”ハルオ,GZL/SE33-P02,320 円,remaining:1pcs
