,card_name,card_num,price,status
0,カミナ(サイン入り),GL/S52-002SSP,"14,800 円",remaining:×
0,ヨーコ(サイン入り),GL/S52-003SSP,"128,000 円",remaining:×
0,ニア(サイン入り),GL/S52-033SSP,"39,800 円",remaining:×
0,大グレン団リーダー シモン(サイン入り),GL/S52-062SSP,"14,800 円",remaining:×
0,カミナ(サイン入り),GL/S52-002SP,"5,980 円",remaining:×
0,ヨーコ(サイン入り),GL/S52-003SP,"12,800 円",remaining:×
0,ニア(サイン入り),GL/S52-033SP,"5,980 円",remaining:×
0,大グレン団リーダー シモン(サイン入り),GL/S52-062SP,"4,980 円",remaining:×
0,地上から来た女 ヨーコ(サイン入り),GL/S52-T02SP,"49,800 円",remaining:×
0,あばよダチ公,GL/S52-030R,500 円,remaining:×
0,これが螺旋の力かよ…,GL/S52-032R,180 円,remaining:×
0,俺の背中に、この胸に、,GL/S52-086R,420 円,remaining:×
0,俺のドリルは!天を創るドリルだァ!!!!,GL/S52-088R,780 円,remaining:×
0,サポート役 ヨーコ,GL/S52-T01R,980 円,remaining:2pcs
0,グレン団リーダー カミナ,GL/S52-T07R,"1,480 円",remaining:◯
0,ラガン,GL/S52-T11R,"1,980 円",remaining:×
0,不意のキス ヨーコ,GL/S52-001S,320 円,remaining:×
0,行ってくるぜ!野郎ども! キタン,GL/S52-004S,180 円,remaining:×
0,超銀河大グレン団 ヨーコ,GL/S52-005S,220 円,remaining:×
0,キングキタン,GL/S52-007S,180 円,remaining:×
0,獣人 ヴィラル,GL/S52-034S,420 円,remaining:×
0,大グレン団調理主任 ニア,GL/S52-036S,120 円,remaining:1pcs
0,信じる心 ニア,GL/S52-038S,180 円,remaining:×
0,愛する女を救うため シモン,GL/S52-060S,"1,980 円",remaining:×
0,グレンラガン ダブルブーメランスパイラル,GL/S52-061S,680 円,remaining:×
0,天元突破グレンラガン,GL/S52-063S,500 円,remaining:×
0,過酷な地上で ヨーコ,GL/S52-T06S,180 円,remaining:×
0,合体!グレンラガン,GL/S52-T17S,120 円,remaining:×
0,不意のキス ヨーコ,GL/S52-001,320 円,remaining:◯
0,カミナ,GL/S52-002,680 円,remaining:◯
0,ヨーコ,GL/S52-003,420 円,remaining:◯
0,行ってくるぜ!野郎ども! キタン,GL/S52-004,120 円,remaining:◯
0,ニア,GL/S52-033,980 円,remaining:×
0,獣人 ヴィラル,GL/S52-034,320 円,remaining:◯
0,愛する女を救うため シモン,GL/S52-060,"1,480 円",remaining:×
0,グレンラガン ダブルブーメランスパイラル,GL/S52-061,500 円,remaining:1pcs
0,大グレン団リーダー シモン,GL/S52-062,320 円,remaining:◯
0,天元突破グレンラガン,GL/S52-063,420 円,remaining:×
0,超銀河大グレン団 ヨーコ,GL/S52-005,120 円,remaining:◯
0,キッド＆アイラック,GL/S52-006,120 円,remaining:◯
0,キングキタン,GL/S52-007,80 円,remaining:◯
0,生活感溢れる剣豪 マッケン,GL/S52-008,80 円,remaining:◯
0,狙撃手 ヨーコ,GL/S52-009,80 円,remaining:◯
0,ゾーシィ,GL/S52-010,120 円,remaining:◯
0,科学局長官 リーロン,GL/S52-011,80 円,remaining:◯
0,人間掃討軍極東方面部隊長 ヴィラル,GL/S52-035,80 円,remaining:◯
0,大グレン団調理主任 ニア,GL/S52-036,80 円,remaining:◯
0,螺旋王四天王 神速のシトマンドラ,GL/S52-037,80 円,remaining:◯
