,card_name,card_num,price,status
0,放課後の初春,RG/WP03-01S,"2,480 円",remaining:9pcs
0,放課後の佐天,RG/WP03-02S,420 円,remaining:◯
0,夏の楽しみ 黒子,RG/WP03-03S,"2,480 円",remaining:8pcs
0,息の合った二人 美琴&黒子,RG/WP03-04S,500 円,remaining:◯
0,夏の楽しみ 美琴,RG/WP03-05S,"1,980 円",remaining:1pcs
0,素直になれない美琴,RG/WP03-06S,420 円,remaining:6pcs
0,“ただそれだけ”美琴,RG/WP03-07S,"1,980 円",remaining:1pcs
0,取り戻した日常,RG/WP03-08S,980 円,remaining:1pcs
0,放課後の初春,RG/WP03-01,"1,780 円",remaining:2pcs
0,放課後の佐天,RG/WP03-02,320 円,remaining:3pcs
0,夏の楽しみ 黒子,RG/WP03-03,"1,480 円",remaining:6pcs
0,息の合った二人 美琴&黒子,RG/WP03-04,320 円,remaining:◯
0,夏の楽しみ 美琴,RG/WP03-05,680 円,remaining:5pcs
0,素直になれない美琴,RG/WP03-06,220 円,remaining:◯
0,“ただそれだけ”美琴,RG/WP03-07,"1,480 円",remaining:2pcs
0,取り戻した日常,RG/WP03-08,500 円,remaining:◯
0,“欠陥電気”妹達,RG/WP03-09,"2,480 円",remaining:×
0,気分上々 美琴,RG/WP03-10,"1,480 円",remaining:2pcs
