,card_name,card_num,price,status
0,大和型戦艦1番艦 大和(サイン入り),KC/S25-001SSP,"12,800 円",remaining:1pcs
0,島風型駆逐艦 島風(サイン入り),KC/S25-003SSP,"12,800 円",remaining:×
0,金剛型戦艦1番艦 金剛(サイン入り),KC/S25-082SSP,"12,800 円",remaining:4pcs
0,長門型戦艦1番艦 長門(サイン入り),KC/S25-128SSP,"5,980 円",remaining:×
0,大和型戦艦1番艦 大和(サイン入り),KC/S25-001SP,"4,980 円",remaining:1pcs
0,島風型駆逐艦 島風(サイン入り),KC/S25-003SP,"6,980 円",remaining:×
0,翔鶴型正規空母2番艦 瑞鶴(サイン入り),KC/S25-004SP,"2,480 円",remaining:1pcs
0,奇跡の駆逐艦 雪風(サイン入り),KC/S25-008SP,"2,980 円",remaining:1pcs
0,赤城型正規空母 赤城改(サイン入り),KC/S25-035SP,"1,980 円",remaining:×
0,加賀型正規空母 加賀(サイン入り),KC/S25-036SP,"2,480 円",remaining:×
0,夕張型軽巡 夕張(サイン入り),KC/S25-037SP,"2,480 円",remaining:1pcs
0,高雄型重巡2番艦 愛宕(サイン入り),KC/S25-054SP,"2,480 円",remaining:×
0,しっかり者 雷(サイン入り),KC/S25-057SP,"1,980 円",remaining:×
0,ドジっ娘 電(サイン入り),KC/S25-061SP,"3,480 円",remaining:4pcs
0,金剛型戦艦1番艦 金剛改二(サイン入り),KC/S25-080SP,"3,980 円",remaining:×
0,金剛型戦艦3番艦 榛名(サイン入り),KC/S25-084SP,"3,480 円",remaining:1pcs
0,天龍型軽巡1番艦 天龍改(サイン入り),KC/S25-086SP,"2,480 円",remaining:1pcs
0,球磨型雷巡3番艦 北上改二(サイン入り),KC/S25-087SP,"1,980 円",remaining:×
0,吹雪型駆逐艦1番艦 吹雪(サイン入り),KC/S25-091SP,"1,480 円",remaining:×
0,長門型戦艦1番艦 長門(サイン入り),KC/S25-128SP,"3,480 円",remaining:×
0,砲雷撃戦、用意!,KC/S25-032R,220 円,remaining:8pcs
0,全航空隊、発艦始め!,KC/S25-033R,220 円,remaining:3pcs
0,速きこと、島風の如し,KC/S25-034R,320 円,remaining:×
0,一航戦赤城、出ます!,KC/S25-075R,320 円,remaining:7pcs
0,ぱんぱかぱーんっ!,KC/S25-076R,220 円,remaining:5pcs
0,航空戦艦、出撃!,KC/S25-077R,180 円,remaining:2pcs
0,絶対夜戦してよね!,KC/S25-078R,180 円,remaining:8pcs
0,暁の出番ね、見てなさい!,KC/S25-079R,180 円,remaining:×
0,撃ちます!Fire!!,KC/S25-123R,320 円,remaining:1pcs
0,そう来なくっちゃな、抜錨だっ!,KC/S25-124R,320 円,remaining:2pcs
0,私がやっつけちゃうんだから!,KC/S25-125R,180 円,remaining:1pcs
