,card_name,card_num,price,status
0,悪のカリスマ ギース(サイン入り),KF/SE43-09SP,"5,980 円",remaining:1pcs
0,略奪者アッシュ(サイン入り),KF/SE43-12SP,"9,980 円",remaining:2pcs
0,ジェルミナール(サイン入り),KF/SE43-15SP,"4,980 円",remaining:2pcs
0,シェルミー(サイン入り),KF/SE43-17SP,"6,980 円",remaining:×
0,アンディ・ボガード(サイン入り),KF/SE43-18SP,"3,980 円",remaining:×
0,七枷 社(サイン入り),KF/SE43-23SP,"3,480 円",remaining:1pcs
0,封ずる者 庵(サイン入り),KF/SE43-25SP,"17,800 円",remaining:×
0,テリー・ボガード(サイン入り),KF/SE43-30SP,"14,800 円",remaining:×
0,クリス(サイン入り),KF/SE43-31SP,"8,980 円",remaining:3pcs
0,祓う者 京(サイン入り),KF/SE43-33SP,"24,800 円",remaining:×
0,不知火 舞(サイン入り),KF/SE43-34SP,"248,000 円",remaining:×
0,宿縁の炎(サイン入り),KF/SE43-41SP,"9,980 円",remaining:×
0,ユリ・サカザキ(サイン入り),KF/SE43-42SP,"7,980 円",remaining:×
0,セーラー服のアテナ(サイン入り),KF/SE43-46SP,"29,800 円",remaining:×
0,クーラ・ダイアモンド(サイン入り),KF/SE43-57SP,"34,800 円",remaining:×
0,アンヘル(サイン入り),KF/SE43-58SP,"198,000 円",remaining:×
0,クロウバイツ(サイン入り),KF/SE43-63SP,"29,800 円",remaining:×
0,クラーク・スティル(箔押し入り),KF/SE43-01MAX,120 円,remaining:◯
0,ネームレス(箔押し入り),KF/SE43-02MAX,120 円,remaining:◯
0,ラルフ・ジョーンズ(箔押し入り),KF/SE43-03MAX,180 円,remaining:◯
0,サイレントソルジャー レオナ(箔押し入り),KF/SE43-04MAX,"1,280 円",remaining:◯
0,エリザベート・ブラントルシュ(箔押し入り),KF/SE43-05MAX,180 円,remaining:◯
0,ビリー・カーン(箔押し入り),KF/SE43-06MAX,180 円,remaining:◯
0,マチュア&バイス(箔押し入り),KF/SE43-07MAXA,180 円,remaining:◯
0,マチュア&バイス(箔押し入り),KF/SE43-07MAXB,180 円,remaining:◯
0,大門 五郎(箔押し入り),KF/SE43-08MAX,120 円,remaining:◯
0,シェン・ウー(箔押し入り),KF/SE43-10MAX,220 円,remaining:◯
0,吹き荒ぶ風のゲーニッツ(箔押し入り),KF/SE43-11MAX,120 円,remaining:◯
0,冷徹なる暗殺者 ハイデルン(箔押し入り),KF/SE43-13MAX,180 円,remaining:◯
0,羅生門(箔押し入り),KF/SE43-14MAX,220 円,remaining:◯
0,猛き炎の伝承者 京(箔押し入り),KF/SE43-16MAX,"1,980 円",remaining:◯
0,八神 庵(箔押し入り),KF/SE43-19MAX,320 円,remaining:◯
0,二階堂 紅丸(箔押し入り),KF/SE43-20MAX,180 円,remaining:◯
0,如月 影二(箔押し入り),KF/SE43-21MAX,680 円,remaining:◯
0,ジョー・ヒガシ(箔押し入り),KF/SE43-22MAX,320 円,remaining:×
0,華麗なる女忍者 舞(箔押し入り),KF/SE43-24MAX,500 円,remaining:×
0,フリーエージェント マリー(箔押し入り),KF/SE43-26MAX,180 円,remaining:◯
0,オメガ・ルガール(箔押し入り),KF/SE43-27MAX,120 円,remaining:◯
0,炎の貴公子 京(箔押し入り),KF/SE43-28MAX,120 円,remaining:◯
0,草薙 京(箔押し入り),KF/SE43-29MAX,180 円,remaining:◯
0,暴走庵(箔押し入り),KF/SE43-32MAX,220 円,remaining:◯
0,紫炎と緑炎(箔押し入り),KF/SE43-35MAX,220 円,remaining:◯
0,百拾四式・荒咬み(箔押し入り),KF/SE43-36MAX,180 円,remaining:2pcs
0,日本チーム(箔押し入り),KF/SE43-37MAX,220 円,remaining:◯
0,花嵐(箔押し入り),KF/SE43-38MAX,420 円,remaining:◯
0,三神技之弐(箔押し入り),KF/SE43-39MAX,220 円,remaining:◯
0,バスターウルフ(箔押し入り),KF/SE43-40MAX,220 円,remaining:◯
0,ロバート・ガルシア(箔押し入り),KF/SE43-43MAX,220 円,remaining:◯
0,鎮 元斎(箔押し入り),KF/SE43-44MAX,120 円,remaining:◯
0,キング(箔押し入り),KF/SE43-45MAX,180 円,remaining:7pcs
0,アックス小隊の新人 ウィップ(箔押し入り),KF/SE43-47MAX,180 円,remaining:◯
0,椎 拳崇(箔押し入り),KF/SE43-48MAX,220 円,remaining:◯
0,K´(箔押し入り),KF/SE43-49MAX,180 円,remaining:×
0,麻宮 アテナ(箔押し入り),KF/SE43-50MAX,120 円,remaining:◯
0,氷の美少女 クーラ(箔押し入り),KF/SE43-51MAX,180 円,remaining:◯
0,藤堂 香澄(箔押し入り),KF/SE43-52MAX,420 円,remaining:◯
0,テコンドー界の至宝 キム(箔押し入り),KF/SE43-53MAX,120 円,remaining:◯
0,お転婆娘 ユリ(箔押し入り),KF/SE43-54MAX,180 円,remaining:9pcs
0,Kを超えるもの(箔押し入り),KF/SE43-55MAX,120 円,remaining:4pcs
0,リョウ・サカザキ(箔押し入り),KF/SE43-56MAX,320 円,remaining:◯
0,サイコソルジャーチーム(箔押し入り),KF/SE43-59MAX,220 円,remaining:◯
0,コンティニュー(箔押し入り),KF/SE43-60MAX,180 円,remaining:◯
0,スーパーフェニックスインフィニティー(箔押し入り),KF/SE43-61MAX,320 円,remaining:◯
0,ダイアモンドエッジ(箔押し入り),KF/SE43-62MAX,180 円,remaining:◯
0,クラーク・スティル,KF/SE43-01,80 円,remaining:◯
0,ネームレス,KF/SE43-02,80 円,remaining:◯
0,ラルフ・ジョーンズ,KF/SE43-03,120 円,remaining:◯
0,サイレントソルジャー レオナ,KF/SE43-04,980 円,remaining:◯
0,エリザベート・ブラントルシュ,KF/SE43-05,120 円,remaining:◯
0,ビリー・カーン,KF/SE43-06,80 円,remaining:◯
0,マチュア&バイス,KF/SE43-07,80 円,remaining:◯
0,大門 五郎,KF/SE43-08,80 円,remaining:◯
0,悪のカリスマ ギース,KF/SE43-09,220 円,remaining:◯
0,シェン・ウー,KF/SE43-10,80 円,remaining:◯
0,吹き荒ぶ風のゲーニッツ,KF/SE43-11,80 円,remaining:◯
0,略奪者アッシュ,KF/SE43-12,120 円,remaining:◯
0,冷徹なる暗殺者 ハイデルン,KF/SE43-13,120 円,remaining:◯
0,羅生門,KF/SE43-14,120 円,remaining:◯
0,ジェルミナール,KF/SE43-15,120 円,remaining:◯
0,猛き炎の伝承者 京,KF/SE43-16,"1,280 円",remaining:◯
0,シェルミー,KF/SE43-17,120 円,remaining:◯
0,アンディ・ボガード,KF/SE43-18,120 円,remaining:◯
0,八神 庵,KF/SE43-19,180 円,remaining:◯
0,二階堂 紅丸,KF/SE43-20,120 円,remaining:◯
0,如月 影二,KF/SE43-21,500 円,remaining:◯
0,ジョー・ヒガシ,KF/SE43-22,180 円,remaining:◯
0,七枷 社,KF/SE43-23,80 円,remaining:◯
0,華麗なる女忍者 舞,KF/SE43-24,180 円,remaining:◯
0,封ずる者 庵,KF/SE43-25,420 円,remaining:◯
0,フリーエージェント マリー,KF/SE43-26,120 円,remaining:◯
0,オメガ・ルガール,KF/SE43-27,80 円,remaining:◯
0,炎の貴公子 京,KF/SE43-28,80 円,remaining:◯
0,草薙 京,KF/SE43-29,120 円,remaining:◯
0,テリー・ボガード,KF/SE43-30,220 円,remaining:◯
0,クリス,KF/SE43-31,320 円,remaining:◯
0,暴走庵,KF/SE43-32,180 円,remaining:◯
0,祓う者 京,KF/SE43-33,500 円,remaining:◯
0,不知火 舞,KF/SE43-34,"1,280 円",remaining:◯
0,紫炎と緑炎,KF/SE43-35,180 円,remaining:◯
0,百拾四式・荒咬み,KF/SE43-36,120 円,remaining:◯
0,日本チーム,KF/SE43-37,80 円,remaining:◯
0,花嵐,KF/SE43-38,120 円,remaining:◯
0,三神技之弐,KF/SE43-39,120 円,remaining:◯
0,バスターウルフ,KF/SE43-40,120 円,remaining:◯
0,宿縁の炎,KF/SE43-41,420 円,remaining:◯
0,ユリ・サカザキ,KF/SE43-42,220 円,remaining:◯
0,ロバート・ガルシア,KF/SE43-43,120 円,remaining:◯
0,鎮 元斎,KF/SE43-44,80 円,remaining:◯
0,キング,KF/SE43-45,220 円,remaining:◯
0,セーラー服のアテナ,KF/SE43-46,"1,280 円",remaining:◯
0,アックス小隊の新人 ウィップ,KF/SE43-47,120 円,remaining:◯
0,椎 拳崇,KF/SE43-48,180 円,remaining:◯
0,K´,KF/SE43-49,220 円,remaining:◯
0,麻宮 アテナ,KF/SE43-50,80 円,remaining:◯
0,氷の美少女 クーラ,KF/SE43-51,120 円,remaining:◯
0,藤堂 香澄,KF/SE43-52,180 円,remaining:◯
0,テコンドー界の至宝 キム,KF/SE43-53,80 円,remaining:◯
0,お転婆娘 ユリ,KF/SE43-54,80 円,remaining:◯
0,Kを超えるもの,KF/SE43-55,80 円,remaining:◯
