,card_name,card_num,price,status
0,元カノ 麻美(サイン入り),KNK/W86-001SSP,"24,800 円",remaining:×
0,人見知りの“彼女” 墨(サイン入り),KNK/W86-049SSP,"29,800 円",remaining:×
0,皆の“彼女” 千鶴(サイン入り),KNK/W86-051SSP,"79,800 円",remaining:2pcs
0,“大人なんです”瑠夏(サイン入り),KNK/W86-078SSP,"24,800 円",remaining:×
0,七海 麻美(サイン入り),KNK/W86-002SP,"4,980 円",remaining:×
0,更科 瑠夏(サイン入り),KNK/W86-019SP,"7,980 円",remaining:×
0,桜沢 墨(サイン入り),KNK/W86-020SP,"6,980 円",remaining:1pcs
0,水原 千鶴(サイン入り),KNK/W86-050SP,"14,800 円",remaining:×
0,レンタル彼女 千鶴(サイン入り),KNK/W86-T14SP,"29,800 円",remaining:×
0,付き合ってる時よりも,KNK/W86-017R,500 円,remaining:1pcs
0,2人の問題,KNK/W86-045R,320 円,remaining:4pcs
0,“目標”に向けて,KNK/W86-047R,500 円,remaining:1pcs
0,お詫びだからっ,KNK/W86-074R,780 円,remaining:4pcs
0,日課の散歩,KNK/W86-075R,"1,480 円",remaining:×
0,互いの気持ち,KNK/W86-076R,"1,280 円",remaining:2pcs
0,私は覚悟できてますから!!!,KNK/W86-099R,980 円,remaining:1pcs
0,高鳴る鼓動,KNK/W86-100R,420 円,remaining:5pcs
0,謎多き美少女 瑠夏,KNK/W86-T07R,680 円,remaining:6pcs
0,想定外の一言 麻美,KNK/W86-T08R,420 円,remaining:◯
0,ファインダー越し 墨,KNK/W86-T09R,500 円,remaining:2pcs
0,2人の思い出 麻美,KNK/W86-003S,"2,480 円",remaining:×
0,センチメートル 麻美,KNK/W86-004S,420 円,remaining:×
0,ヘタ同士 麻美,KNK/W86-005S,220 円,remaining:4pcs
0,もう恋なんて 麻美,KNK/W86-006S,220 円,remaining:7pcs
0,宝石のような一時を 千鶴,KNK/W86-021S,"2,480 円",remaining:3pcs
0,妄想デート 千鶴,KNK/W86-022S,320 円,remaining:2pcs
0,センチメートル 墨,KNK/W86-023S,320 円,remaining:2pcs
0,初めての挑戦 墨,KNK/W86-024S,320 円,remaining:1pcs
0,“彼女”でいる間 千鶴,KNK/W86-025S,320 円,remaining:3pcs
0,和くんのこと 麻美,KNK/W86-026S,320 円,remaining:3pcs
0,待ち焦がれる 墨,KNK/W86-027S,500 円,remaining:3pcs
0,心の穴埋め 千鶴,KNK/W86-053S,680 円,remaining:1pcs
0,朝の日課 墨,KNK/W86-055S,"1,480 円",remaining:×
0,“君がいい”千鶴,KNK/W86-056S,500 円,remaining:×
0,超ハイスペック 墨,KNK/W86-057S,420 円,remaining:×
0,ボルダリングデート 瑠夏,KNK/W86-077S,"3,980 円",remaining:3pcs
