,card_name,card_num,price,status
0,ダクネス(サイン入り),KS/W49-001SP,"2,480 円",remaining:×
0,めぐみん(サイン入り),KS/W49-035SP,"5,980 円",remaining:×
0,アクア(サイン入り),KS/W49-073SP,"4,980 円",remaining:×
0,“水を司る女神”アクア(サイン入り),KS/W49-T18SP,"4,980 円",remaining:×
0,“スティール成功…?”クリス,KS/W49-002R,420 円,remaining:◯
0,“特技は妄想”ダクネス,KS/W49-007R,320 円,remaining:×
0,“紅魔族”めぐみん,KS/W49-034R,320 円,remaining:×
0,“リッチー”ウィズ,KS/W49-036R,320 円,remaining:3pcs
0,“ボードゲーム”めぐみん,KS/W49-037R,320 円,remaining:2pcs
0,“ハッキリ言い切れない”ゆんゆん,KS/W49-043R,180 円,remaining:×
0,“トラブルメーカー”アクア,KS/W49-071R,320 円,remaining:2pcs
0,“良き出会いのあらんことを”エリス,KS/W49-072R,420 円,remaining:9pcs
0,“雪精討伐の意味とは?”アクア,KS/W49-075R,320 円,remaining:1pcs
0,“両親の名前”めぐみん,KS/W49-T02R,500 円,remaining:×
0,“爆裂魔法準備”めぐみん,KS/W49-T05R,500 円,remaining:×
0,カズマ,KS/W49-003S,320 円,remaining:3pcs
0,“筋金入りのド変態”ダクネス,KS/W49-006S,220 円,remaining:×
0,“スキル習得の心得”めぐみん,KS/W49-038S,180 円,remaining:×
0,“礼儀正しい”ゆんゆん,KS/W49-039S,180 円,remaining:×
0,“迷惑行為”めぐみん,KS/W49-040S,320 円,remaining:×
0,“ナイス爆裂!”めぐみん,KS/W49-042S,"1,480 円",remaining:×
0,“同時発射!!”ウィズ,KS/W49-044S,180 円,remaining:×
0,“優しい微笑み”エリス,KS/W49-076S,180 円,remaining:2pcs
0,“セイクリッド・クリエイトウォーター”アクア,KS/W49-077S,180 円,remaining:6pcs
0,“セイクリッド・ターンアンデッド”アクア,KS/W49-078S,500 円,remaining:3pcs
0,“女神の誇り”アクア,KS/W49-T17S,180 円,remaining:◯
0,“水を司る女神”アクア,KS/W49-T18S,220 円,remaining:×
0,ダクネス,KS/W49-001,120 円,remaining:◯
0,“スティール成功…？”クリス,KS/W49-002,220 円,remaining:◯
0,“紅魔族”めぐみん,KS/W49-034,120 円,remaining:◯
0,めぐみん,KS/W49-035,500 円,remaining:◯
0,“リッチー”ウィズ,KS/W49-036,120 円,remaining:◯
0,“トラブルメーカー”アクア,KS/W49-071,120 円,remaining:1pcs
0,“良き出会いのあらんことを”エリス,KS/W49-072,120 円,remaining:◯
0,アクア,KS/W49-073,220 円,remaining:×
0,カズマ,KS/W49-003,80 円,remaining:◯
0,“羞恥責め”ダクネス,KS/W49-004,80 円,remaining:◯
0,“不安でいっぱい”カズマ,KS/W49-005,120 円,remaining:◯
0,“筋金入りのド変態”ダクネス,KS/W49-006,80 円,remaining:◯
0,“特技は妄想”ダクネス,KS/W49-007,80 円,remaining:7pcs
0,“スキル講義”クリス,KS/W49-008,80 円,remaining:◯
0,“ボードゲーム”めぐみん,KS/W49-037,180 円,remaining:◯
0,“スキル習得の心得”めぐみん,KS/W49-038,80 円,remaining:6pcs
0,“礼儀正しい”ゆんゆん,KS/W49-039,80 円,remaining:◯
0,“迷惑行為”めぐみん,KS/W49-040,180 円,remaining:×
0,“お茶汲み”ウィズ,KS/W49-041,80 円,remaining:◯
0,“ナイス爆裂!”めぐみん,KS/W49-042,500 円,remaining:◯
0,“ハッキリ言い切れない”ゆんゆん,KS/W49-043,80 円,remaining:◯
0,“同時発射!!”ウィズ,KS/W49-044,80 円,remaining:◯
0,“優しい女神”エリス,KS/W49-074,80 円,remaining:◯
0,“雪精討伐の意味とは?”アクア,KS/W49-075,120 円,remaining:◯
0,“優しい微笑み”エリス,KS/W49-076,80 円,remaining:◯
0,“セイクリッド・クリエイトウォーター”アクア,KS/W49-077,80 円,remaining:◯
0,“セイクリッド・ターンアンデッド”アクア,KS/W49-078,320 円,remaining:◯
0,“恥ずかしがる”エリス,KS/W49-079,80 円,remaining:◯
0,“ぱんつの値段は自分で決めろ”クリス,KS/W49-009,50 円,remaining:◯
0,“救援成功!”ダクネス,KS/W49-010,50 円,remaining:◯
0,“王国検察官”セナ,KS/W49-011,50 円,remaining:◯
0,ルナ,KS/W49-012,50 円,remaining:◯
0,“両手を広げて仁王立ち”ダクネス,KS/W49-013,50 円,remaining:◯
0,“守らなければならないもの”ダクネス,KS/W49-014,50 円,remaining:◯
0,“盾代わりにこき使って欲しいっ!!”ダクネス,KS/W49-015,50 円,remaining:◯
0,フリーズ,KS/W49-028,50 円,remaining:◯
0,快感に震える,KS/W49-029,50 円,remaining:◯
0,“凄腕アークウィザード”ウィズ,KS/W49-045,50 円,remaining:◯
0,“めぐみんに絡む”ゆんゆん,KS/W49-046,50 円,remaining:◯
0,“動揺”めぐみん,KS/W49-047,50 円,remaining:7pcs
0,“今日はなんか大人しい”めぐみん,KS/W49-048,50 円,remaining:1pcs
0,“街の有名人”ウィズ,KS/W49-049,50 円,remaining:◯
0,“人形の恐怖”めぐみん,KS/W49-050,120 円,remaining:◯
0,“先生のお呼び出し”めぐみん,KS/W49-051,50 円,remaining:◯
0,毎日欠かさず爆裂魔法!,KS/W49-064,80 円,remaining:×
0,ドレインタッチ,KS/W49-065,50 円,remaining:◯
0,デストロイヤー警報!,KS/W49-066,50 円,remaining:◯
0,“粘液まみれ”アクア,KS/W49-080,120 円,remaining:◯
0,“満面の笑み”アクア,KS/W49-081,50 円,remaining:◯
0,“媚び諂う”アクア,KS/W49-082,50 円,remaining:◯
0,“爆睡中”アクア,KS/W49-083,50 円,remaining:◯
0,“煽っていくスタイル”アクア,KS/W49-084,50 円,remaining:◯
0,“魔力提供”アクア,KS/W49-085,50 円,remaining:◯
0,“全力全開”アクア,KS/W49-086,50 円,remaining:◯
0,ゴッドブロー,KS/W49-096,50 円,remaining:◯
0,先輩登場,KS/W49-097,50 円,remaining:◯
0,“クリエイトウォーター”カズマ,KS/W49-016,30 円,remaining:◯
0,“スキル習得の誘い”クリス,KS/W49-017,30 円,remaining:◯
0,“騎士のカガミ?”ダクネス,KS/W49-018,30 円,remaining:◯
0,荒くれ者,KS/W49-019,30 円,remaining:◯
0,ミツルギ,KS/W49-020,30 円,remaining:◯
0,“冒険者”カズマ,KS/W49-021,30 円,remaining:◯
0,“スキル習得完了”カズマ,KS/W49-022,30 円,remaining:◯
0,“危険察知”ダクネス,KS/W49-023,30 円,remaining:◯
0,“特攻!”ダクネス,KS/W49-024,30 円,remaining:◯
0,“なんか嬉しそう”ダクネス,KS/W49-025,30 円,remaining:◯
0,“スティール”カズマ,KS/W49-026,30 円,remaining:◯
0,“アイデアの聴取”クリス,KS/W49-027,30 円,remaining:◯
0,“魔力不足”ウィズ,KS/W49-052,30 円,remaining:◯
0,博士,KS/W49-053,30 円,remaining:◯
0,“霜降り赤ガニ”めぐみん,KS/W49-054,30 円,remaining:◯
0,“言い張る”めぐみん,KS/W49-055,30 円,remaining:◯
0,ジャイアント・トード,KS/W49-056,30 円,remaining:◯
0,キャベツ,KS/W49-057,120 円,remaining:◯
0,“黒紫の煙”ベルディア,KS/W49-058,30 円,remaining:◯
0,“呪文詠唱”めぐみん,KS/W49-059,30 円,remaining:◯
0,“優しいリッチー”ウィズ,KS/W49-060,80 円,remaining:◯
0,“我が名は”ゆんゆん,KS/W49-061,30 円,remaining:◯
0,“長期契約の交渉”めぐみん,KS/W49-062,30 円,remaining:◯
0,新人サキュバス,KS/W49-063,30 円,remaining:◯
0,“ここから冒険が始まる…?”アクア,KS/W49-087,30 円,remaining:◯
0,“辺境担当の女神?”エリス,KS/W49-088,30 円,remaining:◯
0,“クエストクリア”アクア,KS/W49-089,30 円,remaining:◯
0,“本物の女神?”アクア,KS/W49-090,30 円,remaining:◯
0,“花鳥風月”アクア,KS/W49-091,30 円,remaining:◯
0,“アクシズ教団の元締め”アクア,KS/W49-092,30 円,remaining:◯
0,“謝罪の要求”アクア,KS/W49-093,50 円,remaining:◯
0,“美味しい飲み方”アクア,KS/W49-094,30 円,remaining:◯
0,“呆然とする”アクア,KS/W49-095,30 円,remaining:◯
0,窃盗スキル,KS/W49-030,80 円,remaining:◯
0,本物の爆裂魔法,KS/W49-067,80 円,remaining:×
0,めぐみんのライバル,KS/W49-068,80 円,remaining:◯
0,リザレクション,KS/W49-098,80 円,remaining:◯
0,魔力充電中,KS/W49-031,30 円,remaining:◯
0,ドMクルセイダー,KS/W49-032,30 円,remaining:◯
0,魔王軍の辱め…?,KS/W49-033,30 円,remaining:◯
0,爆裂魔法,KS/W49-069,50 円,remaining:◯
0,魂の還元,KS/W49-070,120 円,remaining:◯
0,蘇生,KS/W49-099,50 円,remaining:◯
0,セイクリッド・ブレイクスペル,KS/W49-100,30 円,remaining:◯
0,“女神を選択”カズマ,KS/W49-T01,50 円,remaining:◯
0,“両親の名前”めぐみん,KS/W49-T02,120 円,remaining:1pcs
