,card_name,card_num,price,status
0,笹瀬川 佐々美,LB/WC02-001,320 円,remaining:4pcs
0,鈴＆理樹,LB/WC02-002,320 円,remaining:5pcs
0,“気高き子猫”鈴,LB/WC02-003,320 円,remaining:5pcs
0,“気高き子猫”鈴,LB/WC02-003R,780 円,remaining:4pcs
0,“リーダー”恭介,LB/WC02-004,320 円,remaining:8pcs
0,“ナース服”小毬,LB/WC02-005,320 円,remaining:4pcs
0,“バニーガール”唯湖,LB/WC02-006,320 円,remaining:6pcs
0,来ヶ谷 唯湖,LB/WC02-007,320 円,remaining:4pcs
0,ソフト部三人組,LB/WC02-008,220 円,remaining:4pcs
0,“ウェディングドレス”鈴,LB/WC02-009,500 円,remaining:7pcs
0,鈴＆佐々美,LB/WC02-010,220 円,remaining:4pcs
0,“お菓子好き”小毬,LB/WC02-011,320 円,remaining:×
0,神北 小毬,LB/WC02-012,320 円,remaining:4pcs
0,井ノ原 真人,LB/WC02-013,320 円,remaining:1pcs
0,鈴＆小毬,LB/WC02-014,320 円,remaining:4pcs
0,“深窓のクイーンオブハート”唯湖,LB/WC02-015,220 円,remaining:×
0,恭介＆鈴,LB/WC02-016,320 円,remaining:4pcs
0,“神なるノーコン”鈴,LB/WC02-017,320 円,remaining:4pcs
0,猫使いの秘密兵器,LB/WC02-018,320 円,remaining:4pcs
0,夢の中へ,LB/WC02-019,320 円,remaining:3pcs
0,“マスコット”クド,LB/WC02-01T,500 円,remaining:×
0,お背中流しますよー,LB/WC02-020,500 円,remaining:×
0,コールドゲームだ,LB/WC02-021,500 円,remaining:4pcs
0,相合傘,LB/WC02-022,500 円,remaining:7pcs
0,鈴と共にある日々,LB/WC02-023,780 円,remaining:4pcs
0,リーダーの帰還,LB/WC02-024,980 円,remaining:7pcs
0,二人だけの観測会,LB/WC02-025,320 円,remaining:4pcs
0,二人だけの観測会,LB/WC02-025S,780 円,remaining:7pcs
0,“猫まみれ”鈴,LB/WC02-026,320 円,remaining:4pcs
0,“着ぐるみ”クド,LB/WC02-027,320 円,remaining:3pcs
0,棗 鈴,LB/WC02-028,500 円,remaining:3pcs
0,棗 鈴,LB/WC02-028R,680 円,remaining:2pcs
0,“マスコット”クド,LB/WC02-029,420 円,remaining:×
0,神北 小次郎,LB/WC02-02T,420 円,remaining:5pcs
0,クド＆佐々美,LB/WC02-030,320 円,remaining:×
0,三枝 葉留佳,LB/WC02-031,320 円,remaining:4pcs
0,“トラブルメーカー”葉留佳,LB/WC02-032,320 円,remaining:4pcs
0,神北 小次郎,LB/WC02-033,320 円,remaining:5pcs
0,“風紀の番人”佳奈多,LB/WC02-034,320 円,remaining:4pcs
0,真人＆謙吾,LB/WC02-035,220 円,remaining:2pcs
0,“ポニーガール”鈴,LB/WC02-036,320 円,remaining:3pcs
0,能美 クドリャフカ,LB/WC02-037,320 円,remaining:1pcs
0,クド＆佳奈多,LB/WC02-038,320 円,remaining:×
0,“普通の少年”理樹,LB/WC02-039,220 円,remaining:4pcs
0,“ポニーガール”鈴,LB/WC02-03T,420 円,remaining:4pcs
0,“女王猫”佐々美,LB/WC02-040,320 円,remaining:4pcs
0,“エプロン”葉留佳,LB/WC02-041,420 円,remaining:5pcs
0,“最強の男児”謙吾,LB/WC02-042,320 円,remaining:5pcs
0,新たな挑戦者,LB/WC02-043,320 円,remaining:5pcs
0,緊急事態,LB/WC02-044,320 円,remaining:3pcs
0,お掃除大すき♪,LB/WC02-045,500 円,remaining:5pcs
0,ぶらっくほわいと,LB/WC02-046,500 円,remaining:5pcs
0,勉強会,LB/WC02-047,420 円,remaining:1pcs
0,たった一つの取り柄,LB/WC02-048,320 円,remaining:4pcs
0,たった一つの取り柄,LB/WC02-048S,500 円,remaining:2pcs
0,そよ風のハミング,LB/WC02-049,500 円,remaining:4pcs
0,緊急事態,LB/WC02-04T,420 円,remaining:4pcs
0,優等生のフリをした偽善者,LB/WC02-050,500 円,remaining:4pcs
