,card_name,card_num,price,status
0,二人で一人 白(サイン入り),NGL/S58-081SSP,"39,800 円",remaining:×
0,人類種全権代理者 空(サイン入り),NGL/S58-003SP,"5,980 円",remaining:×
0,フィール・ニルヴァレン(サイン入り),NGL/S58-022SP,"6,980 円",remaining:×
0,ギャップ萌え いづな(サイン入り),NGL/S58-023SP,"14,800 円",remaining:×
0,クラミー・ツェル(サイン入り),NGL/S58-024SP,"4,980 円",remaining:×
0,思いを継ぐもの ステフ(サイン入り),NGL/S58-051SP,"17,800 円",remaining:1pcs
0,『 』の従属者 ジブリール(サイン入り),NGL/S58-052SP,"29,800 円",remaining:×
0,人類種全権代理者 白(サイン入り),NGL/S58-080SP,"19,800 円",remaining:×
0,十の盟約 テト(サイン入り),NGL/S58-084SP,"3,980 円",remaining:×
0,『    』の片割れ 白(サイン入り),NGL/S58-T13SP,"14,800 円",remaining:×
0,打倒唯一神,NGL/S58-019R,420 円,remaining:×
0,超健全空間,NGL/S58-021R,"1,980 円",remaining:×
0,遠き約束の日,NGL/S58-047R,320 円,remaining:×
0,巻き添え担当,NGL/S58-076R,"2,480 円",remaining:×
0,天翼種の実力,NGL/S58-078R,500 円,remaining:×
0,ようこそ、ゲーマー,NGL/S58-098R,500 円,remaining:×
0,『    』の片割れ 空,NGL/S58-T03R,"2,980 円",remaining:1pcs
0,白,NGL/S58-T14R,980 円,remaining:×
0,戴冠式,NGL/S58-T20R,"1,280 円",remaining:2pcs
0,『 』空＆白,NGL/S58-001S,500 円,remaining:×
0,『 』の勝利条件 空,NGL/S58-002S,220 円,remaining:×
0,生まれ直した世界 空,NGL/S58-004S,320 円,remaining:×
0,ムキになるクラミー,NGL/S58-026S,980 円,remaining:×
0,東部連合エルキア大使 いづな,NGL/S58-029S,320 円,remaining:1pcs
0,大切な存在 フィール,NGL/S58-030S,980 円,remaining:×
0,苦労する常識人 ステフ,NGL/S58-053S,"3,480 円",remaining:×
0,知識を尊ぶ種族 ジブリール,NGL/S58-054S,"1,980 円",remaining:×
0,実力者の吟持 ジブリール,NGL/S58-056S,500 円,remaining:×
0,知略の申し子 白,NGL/S58-082S,"2,480 円",remaining:×
0,二人にしか分からない道 白,NGL/S58-083S,680 円,remaining:×
0,生まれ直した世界 白,NGL/S58-086S,320 円,remaining:×
0,国王 空,NGL/S58-T08S,120 円,remaining:6pcs
0,国王 白,NGL/S58-T18S,180 円,remaining:2pcs
0,『 』空＆白,NGL/S58-001,320 円,remaining:2pcs
0,『 』の勝利条件 空,NGL/S58-002,120 円,remaining:◯
0,人類種全権代理者 空,NGL/S58-003,180 円,remaining:×
0,フィール・ニルヴァレン,NGL/S58-022,320 円,remaining:◯
0,ギャップ萌え いづな,NGL/S58-023,500 円,remaining:1pcs
0,クラミー・ツェル,NGL/S58-024,120 円,remaining:◯
0,思いを継ぐもの ステフ,NGL/S58-051,420 円,remaining:2pcs
0,『 』の従属者 ジブリール,NGL/S58-052,680 円,remaining:×
0,人類種全権代理者 白,NGL/S58-080,780 円,remaining:◯
0,二人で一人 白,NGL/S58-081,420 円,remaining:◯
0,生まれ直した世界 空,NGL/S58-004,120 円,remaining:◯
0,目にしたイカサマ 空,NGL/S58-005,180 円,remaining:◯
0,存在を奪い合うゲーム 空,NGL/S58-006,80 円,remaining:◯
0,コールドリーディング 空,NGL/S58-007,80 円,remaining:◯
0,天真爛漫 いづな,NGL/S58-025,120 円,remaining:◯
0,ムキになるクラミー,NGL/S58-026,80 円,remaining:◯
0,初瀬 いの,NGL/S58-027,80 円,remaining:◯
0,クールキャラ クラミー,NGL/S58-028,120 円,remaining:◯
0,東部連合エルキア大使 いづな,NGL/S58-029,120 円,remaining:◯
0,大切な存在 フィール,NGL/S58-030,80 円,remaining:◯
0,苦労する常識人 ステフ,NGL/S58-053,180 円,remaining:◯
0,知識を尊ぶ種族 ジブリール,NGL/S58-054,220 円,remaining:◯
0,たった一つのゲーム ジブリール,NGL/S58-055,120 円,remaining:8pcs
0,実力者の吟持 ジブリール,NGL/S58-056,120 円,remaining:◯
0,先王からの贈物 ステフ,NGL/S58-057,80 円,remaining:◯
0,エルキアの内政担当 ステフ,NGL/S58-058,120 円,remaining:◯
0,具象化しりとり,NGL/S58-073,120 円,remaining:◯
0,知略の申し子 白,NGL/S58-082,120 円,remaining:◯
0,二人にしか分からない道 白,NGL/S58-083,180 円,remaining:◯
0,十の盟約 テト,NGL/S58-084,80 円,remaining:◯
0,幼き軍神 白,NGL/S58-085,80 円,remaining:◯
0,生まれ直した世界 白,NGL/S58-086,120 円,remaining:10pcs
0,初めの一手 空,NGL/S58-008,80 円,remaining:◯
0,国王選定戦 の勝者 空,NGL/S58-009,50 円,remaining:◯
0,幼い頃の空,NGL/S58-010,50 円,remaining:◯
0,宣戦布告 空,NGL/S58-011,50 円,remaining:◯
0,ジャンケン,NGL/S58-017,50 円,remaining:◯
0,『 』に敗北はない,NGL/S58-018,50 円,remaining:◯
0,我慢の限界 クラミー,NGL/S58-031,50 円,remaining:◯
0,過去の遺恨 フィール,NGL/S58-032,50 円,remaining:◯
0,獣人種全権代理者 巫女,NGL/S58-033,50 円,remaining:◯
0,獣人種の幼女 いづな,NGL/S58-034,50 円,remaining:×
0,水浴び クラミー,NGL/S58-035,50 円,remaining:◯
0,物理限界をも超える力 いづな,NGL/S58-036,50 円,remaining:◯
0,お風呂嫌い いづな,NGL/S58-037,50 円,remaining:◯
0,勝利への執念 いづな,NGL/S58-038,50 円,remaining:◯
0,怒涛の猛攻 いづな,NGL/S58-039,50 円,remaining:◯
0,似たもの同士,NGL/S58-046,50 円,remaining:×
0,ゲームの正体 ジブリール,NGL/S58-059,50 円,remaining:◯
0,ぴこーん! ステフ,NGL/S58-060,50 円,remaining:◯
0,先王の孫娘 ステフ,NGL/S58-061,50 円,remaining:◯
0,元十八翼議会 ジブリール,NGL/S58-062,50 円,remaining:◯
0,ルンルン気分 ステフ,NGL/S58-063,50 円,remaining:◯
0,あふれる自信 ジブリール,NGL/S58-064,50 円,remaining:4pcs
0,希望の鍵,NGL/S58-074,50 円,remaining:◯
0,愚王と呼ばれた男,NGL/S58-075,120 円,remaining:3pcs
0,消失の訪れ 白,NGL/S58-087,50 円,remaining:4pcs
0,一人の朝 白,NGL/S58-088,50 円,remaining:◯
0,突然の奇襲 白,NGL/S58-089,80 円,remaining:5pcs
0,生まれながらの天才,NGL/S58-096,50 円,remaining:◯
0,コミュニケーションエラー 空,NGL/S58-012,30 円,remaining:◯
0,ゲームの種明かし 空,NGL/S58-013,30 円,remaining:◯
0,盤上の世界の創世者 テト,NGL/S58-014,30 円,remaining:◯
0,異議あり! 空,NGL/S58-015,30 円,remaining:◯
0,記憶の共有 空,NGL/S58-016,30 円,remaining:◯
0,人類の可能性 フィール,NGL/S58-040,30 円,remaining:◯
0,卓越した魔法の使い手フィール,NGL/S58-041,30 円,remaining:◯
0,記憶の共有 クラミー,NGL/S58-042,30 円,remaining:◯
0,森精種の協力者 フィール,NGL/S58-043,30 円,remaining:◯
0,幼い頃のクラミー,NGL/S58-044,30 円,remaining:◯
0,人類の可能性 クラミー,NGL/S58-045,30 円,remaining:◯
0,破裂したステフ,NGL/S58-065,30 円,remaining:◯
0,愛が止まらない ステフ,NGL/S58-066,30 円,remaining:◯
0,興味津々 ジブリール,NGL/S58-067,30 円,remaining:◯
0,お風呂タイム ジブリール,NGL/S58-068,30 円,remaining:◯
0,存在感のないステフ,NGL/S58-069,30 円,remaining:◯
0,図書館の天翼種 ジブリール,NGL/S58-070,30 円,remaining:◯
0,忠誠と献身 ジブリール,NGL/S58-071,30 円,remaining:◯
0,敗者の姿 ステフ,NGL/S58-072,30 円,remaining:◯
0,あれれぇ? 白,NGL/S58-090,30 円,remaining:◯
0,にぃとの再会 白,NGL/S58-091,30 円,remaining:◯
0,人格崩壊 白,NGL/S58-092,30 円,remaining:◯
0,つまらない勝負 白,NGL/S58-093,30 円,remaining:◯
0,幼い頃の白,NGL/S58-094,30 円,remaining:◯
0,めろめろ 白,NGL/S58-095,30 円,remaining:◯
0,思考の加速,NGL/S58-097,30 円,remaining:◯
0,打倒唯一神,NGL/S58-019,80 円,remaining:◯
0,遠き約束の日,NGL/S58-047,80 円,remaining:◯
0,巻き添え担当,NGL/S58-076,180 円,remaining:◯
