,card_name,card_num,price,status
0,“雷光”フェイト(サイン入り),NA/W12-002SP,"2,980 円",remaining:×
0,武人 シグナム(サイン入り),NA/W12-006SP,"1,280 円",remaining:×
0,“友達”すずか(サイン入り),NA/W12-030SP,"1,480 円",remaining:×
0,執務官 クロノ(サイン入り),NA/W12-031SP,"1,280 円",remaining:2pcs
0,紅の鉄騎 ヴィータ(サイン入り),NA/W12-051SP,"1,480 円",remaining:×
0,なのは with レイジングハート・エクセリオン(サイン入り),NA/W12-057SP,"1,980 円",remaining:×
0,マスター はやて(サイン入り),NA/W12-077SP,"1,280 円",remaining:3pcs
0,湖の騎士 シャマル(サイン入り),NA/W12-080SP,"1,280 円",remaining:1pcs
0,“ヴォルケンリッター”シグナム,NA/W12-003S,180 円,remaining:×
0,雷光一閃,NA/W12-023S,500 円,remaining:4pcs
0,アリサ&ちびアルフ,NA/W12-029S,180 円,remaining:×
0,アルカンシェル,NA/W12-048S,180 円,remaining:×
0,“揺るぎ無い意志”なのは,NA/W12-052S,500 円,remaining:2pcs
0,エクセリオンバスター,NA/W12-073S,180 円,remaining:2pcs
0,“管制人格”闇の書の意志,NA/W12-076S,180 円,remaining:×
0,覚醒の時,NA/W12-099S,180 円,remaining:1pcs
0,“お姉さん”アリシア,NA/W12-001,120 円,remaining:◯
0,“雷光”フェイト,NA/W12-002,220 円,remaining:5pcs
0,アースラのNo.3 エイミィ,NA/W12-026,180 円,remaining:◯
0,名コンビ クロノ&エイミィ,NA/W12-027,120 円,remaining:◯
0,紅の鉄騎 ヴィータ,NA/W12-051,180 円,remaining:◯
0,“揺るぎ無い意志”なのは,NA/W12-052,220 円,remaining:3pcs
0,“管制人格”闇の書の意志,NA/W12-076,120 円,remaining:◯
0,マスター はやて,NA/W12-077,180 円,remaining:◯
0,“ヴォルケンリッター”シグナム,NA/W12-003,120 円,remaining:◯
0,使い魔 リニス,NA/W12-004,120 円,remaining:◯
0,“強敵”シグナム,NA/W12-005,120 円,remaining:◯
0,武人 シグナム,NA/W12-006,120 円,remaining:◯
0,フェイト with バルディッシュ・アサルト,NA/W12-007,120 円,remaining:◯
0,はやて&すずか,NA/W12-028,120 円,remaining:◯
0,アリサ&ちびアルフ,NA/W12-029,120 円,remaining:◯
0,“友達”すずか,NA/W12-030,80 円,remaining:◯
0,執務官 クロノ,NA/W12-031,120 円,remaining:◯
0,“友達”アリサ,NA/W12-032,120 円,remaining:◯
0,中学三年生のなのは,NA/W12-053,120 円,remaining:◯
0,“再会”なのは&フェイト,NA/W12-054,120 円,remaining:◯
0,傷ついたなのは,NA/W12-055,120 円,remaining:◯
0,闇の書の騎士 ヴィータ,NA/W12-056,80 円,remaining:◯
0,なのは with レイジングハート・エクセリオン,NA/W12-057,120 円,remaining:◯
0,病室のはやて,NA/W12-078,120 円,remaining:◯
0,レティ・ロウラン,NA/W12-079,80 円,remaining:◯
0,湖の騎士 シャマル,NA/W12-080,120 円,remaining:◯
0,夜天の王 はやて,NA/W12-081,80 円,remaining:◯
0,“ヴォルケンリッター”シャマル,NA/W12-082,80 円,remaining:◯
0,剣の騎士 シグナム,NA/W12-008,50 円,remaining:◯
0,中学三年生のフェイト,NA/W12-009,50 円,remaining:◯
0,“友達”フェイト,NA/W12-010,220 円,remaining:7pcs
0,ソニックフォーム フェイト,NA/W12-011,50 円,remaining:◯
0,“突貫”アルフ,NA/W12-012,50 円,remaining:◯
0,CVK792導入,NA/W12-020,50 円,remaining:◯
0,主への想い,NA/W12-021,50 円,remaining:◯
0,初めての学校 フェイト,NA/W12-033,50 円,remaining:◯
0,仕切り屋 アリサ,NA/W12-034,50 円,remaining:◯
0,マリエル・アテンザ,NA/W12-035,80 円,remaining:◯
0,仲良し四人組,NA/W12-036,50 円,remaining:◯
0,未来を変える力 クロノ,NA/W12-037,120 円,remaining:◯
