,card_name,card_num,price,status
0,主人公&伊邪那岐大神(サイン入り),P4/S08-002SP,"2,980 円",remaining:×
0,りせ&ヒミコ(サイン入り),P4/S08-031SP,"2,980 円",remaining:×
0,千枝&スズカゴンゲン(サイン入り),P4/S08-032SP,"2,980 円",remaining:×
0,直斗&ヤマトタケル(サイン入り),P4/S08-081SP,"2,980 円",remaining:×
0,幾万の真言,P4/S08-023R,220 円,remaining:×
0,ハイ・アナライズ,P4/S08-050R,320 円,remaining:×
0,メシアライザー,P4/S08-073R,320 円,remaining:×
0,私のクリスマスイブ,P4/S08-098R,320 円,remaining:×
0,ジュネス大好き!奈々子,P4/S08-006S,220 円,remaining:×
0,ブレイブザッパー,P4/S08-025S,220 円,remaining:×
0,芸能人りせ,P4/S08-029S,220 円,remaining:×
0,ゴッドハンド,P4/S08-048S,320 円,remaining:×
0,爆笑スイッチ雪子,P4/S08-055S,220 円,remaining:×
0,剛殺斬,P4/S08-074S,220 円,remaining:5pcs
0,旅のお供マーガレット,P4/S08-077S,320 円,remaining:×
0,マハブフダイン,P4/S08-099S,220 円,remaining:3pcs
0,浴衣の陽介,P4/S08-001,220 円,remaining:4pcs
0,主人公&伊邪那岐大神,P4/S08-002,180 円,remaining:2pcs
0,本当の自分りせ,P4/S08-026,180 円,remaining:7pcs
0,自称カンフー研究会 千枝,P4/S08-027,420 円,remaining:◯
0,完二&ロクテンマオウ,P4/S08-051,180 円,remaining:◯
0,浴衣の雪子,P4/S08-052,320 円,remaining:×
0,浴衣のクマ,P4/S08-076,180 円,remaining:◯
0,旅のお供マーガレット,P4/S08-077,180 円,remaining:◯
0,家族の証 堂島,P4/S08-003,120 円,remaining:◯
0,WILDの力 主人公,P4/S08-004,120 円,remaining:◯
0,酒屋の娘 小西早紀,P4/S08-005,220 円,remaining:10pcs
0,ジュネス大好き!奈々子,P4/S08-006,120 円,remaining:2pcs
0,仲良し兄妹 主人公&奈々子,P4/S08-007,120 円,remaining:◯
0,死神 黒田ひさ乃,P4/S08-028,120 円,remaining:◯
0,芸能人りせ,P4/S08-029,120 円,remaining:◯
