,card_name,card_num,price,status
0,「八高・鋼鉄の生徒会長!」ラビリス(サイン入り),P4/SE15-08,"2,480 円",remaining:×
0,「皆殺しの猛牛総統」シャドウラビリス(サイン入り),P4/SE15-10,"2,980 円",remaining:×
0,「IQ2000のKY探偵」白鐘 直斗(サイン入り),P4/SE15-30,"2,480 円",remaining:×
0,自称特別捜査隊 陽介,P4/SE15-01,120 円,remaining:◯
0,「鋼のシスコン番長」鳴上 悠,P4/SE15-02,120 円,remaining:10pcs
0,「全身凶器の心なき天使」アイギス,P4/SE15-07,220 円,remaining:1pcs
0,「八高・鋼鉄の生徒会長!」ラビリス,P4/SE15-08,180 円,remaining:◯
0,「男勝りの足技系ドラゴン」里中 千枝,P4/SE15-09,80 円,remaining:◯
0,「皆殺しの猛牛総統」シャドウラビリス,P4/SE15-10,180 円,remaining:◯
0,仲間との約束 雪子,P4/SE15-19,"1,480 円",remaining:4pcs
0,「戦慄のガチムチ皇帝」巽 完二,P4/SE15-20,180 円,remaining:◯
0,「難攻不落の“黒”雪姫」天城 雪子,P4/SE15-21,120 円,remaining:◯
0,自称特別捜査隊 クマ,P4/SE15-28,80 円,remaining:◯
0,「孤高の処刑女王!」桐条 美鶴,P4/SE15-29,80 円,remaining:◯
0,「IQ2000のKY探偵」白鐘 直斗,P4/SE15-30,120 円,remaining:◯
0,お手伝い 菜々子,P4/SE15-03,120 円,remaining:5pcs
0,「キャプテン・ルサンチマン」花村 陽介,P4/SE15-04,80 円,remaining:◯
0,自称特別捜査隊 悠,P4/SE15-05,80 円,remaining:◯
0,P-1グランプリの主催者!クマ総統,P4/SE15-11,50 円,remaining:◯
0,機体番号024,P4/SE15-12,50 円,remaining:◯
0,P-1グランプリ専属実況 りせ,P4/SE15-13,50 円,remaining:◯
0,未来の婦人警官 千枝,P4/SE15-14,80 円,remaining:9pcs
0,姉妹の再会 アイギス,P4/SE15-15,80 円,remaining:◯
0,運命の対峙 ラビリス,P4/SE15-16,80 円,remaining:7pcs
0,守るための拳 明彦,P4/SE15-22,50 円,remaining:◯
0,“生涯かけての勝負”完二,P4/SE15-23,50 円,remaining:◯
0,「剛拳のプロテインジャンキー!」真田 明彦,P4/SE15-24,50 円,remaining:◯
0,武者修行,P4/SE15-25,120 円,remaining:10pcs
0,物体Xの恐怖,P4/SE15-26,80 円,remaining:◯
0,「色欲の猛獣」クマ,P4/SE15-31,120 円,remaining:◯
0,「史上最凶のエレベーターガール」エリザベス,P4/SE15-32,120 円,remaining:×
0,永い旅路の途中 エリザベス,P4/SE15-33,180 円,remaining:×
0,シャドウワーカー隊長 美鶴,P4/SE15-34,50 円,remaining:◯
0,潜入捜査 直斗,P4/SE15-35,50 円,remaining:◯
0,P-1グランプリ開戦!,P4/SE15-06,80 円,remaining:◯
0,ラビリスの怒り,P4/SE15-17,80 円,remaining:◯
0,アステリオス出現,P4/SE15-18,120 円,remaining:6pcs
0,ゲンコと絆,P4/SE15-27,120 円,remaining:◯
0,放送室突入!,P4/SE15-36,80 円,remaining:◯
0,自称特別捜査隊 陽介(ホロ),P4/SE15-01,180 円,remaining:◯
0,「鋼のシスコン番長」鳴上 悠(ホロ),P4/SE15-02,180 円,remaining:×
0,「全身凶器の心なき天使」アイギス(ホロ),P4/SE15-07,320 円,remaining:×
0,「八高・鋼鉄の生徒会長!」ラビリス(ホロ),P4/SE15-08,220 円,remaining:8pcs
0,「男勝りの足技系ドラゴン」里中 千枝(ホロ),P4/SE15-09,120 円,remaining:3pcs
0,「皆殺しの猛牛総統」シャドウラビリス(ホロ),P4/SE15-10,220 円,remaining:9pcs
0,仲間との約束 雪子(ホロ),P4/SE15-19,"1,480 円",remaining:×
0,「戦慄のガチムチ皇帝」巽 完二(ホロ),P4/SE15-20,220 円,remaining:6pcs
0,「難攻不落の“黒”雪姫」天城 雪子(ホロ),P4/SE15-21,180 円,remaining:×
0,自称特別捜査隊 クマ(ホロ),P4/SE15-28,120 円,remaining:◯
0,「孤高の処刑女王!」桐条 美鶴(ホロ),P4/SE15-29,120 円,remaining:◯
0,「IQ2000のKY探偵」白鐘 直斗(ホロ),P4/SE15-30,180 円,remaining:4pcs
0,お手伝い 菜々子(ホロ),P4/SE15-03,180 円,remaining:1pcs
0,「キャプテン・ルサンチマン」花村 陽介(ホロ),P4/SE15-04,120 円,remaining:◯
0,自称特別捜査隊 悠(ホロ),P4/SE15-05,120 円,remaining:5pcs
0,P-1グランプリの主催者!クマ総統(ホロ),P4/SE15-11,80 円,remaining:◯
0,機体番号024(ホロ),P4/SE15-12,80 円,remaining:×
0,P-1グランプリ専属実況 りせ(ホロ),P4/SE15-13,80 円,remaining:◯
0,未来の婦人警官 千枝(ホロ),P4/SE15-14,120 円,remaining:◯
0,姉妹の再会 アイギス(ホロ),P4/SE15-15,120 円,remaining:10pcs
0,運命の対峙 ラビリス(ホロ),P4/SE15-16,120 円,remaining:×
0,守るための拳 明彦(ホロ),P4/SE15-22,80 円,remaining:◯
0,“生涯かけての勝負”完二(ホロ),P4/SE15-23,80 円,remaining:◯
0,「剛拳のプロテインジャンキー!」真田 明彦(ホロ),P4/SE15-24,80 円,remaining:◯
0,武者修行(ホロ),P4/SE15-25,180 円,remaining:8pcs
0,物体Xの恐怖(ホロ),P4/SE15-26,120 円,remaining:◯
0,「色欲の猛獣」クマ(ホロ),P4/SE15-31,180 円,remaining:5pcs
0,「史上最凶のエレベーターガール」エリザベス(ホロ),P4/SE15-32,180 円,remaining:×
0,永い旅路の途中 エリザベス(ホロ),P4/SE15-33,220 円,remaining:×
0,シャドウワーカー隊長 美鶴(ホロ),P4/SE15-34,80 円,remaining:◯
0,潜入捜査 直斗(ホロ),P4/SE15-35,80 円,remaining:◯
0,P-1グランプリ開戦!(ホロ),P4/SE15-06,120 円,remaining:4pcs
0,ラビリスの怒り(ホロ),P4/SE15-17,120 円,remaining:10pcs
0,アステリオス出現(ホロ),P4/SE15-18,180 円,remaining:1pcs
0,ゲンコと絆(ホロ),P4/SE15-27,180 円,remaining:×
0,放送室突入!(ホロ),P4/SE15-36,120 円,remaining:◯
0,ファイナルブレイク! アイギス,P4/SE15-P01,180 円,remaining:10pcs
0,支援のスペシャリスト 風花,P4/SE15-P02,180 円,remaining:3pcs
