,card_name,card_num,price,status
0,瀬乃宮 あき穂(サイン入り),RN/W16-002SP,"4,980 円",remaining:×
0,浴衣のフラウ(サイン入り),RN/W16-056SP,"3,980 円",remaining:×
0,家庭的な一面 淳和(サイン入り),RN/W16-057SP,"1,980 円",remaining:×
0,“空の下の相関図”愛理(サイン入り),RN/W16-076SP,"4,980 円",remaining:×
0,待望の稼動テスト あき穂(サイン入り),RN/W16-102SP,"4,980 円",remaining:×
0,“拡張プレイス”あき穂,RN/W16-013R,220 円,remaining:×
0,水着のフラウ,RN/W16-027R,220 円,remaining:×
0,不思議な関係 フラウ&淳和,RN/W16-033R,220 円,remaining:×
0,愛理,RN/W16-077R,320 円,remaining:3pcs
0,決意の円陣,RN/W16-T06R,320 円,remaining:2pcs
0,天才プログラマー フラウ,RN/W16-T12R,320 円,remaining:1pcs
0,支えあう仲間 海翔&あき穂,RN/W16-009S,120 円,remaining:×
0,青空の下 愛理,RN/W16-018S,180 円,remaining:×
0,浴衣の淳和,RN/W16-041S,180 円,remaining:×
0,小さくても力持ち 淳和,RN/W16-051S,180 円,remaining:×
0,神代 フラウ,RN/W16-052S,320 円,remaining:×
0,キルバラ対決!フラウ,RN/W16-054S,180 円,remaining:×
0,夏祭り 愛理,RN/W16-080S,180 円,remaining:×
0,大好物の差し入れ あき穂,RN/W16-082S,180 円,remaining:×
0,“幼馴染”あき穂&海翔,RN/W16-105S,120 円,remaining:4pcs
0,東京万博 あき穂,RN/W16-001,120 円,remaining:◯
0,瀬乃宮 あき穂,RN/W16-002,500 円,remaining:◯
0,過去のトラウマ 淳和,RN/W16-026,120 円,remaining:◯
0,水着のフラウ,RN/W16-027,120 円,remaining:◯
0,小さくても力持ち 淳和,RN/W16-051,120 円,remaining:8pcs
0,神代 フラウ,RN/W16-052,220 円,remaining:4pcs
0,“空の下の相関図”愛理,RN/W16-076,320 円,remaining:7pcs
0,愛理,RN/W16-077,180 円,remaining:◯
0,おさんぽ 愛理,RN/W16-003,180 円,remaining:×
0,新入部員歓迎会 海翔,RN/W16-004,120 円,remaining:7pcs
0,命の恩人 あき穂,RN/W16-005,120 円,remaining:◯
0,火のついた闘志 海翔,RN/W16-006,80 円,remaining:◯
0,最終決戦 海翔,RN/W16-007,80 円,remaining:◯
0,天王寺 綯,RN/W16-028,120 円,remaining:◯
0,自殺未遂!?フラウ,RN/W16-029,80 円,remaining:◯
0,初めての対戦 綯,RN/W16-030,80 円,remaining:◯
0,吹っ切れた思い 淳和,RN/W16-031,80 円,remaining:◯
0,大徳 淳和,RN/W16-032,120 円,remaining:◯
0,不安げな眼差し 淳和,RN/W16-053,120 円,remaining:◯
0,キルバラ対決!フラウ,RN/W16-054,80 円,remaining:◯
