,card_name,card_num,price,status
0,“ふたりの花道”石動 双葉(サイン入り),RSL/S56-001SSP,"2,980 円",remaining:2pcs
0,守りたい時間 大場 なな(サイン入り),RSL/S56-002SSP,"7,980 円",remaining:×
0,“ふたりの花道”花柳 香子(サイン入り),RSL/S56-003SSP,"3,980 円",remaining:×
0,そばに居た存在 露崎 まひる(サイン入り),RSL/S56-034SSP,"12,800 円",remaining:×
0,“情熱とキラめき”愛城 華恋(サイン入り),RSL/S56-036SSP,"4,980 円",remaining:2pcs
0,“華、ひらくとき”神楽 ひかり(サイン入り),RSL/S56-037SSP,"4,980 円",remaining:2pcs
0,私だけの星 星見 純那(サイン入り),RSL/S56-066SSP,"6,980 円",remaining:×
0,壮烈な覚悟 天堂 真矢(サイン入り),RSL/S56-067SSP,"4,980 円",remaining:1pcs
0,気高き意志 西條 クロディーヌ(サイン入り),RSL/S56-068SSP,"5,980 円",remaining:1pcs
0,私のキラめき 大場 なな(箔押し入り),RSL/S56-004SP,"3,480 円",remaining:7pcs
0,私のキラめき 花柳 香子(箔押し入り),RSL/S56-006SP,"2,980 円",remaining:3pcs
0,私のキラめき 石動 双葉(箔押し入り),RSL/S56-010SP,"3,980 円",remaining:×
0,私のキラめき 愛城 華恋(箔押し入り),RSL/S56-035SP,"2,980 円",remaining:3pcs
0,私のキラめき 神楽 ひかり(箔押し入り),RSL/S56-040SP,"1,780 円",remaining:5pcs
0,私のキラめき 露崎 まひる(箔押し入り),RSL/S56-046SP,"1,980 円",remaining:×
0,私のキラめき 西條 クロディーヌ(箔押し入り),RSL/S56-069SP,"1,980 円",remaining:2pcs
0,私のキラめき 天堂 真矢(箔押し入り),RSL/S56-071SP,"1,980 円",remaining:3pcs
0,私のキラめき 星見 純那(箔押し入り),RSL/S56-072SP,"1,780 円",remaining:4pcs
0,運命の舞台 神楽 ひかり(サイン入り),RSL/S56-T08SP,"7,980 円",remaining:×
0,運命の舞台 愛城 華恋(サイン入り),RSL/S56-T13SP,"3,980 円",remaining:×
0,私のキラめき 大場 なな(直筆サイン入り/シリアルナンバー付き),RSL/S56-004STR,"99,800 円",remaining:×
0,私のキラめき 花柳 香子(直筆サイン入り/シリアルナンバー付き),RSL/S56-006STR,"99,800 円",remaining:×
0,私のキラめき 石動 双葉(直筆サイン入り/シリアルナンバー付き),RSL/S56-010STR,"79,800 円",remaining:×
0,私のキラめき 愛城 華恋(直筆サイン入り/シリアルナンバー付き),RSL/S56-035STR,"99,800 円",remaining:×
0,私のキラめき 露崎 まひる(直筆サイン入り/シリアルナンバー付き),RSL/S56-046STR,"79,800 円",remaining:×
0,私のキラめき 西條 クロディーヌ(直筆サイン入り/シリアルナンバー付き),RSL/S56-069STR,"79,800 円",remaining:×
0,私のキラめき 天堂 真矢(直筆サイン入り/シリアルナンバー付き),RSL/S56-071STR,"79,800 円",remaining:×
0,私のキラめき 星見 純那(直筆サイン入り/シリアルナンバー付き),RSL/S56-072STR,"99,800 円",remaining:×
0,私のキラめき 神楽ひかり(直筆サイン入り/シリアルナンバー付き),RSL/S56-P10STR,"128,000 円",remaining:×
0,最高の自分,RSL/S56-031R,320 円,remaining:×
0,一番近くで,RSL/S56-032R,220 円,remaining:×
0,星祭りの夜に,RSL/S56-033R,180 円,remaining:◯
0,ひかり、さす方へ,RSL/S56-063R,220 円,remaining:3pcs
0,されど舞台はつづく,RSL/S56-064R,320 円,remaining:◯
0,キラめきのありか,RSL/S56-065R,220 円,remaining:◯
0,The Show Must Go On,RSL/S56-095R,500 円,remaining:8pcs
0,さらなる高みへ,RSL/S56-096R,220 円,remaining:7pcs
0,運命の舞台 石動 双葉,RSL/S56-T01R,420 円,remaining:◯
0,運命の舞台 花柳 香子,RSL/S56-T02R,780 円,remaining:8pcs
0,運命の舞台 大場 なな,RSL/S56-T06R,780 円,remaining:4pcs
0,運命の舞台 露崎 まひる,RSL/S56-T09R,500 円,remaining:8pcs
0,運命の舞台 天堂 真矢,RSL/S56-T17R,980 円,remaining:5pcs
0,運命の舞台 星見 純那,RSL/S56-T19R,320 円,remaining:◯
0,運命の舞台 西條 クロディーヌ,RSL/S56-T20R,220 円,remaining:◯
0,気合十分 石動 双葉,RSL/S56-005S,180 円,remaining:4pcs
0,無二の仲 双葉＆香子,RSL/S56-007S,220 円,remaining:5pcs
0,料理上手 大場 なな,RSL/S56-008S,180 円,remaining:10pcs
0,言葉の真意 花柳 香子,RSL/S56-009S,180 円,remaining:5pcs
0,レオタードの華恋＆ひかり,RSL/S56-038S,420 円,remaining:◯
0,二人の舞台 露崎 まひる,RSL/S56-039S,220 円,remaining:4pcs
0,差し伸べた手 愛城 華恋,RSL/S56-041S,180 円,remaining:2pcs
0,2人で1つ 華恋＆ひかり,RSL/S56-042S,"1,280 円",remaining:2pcs
0,“キラめきの再生産”神楽 ひかり,RSL/S56-043S,180 円,remaining:6pcs
0,急接近 華恋＆まひる,RSL/S56-044S,"1,280 円",remaining:5pcs
0,アンコール 愛城 華恋,RSL/S56-045S,180 円,remaining:10pcs
0,舞台少女の夏 神楽 ひかり,RSL/S56-048S,180 円,remaining:10pcs
0,パジャマパーティー 天堂 真矢,RSL/S56-070S,220 円,remaining:3pcs
0,舞台に挑む覚悟 西條 クロディーヌ,RSL/S56-073S,220 円,remaining:4pcs
0,しっかり者の委員長 星見 純那,RSL/S56-074S,320 円,remaining:9pcs
0,『運命』の交換 ひかり＆華恋,RSL/S56-T11S,120 円,remaining:4pcs
0,『トップスタァ』への道,RSL/S56-T15S,120 円,remaining:4pcs
0,“ふたりの花道”石動 双葉,RSL/S56-001,120 円,remaining:◯
0,守りたい時間 大場 なな,RSL/S56-002,220 円,remaining:◯
0,“ふたりの花道”花柳 香子,RSL/S56-003,220 円,remaining:◯
0,そばに居た存在 露崎 まひる,RSL/S56-034,500 円,remaining:◯
0,私のキラめき 愛城 華恋,RSL/S56-035,420 円,remaining:◯
0,“情熱とキラめき”愛城 華恋,RSL/S56-036,220 円,remaining:◯
0,“華、ひらくとき”神楽 ひかり,RSL/S56-037,220 円,remaining:◯
0,私だけの星 星見 純那,RSL/S56-066,500 円,remaining:◯
0,壮烈な覚悟 天堂 真矢,RSL/S56-067,180 円,remaining:◯
0,気高き意志 西條 クロディーヌ,RSL/S56-068,180 円,remaining:◯
0,私のキラめき 大場 なな,RSL/S56-004,420 円,remaining:◯
0,気合十分 石動 双葉,RSL/S56-005,120 円,remaining:◯
0,私のキラめき 花柳 香子,RSL/S56-006,220 円,remaining:◯
0,無二の仲 双葉＆香子,RSL/S56-007,120 円,remaining:◯
0,料理上手 大場 なな,RSL/S56-008,120 円,remaining:◯
0,言葉の真意 花柳 香子,RSL/S56-009,80 円,remaining:◯
0,私のキラめき 石動 双葉,RSL/S56-010,220 円,remaining:◯
0,レオタードの華恋＆ひかり,RSL/S56-038,180 円,remaining:◯
0,二人の舞台 露崎 まひる,RSL/S56-039,120 円,remaining:◯
0,私のキラめき 神楽 ひかり,RSL/S56-040,120 円,remaining:◯
0,差し伸べた手 愛城 華恋,RSL/S56-041,80 円,remaining:◯
0,2人で1つ 華恋＆ひかり,RSL/S56-042,120 円,remaining:◯
0,“キラめきの再生産”神楽 ひかり,RSL/S56-043,80 円,remaining:◯
0,急接近 華恋＆まひる,RSL/S56-044,120 円,remaining:◯
0,アンコール 愛城 華恋,RSL/S56-045,80 円,remaining:◯
0,私のキラめき 露崎 まひる,RSL/S56-046,120 円,remaining:◯
0,私のキラめき 西條 クロディーヌ,RSL/S56-069,120 円,remaining:◯
0,パジャマパーティー 天堂 真矢,RSL/S56-070,120 円,remaining:◯
0,私のキラめき 天堂 真矢,RSL/S56-071,120 円,remaining:◯
0,私のキラめき 星見 純那,RSL/S56-072,80 円,remaining:◯
0,舞台に挑む覚悟 西條 クロディーヌ,RSL/S56-073,120 円,remaining:◯
0,しっかり者の委員長 星見 純那,RSL/S56-074,120 円,remaining:◯
0,自信満々 花柳 香子,RSL/S56-011,50 円,remaining:◯
0,幼馴染との対峙 石動 双葉,RSL/S56-012,50 円,remaining:◯
0,眩しい舞台 大場 なな,RSL/S56-013,50 円,remaining:◯
0,レオタードの石動 双葉,RSL/S56-014,50 円,remaining:◯
0,レオタードの花柳 香子,RSL/S56-015,50 円,remaining:◯
0,向けられた剣 大場 なな,RSL/S56-016,80 円,remaining:◯
0,永遠の舞台 大場 なな,RSL/S56-017,50 円,remaining:◯
0,意地の張り合い,RSL/S56-029,50 円,remaining:◯
0,打ち上げの写真,RSL/S56-030,50 円,remaining:◯
0,くつろぎの時間 神楽 ひかり,RSL/S56-047,50 円,remaining:◯
0,舞台少女の夏 神楽 ひかり,RSL/S56-048,80 円,remaining:◯
0,追いかけっこ 愛城 華恋,RSL/S56-049,50 円,remaining:◯
0,お掃除開始! 露崎 まひる,RSL/S56-050,80 円,remaining:◯
0,オーディション最終日 神楽 ひかり,RSL/S56-051,50 円,remaining:◯
0,寝起きの露崎 まひる,RSL/S56-052,50 円,remaining:◯
0,新章 愛城 華恋,RSL/S56-053,50 円,remaining:◯
0,廊下を守る女神 露崎 まひる,RSL/S56-054,50 円,remaining:◯
0,予想外の朝帰り,RSL/S56-062,50 円,remaining:◯
0,一番星を目指して 星見 純那,RSL/S56-075,50 円,remaining:◯
0,舞台少女の夏 西條 クロディーヌ,RSL/S56-076,80 円,remaining:◯
0,レヴューデュエット 天堂 真矢,RSL/S56-077,50 円,remaining:◯
0,レオタードの純那＆まひる,RSL/S56-078,50 円,remaining:◯
0,次のスタァライト 天堂 真矢,RSL/S56-079,50 円,remaining:◯
0,トップの秘訣 天堂 真矢,RSL/S56-080,50 円,remaining:◯
0,リベンジ 星見 純那,RSL/S56-081,50 円,remaining:◯
0,パジャマパーティー 西條 クロディーヌ,RSL/S56-082,50 円,remaining:◯
0,わたしたちは,RSL/S56-093,50 円,remaining:◯
0,掴んでみせます!自分星!!,RSL/S56-094,80 円,remaining:◯
0,パジャマパーティー 大場 なな,RSL/S56-018,30 円,remaining:◯
0,幼馴染の逃亡 石動 双葉,RSL/S56-019,30 円,remaining:◯
