,card_name,card_num,price,status
0,王選候補者 フェルト(サイン入り),RZ/S46-001SP,"2,480 円",remaining:×
0,桃色髪のメイド ラム(サイン入り),RZ/S46-030SP,"5,980 円",remaining:×
0,可憐な少女 ベアトリス(サイン入り),RZ/S46-031SP,"3,480 円",remaining:1pcs
0,銀髪の美少女 エミリア(サイン入り),RZ/S46-059SP,"12,800 円",remaining:×
0,青色髪のメイド レム(サイン入り),RZ/S46-060SP,"17,800 円",remaining:×
0,ナツキ・スバル(サイン入り),RZ/S46-068SP,"1,980 円",remaining:×
0,純白の花嫁 レム(サイン入り),RZ/S46-T11SP,"448,000 円",remaining:×
0,精霊使い エミリア(サイン入り),RZ/S46-T19SP,"128,000 円",remaining:×
0,まどろみのひと時 エミリア(サイン入り),RZ/S46-T42SP,"59,800 円",remaining:×
0,愛おしの光 レム(サイン入り),RZ/S46-T43SP,"148,000 円",remaining:×
0,宣戦布告 フェルト,RZ/S46-005R,320 円,remaining:1pcs
0,ロズワール邸のメイド ラム,RZ/S46-032R,180 円,remaining:1pcs
0,夕日の射す丘で ベアトリス,RZ/S46-036R,180 円,remaining:3pcs
0,穏やかな日常 レム,RZ/S46-058R,500 円,remaining:2pcs
0,ハーフエルフの少女 エミリア,RZ/S46-061R,500 円,remaining:×
0,ささやかなお願い レム,RZ/S46-069R,420 円,remaining:×
0,毒舌メイド ラム,RZ/S46-T02R,320 円,remaining:×
0,殺意の瞳 レム,RZ/S46-T17R,500 円,remaining:1pcs
0,微精霊との対話,RZ/S46-T21R,500 円,remaining:×
0,純白の花嫁 レム,RZ/S46-T32R,680 円,remaining:×
0,膝枕するエミリア,RZ/S46-T33R,320 円,remaining:×
0,異世界へようこそ! エミリア&レム,RZ/S46-T35R,320 円,remaining:×
0,疾風の少女,RZ/S46-028S,220 円,remaining:4pcs
0,木漏れ日の下で レム&ラム,RZ/S46-035S,420 円,remaining:5pcs
0,ナツキ・スバル囮大作戦,RZ/S46-054S,420 円,remaining:◯
0,姉として,RZ/S46-055S,180 円,remaining:3pcs
0,天使の微笑 エミリア,RZ/S46-062S,320 円,remaining:×
0,幸せな夢想 レム,RZ/S46-063S,180 円,remaining:×
0,無垢な美少女 エミリア,RZ/S46-064S,420 円,remaining:×
0,鬼の形相 レム,RZ/S46-067S,420 円,remaining:×
0,ゼロから始める異世界生活,RZ/S46-096S,980 円,remaining:×
0,Wishing,RZ/S46-099S,220 円,remaining:×
0,精霊使い エミリア,RZ/S46-T19S,220 円,remaining:×
0,まどろみのひと時 エミリア,RZ/S46-T42S,180 円,remaining:×
0,愛おしの光 レム,RZ/S46-T43S,980 円,remaining:×
0,王選候補者 フェルト,RZ/S46-001,180 円,remaining:◯
0,桃色髪のメイド ラム,RZ/S46-030,220 円,remaining:◯
0,可憐な少女 ベアトリス,RZ/S46-031,120 円,remaining:◯
0,ロズワール邸のメイド ラム,RZ/S46-032,120 円,remaining:◯
0,穏やかな日常 レム,RZ/S46-058,320 円,remaining:◯
0,銀髪の美少女 エミリア,RZ/S46-059,220 円,remaining:◯
0,青色髪のメイド レム,RZ/S46-060,420 円,remaining:◯
0,ハーフエルフの少女 エミリア,RZ/S46-061,120 円,remaining:◯
0,先代剣聖 テレシア,RZ/S46-002,120 円,remaining:◯
0,公爵家当主 クルシュ,RZ/S46-003,120 円,remaining:◯
0,若き剣士 ヴィルヘルム,RZ/S46-004,120 円,remaining:◯
0,宣戦布告 フェルト,RZ/S46-005,120 円,remaining:◯
0,最優の騎士 ユリウス,RZ/S46-006,120 円,remaining:◯
0,剣聖 ラインハルト,RZ/S46-007,220 円,remaining:◯
0,千里眼の力 ラム,RZ/S46-033,180 円,remaining:◯
0,メイドは見た! ラム,RZ/S46-034,120 円,remaining:◯
0,木漏れ日の下で レム&ラム,RZ/S46-035,220 円,remaining:◯
0,夕日の射す丘で ベアトリス,RZ/S46-036,120 円,remaining:◯
0,禁書庫の番人 ベアトリス,RZ/S46-037,120 円,remaining:◯
0,バスタイム! レム&ラム,RZ/S46-038,120 円,remaining:◯
0,天使の微笑 エミリア,RZ/S46-062,120 円,remaining:◯
0,幸せな夢想 レム,RZ/S46-063,80 円,remaining:◯
