,card_name,card_num,price,status
0,姉の面影 アスナ(サイン入り),SAO/SE26-02SP,"19,800 円",remaining:×
0,楽しかった記憶 ユウキ(サイン入り),SAO/SE26-11SP,"9,980 円",remaining:×
0,聖剣獲得へ キリト(サイン入り),SAO/SE26-29SP,"2,480 円",remaining:×
0,パーティーへの参加 アスナ,SAO/SE26-01,80 円,remaining:◯
0,姉の面影 アスナ,SAO/SE26-02,80 円,remaining:2pcs
0,不敗の超剣士 ユウキ,SAO/SE26-07,120 円,remaining:6pcs
0,《剣技伝承》ユウキ,SAO/SE26-08,80 円,remaining:8pcs
0,《スリーピング・ナイツ》タルケン&ノリ&ジュン,SAO/SE26-09,120 円,remaining:◯
0,《絶剣》ユウキ,SAO/SE26-10,500 円,remaining:6pcs
0,楽しかった記憶 ユウキ,SAO/SE26-11,80 円,remaining:5pcs
0,強気で気丈 リズベット,SAO/SE26-22,80 円,remaining:◯
0,信頼の腕前 リズベット,SAO/SE26-23,180 円,remaining:◯
0,《SAO生還者》キリト,SAO/SE26-27,80 円,remaining:8pcs
0,パーティーの頭脳 ユイ,SAO/SE26-28,80 円,remaining:◯
0,聖剣獲得へ キリト,SAO/SE26-29,80 円,remaining:7pcs
0,憩いの散策 アスナ,SAO/SE26-03,30 円,remaining:◯
0,幼い頃の明日奈,SAO/SE26-04,30 円,remaining:×
0,《バーサクヒーラー》アスナ,SAO/SE26-05,30 円,remaining:×
0,ぴぴっときたユウキ,SAO/SE26-12,50 円,remaining:◯
0,《スリーピング・ナイツ》ユウキ,SAO/SE26-13,50 円,remaining:◯
0,一斉攻撃 リーファ,SAO/SE26-14,30 円,remaining:◯
0,タイムリミット リーファ,SAO/SE26-15,50 円,remaining:9pcs
0,《インプ》の少女 ユウキ,SAO/SE26-16,30 円,remaining:◯
0,無邪気で奔放 ユウキ,SAO/SE26-17,30 円,remaining:◯
0,アスナ&ユウキ,SAO/SE26-18,30 円,remaining:◯
0,《スリーピング・ナイツ》シウネー&テッチ,SAO/SE26-19,30 円,remaining:◯
0,不吉な眼光《死銃》,SAO/SE26-24,30 円,remaining:◯
