,card_name,card_num,price,status
0,ジン・アーソ&キャシアン・アンドー&K2SO(箔押し入り),SW/SE39-001SP,"7,980 円",remaining:×
0,“激情を秘めた無頼漢” ハン・ソロ(箔押し入り),SW/SE39-002SP,"6,980 円",remaining:×
0,“勇気あるリーダー” ポー・ダメロン(箔押し入り),SW/SE39-003SP,"2,980 円",remaining:×
0,“レジスタンス” フィン(箔押し入り),SW/SE39-004SP,"3,980 円",remaining:×
0,“伝説のウーキーの戦士” チューバッカ(箔押し入り),SW/SE39-005SP,"2,980 円",remaining:×
0,“いつも傍に” C-3PO&R2-D2(箔押し入り),SW/SE39-006SP,"4,980 円",remaining:1pcs
0,“強気な指導者” レイア(箔押し入り),SW/SE39-007SP,"4,980 円",remaining:×
0,“反乱同盟軍将軍” ハン・ソロ(箔押し入り),SW/SE39-008SP,"2,980 円",remaining:2pcs
0,“タトゥイーンの犯罪王” ジャバ(箔押し入り),SW/SE39-009SP,"2,980 円",remaining:×
0,“卓越した戦闘能力” ダース・モール(箔押し入り),SW/SE39-010SP,"6,980 円",remaining:×
0,“スカイウォーカーの末裔” カイロ・レン(箔押し入り),SW/SE39-011SP,"7,980 円",remaining:1pcs
0,“究極の悪” ダース・ベイダー(箔押し入り),SW/SE39-012SP,"29,800 円",remaining:×
0,“選ばれし者” アナキン(箔押し入り),SW/SE39-013SP,"34,800 円",remaining:×
0,“帝国の指揮官” ダース・ベイダー(箔押し入り),SW/SE39-014SP,"9,980 円",remaining:×
0,“力への渇望” アナキン(箔押し入り),SW/SE39-015SP,"69,800 円",remaining:3pcs
0,Attack of the Clones(箔押し入り),SW/SE39-016SP,"34,800 円",remaining:1pcs
0,“グランド・マスター” ヨーダ(箔押し入り),SW/SE39-017SP,"6,980 円",remaining:×
0,“強い忠誠心” BB-8(箔押し入り),SW/SE39-018SP,"24,800 円",remaining:3pcs
0,“隠遁者” ヨーダ(箔押し入り),SW/SE39-019SP,"4,980 円",remaining:1pcs
0,“フォースの繋がり” レイ(箔押し入り),SW/SE39-020SP,"12,800 円",remaining:×
0,“生けるフォース” クワイ=ガン(箔押し入り),SW/SE39-021SP,"4,980 円",remaining:×
0,“真のジェダイ” ルーク(箔押し入り),SW/SE39-022SP,"6,980 円",remaining:1pcs
0,レイ・スカイウォーカー(箔押し入り),SW/SE39-023SP,"9,980 円",remaining:×
0,“ソレスの熟練者” オビ=ワン(箔押し入り),SW/SE39-024SP,"9,980 円",remaining:×
0,“生ける神話” ルーク(箔押し入り),SW/SE39-025SP,"6,980 円",remaining:×
0,チアルート&ベイズ(箔押し入り),SW/SE39-026SP,"2,980 円",remaining:×
0,“ジェダイへの決意” ルーク(箔押し入り),SW/SE39-027SP,"14,800 円",remaining:×
0,“伝説のジェダイ” オビ=ワン(箔押し入り),SW/SE39-028SP,"24,800 円",remaining:×
0,Lightsaber(箔押し入り),SW/SE39-029SP,"24,800 円",remaining:×
0,Duel on Mustafar(箔押し入り),SW/SE39-030SP,"12,800 円",remaining:1pcs
0,ジン・アーソ&キャシアン・アンドー&K2SO(箔押し入り),SW/SE39-001FOP,120 円,remaining:◯
0,“激情を秘めた無頼漢” ハン・ソロ(箔押し入り),SW/SE39-002FOP,120 円,remaining:◯
0,“勇気あるリーダー” ポー・ダメロン(箔押し入り),SW/SE39-003FOP,120 円,remaining:◯
0,“レジスタンス” フィン(箔押し入り),SW/SE39-004FOP,180 円,remaining:◯
0,“伝説のウーキーの戦士” チューバッカ(箔押し入り),SW/SE39-005FOP,120 円,remaining:◯
0,“いつも傍に” C-3PO&R2-D2(箔押し入り),SW/SE39-006FOP,120 円,remaining:◯
0,“強気な指導者” レイア(箔押し入り),SW/SE39-007FOP,120 円,remaining:◯
0,“反乱同盟軍将軍” ハン・ソロ(箔押し入り),SW/SE39-008FOP,120 円,remaining:◯
0,“タトゥイーンの犯罪王” ジャバ(箔押し入り),SW/SE39-009FOP,120 円,remaining:◯
0,“卓越した戦闘能力” ダース・モール(箔押し入り),SW/SE39-010FOP,220 円,remaining:×
0,“スカイウォーカーの末裔” カイロ・レン(箔押し入り),SW/SE39-011FOP,320 円,remaining:◯
0,“究極の悪” ダース・ベイダー(箔押し入り),SW/SE39-012FOP,500 円,remaining:×
0,“選ばれし者” アナキン(箔押し入り),SW/SE39-013FOP,980 円,remaining:6pcs
0,“帝国の指揮官” ダース・ベイダー(箔押し入り),SW/SE39-014FOP,120 円,remaining:◯
0,“力への渇望” アナキン(箔押し入り),SW/SE39-015FOP,680 円,remaining:◯
0,Attack of the Clones(箔押し入り),SW/SE39-016FOP,680 円,remaining:3pcs
0,“グランド・マスター” ヨーダ(箔押し入り),SW/SE39-017FOP,120 円,remaining:◯
0,“強い忠誠心” BB-8(箔押し入り),SW/SE39-018FOP,780 円,remaining:◯
0,“隠遁者” ヨーダ(箔押し入り),SW/SE39-019FOP,120 円,remaining:◯
0,“フォースの繋がり” レイ(箔押し入り),SW/SE39-020FOP,320 円,remaining:◯
0,“生けるフォース” クワイ=ガン(箔押し入り),SW/SE39-021FOP,120 円,remaining:◯
0,“真のジェダイ” ルーク(箔押し入り),SW/SE39-022FOP,120 円,remaining:◯
0,レイ・スカイウォーカー(箔押し入り),SW/SE39-023FOP,180 円,remaining:◯
0,“ソレスの熟練者” オビ=ワン(箔押し入り),SW/SE39-024FOP,180 円,remaining:◯
0,“生ける神話” ルーク(箔押し入り),SW/SE39-025FOP,120 円,remaining:◯
0,チアルート&ベイズ(箔押し入り),SW/SE39-026FOP,120 円,remaining:◯
0,“ジェダイへの決意” ルーク(箔押し入り),SW/SE39-027FOP,500 円,remaining:◯
0,“伝説のジェダイ” オビ=ワン(箔押し入り),SW/SE39-028FOP,220 円,remaining:10pcs
0,Lightsaber(箔押し入り),SW/SE39-029FOP,320 円,remaining:◯
0,Duel on Mustafar(箔押し入り),SW/SE39-030FOP,220 円,remaining:◯
0,ジン・アーソ&キャシアン・アンドー&K2SO,SW/SE39-001,120 円,remaining:◯
0,“激情を秘めた無頼漢” ハン・ソロ,SW/SE39-002,120 円,remaining:◯
