,card_name,card_num,price,status
0,だんご大好き渚(サイン入り),CL/WE07-06,"24,800 円",remaining:×
0,転校生 智代(サイン入り),CL/WE07-15,"6,980 円",remaining:×
0,“お姉ちゃん”杏(サイン入り),CL/WE07-21,"7,980 円",remaining:×
0,光坂高校の生徒 渚,CL/WE07-01,120 円,remaining:◯
0,デートに誘う朋也,CL/WE07-02,120 円,remaining:◯
0,病弱な少女 渚,CL/WE07-03,120 円,remaining:◯
0,渚の娘 汐,CL/WE07-04,180 円,remaining:◯
0,朋也の恋人 渚,CL/WE07-05,80 円,remaining:◯
0,だんご大好き渚,CL/WE07-06,220 円,remaining:7pcs
0,転校生 智代,CL/WE07-15,80 円,remaining:◯
0,汐の担任 杏,CL/WE07-20,120 円,remaining:◯
0,天然娘 ことみ,CL/WE07-23,80 円,remaining:◯
0,岡崎 汐,CL/WE07-07,120 円,remaining:◯
0,町を愛する渚,CL/WE07-08,80 円,remaining:◯
0,渚&芽衣,CL/WE07-09,50 円,remaining:◯
0,仲良し親子 渚&早苗,CL/WE07-10,120 円,remaining:◯
0,温かな家庭 渚&朋也&秋生,CL/WE07-11,50 円,remaining:◯
0,“恋人同士”渚&朋也,CL/WE07-12,120 円,remaining:◯
0,パジャマの智代,CL/WE07-16,50 円,remaining:◯
0,汐の友達 風子,CL/WE07-17,80 円,remaining:◯
0,相楽 美佐枝,CL/WE07-18,50 円,remaining:◯
0,最強の女 智代,CL/WE07-19,50 円,remaining:◯
0,“お姉ちゃん”杏,CL/WE07-21,120 円,remaining:◯
0,渚&杏&椋,CL/WE07-22,50 円,remaining:◯
0,終わった世界の少女,CL/WE07-24,680 円,remaining:×
0,宮沢 有紀寧,CL/WE07-25,120 円,remaining:◯
0,ことみ&智代,CL/WE07-26,50 円,remaining:◯
0,ウェイトレスの渚&杏&椋,CL/WE07-27,50 円,remaining:◯
0,出会いと別れ,CL/WE07-13,120 円,remaining:◯
0,家族の絆,CL/WE07-14,220 円,remaining:◯
0,演劇部部長 渚,CL/WE07-28,120 円,remaining:◯
0,岡崎 朋也,CL/WE07-29,320 円,remaining:◯
0,佇む少女 渚,CL/WE07-30,120 円,remaining:◯
0,古河 渚,CL/WE07-31,120 円,remaining:◯
0,世話焼き渚,CL/WE07-32,220 円,remaining:1pcs
0,春原 陽平,CL/WE07-33,220 円,remaining:2pcs
0,この学園は、好きですか……?,CL/WE07-34,120 円,remaining:◯
0,伝説のヒトデ使い風子,CL/WE07-35,420 円,remaining:×
0,家庭的な智代,CL/WE07-36,120 円,remaining:9pcs
0,スポーツ万能 智代,CL/WE07-37,120 円,remaining:8pcs
0,幽霊少女 風子,CL/WE07-38,120 円,remaining:◯
0,伝説の少女 智代,CL/WE07-39,120 円,remaining:◯
0,風子&公子,CL/WE07-40,80 円,remaining:◯
0,夢の最後まで,CL/WE07-41,120 円,remaining:8pcs
0,世話好きな 杏,CL/WE07-42,120 円,remaining:◯
0,パン屋さん 渚&杏,CL/WE07-43,120 円,remaining:◯
0,妹思い杏,CL/WE07-44,120 円,remaining:◯
0,暴走娘 杏,CL/WE07-45,80 円,remaining:◯
0,古河 早苗,CL/WE07-46,80 円,remaining:◯
0,古河 秋生,CL/WE07-47,80 円,remaining:◯
0,渚&ことみ,CL/WE07-48,80 円,remaining:◯
0,名誉図書委員ことみ,CL/WE07-49,80 円,remaining:◯
0,旋律の破壊神ことみ,CL/WE07-50,80 円,remaining:◯
0,幻想世界の少女,CL/WE07-51,120 円,remaining:×
0,一ノ瀬 ことみ,CL/WE07-52,500 円,remaining:2pcs
0,杏&椋,CL/WE07-53,80 円,remaining:◯
0,娘への贈り物,CL/WE07-54,120 円,remaining:◯
0,渚&汐,CL/WE07-55,80 円,remaining:3pcs
0,岡崎 渚,CL/WE07-56,80 円,remaining:4pcs
0,恋の仕掛け人 芽衣,CL/WE07-57,80 円,remaining:1pcs
0,前向きな朋也,CL/WE07-58,80 円,remaining:2pcs
0,坂上 智代,CL/WE07-59,80 円,remaining:4pcs
0,生徒会長 智代,CL/WE07-60,220 円,remaining:×
0,伊吹 風子,CL/WE07-61,80 円,remaining:10pcs
0,パジャマの風子,CL/WE07-62,80 円,remaining:×
0,智代の誓い,CL/WE07-63,220 円,remaining:×
0,杏&智代,CL/WE07-64,80 円,remaining:◯
0,藤林 杏,CL/WE07-65,180 円,remaining:4pcs
0,渚&杏,CL/WE07-66,80 円,remaining:10pcs
0,委員長 杏,CL/WE07-67,180 円,remaining:2pcs
0,恋のトライアングル,CL/WE07-68,220 円,remaining:×
0,天才少女ことみ,CL/WE07-69,80 円,remaining:2pcs
0,マイペースことみ,CL/WE07-70,120 円,remaining:2pcs
0,占い好きな椋,CL/WE07-71,80 円,remaining:8pcs
0,芳野 祐介,CL/WE07-72,80 円,remaining:3pcs
0,光坂高校の生徒 渚(ホロ),CL/WE07-01,180 円,remaining:5pcs
0,デートに誘う朋也(ホロ),CL/WE07-02,180 円,remaining:◯
0,病弱な少女 渚(ホロ),CL/WE07-03,180 円,remaining:×
0,渚の娘 汐(ホロ),CL/WE07-04,220 円,remaining:×
0,朋也の恋人 渚(ホロ),CL/WE07-05,120 円,remaining:◯
0,だんご大好き渚(ホロ),CL/WE07-06,420 円,remaining:×
0,転校生 智代(ホロ),CL/WE07-15,120 円,remaining:◯
0,汐の担任 杏(ホロ),CL/WE07-20,180 円,remaining:◯
0,天然娘 ことみ(ホロ),CL/WE07-23,120 円,remaining:◯
0,岡崎 汐(ホロ),CL/WE07-07,180 円,remaining:◯
0,町を愛する渚(ホロ),CL/WE07-08,120 円,remaining:×
0,渚&芽衣(ホロ),CL/WE07-09,80 円,remaining:◯
0,仲良し親子 渚&早苗(ホロ),CL/WE07-10,180 円,remaining:◯
0,温かな家庭 渚&朋也&秋生(ホロ),CL/WE07-11,80 円,remaining:◯
0,“恋人同士”渚&朋也(ホロ),CL/WE07-12,180 円,remaining:◯
0,パジャマの智代(ホロ),CL/WE07-16,80 円,remaining:◯
0,汐の友達 風子(ホロ),CL/WE07-17,120 円,remaining:◯
0,相楽 美佐枝(ホロ),CL/WE07-18,80 円,remaining:◯
0,最強の女 智代(ホロ),CL/WE07-19,80 円,remaining:◯
0,“お姉ちゃん”杏(ホロ),CL/WE07-21,180 円,remaining:◯
0,渚&杏&椋(ホロ),CL/WE07-22,80 円,remaining:◯
0,終わった世界の少女(ホロ),CL/WE07-24,780 円,remaining:×
0,宮沢 有紀寧(ホロ),CL/WE07-25,180 円,remaining:◯
0,ことみ&智代(ホロ),CL/WE07-26,80 円,remaining:◯
0,ウェイトレスの渚&杏&椋(ホロ),CL/WE07-27,80 円,remaining:◯
0,出会いと別れ(ホロ),CL/WE07-13,180 円,remaining:◯
0,家族の絆(ホロ),CL/WE07-14,420 円,remaining:9pcs
0,夏祭りの智代&風子&渚,CL/WE07-73,120 円,remaining:10pcs
0,ことみ&渚&風子,CL/WE07-74,420 円,remaining:◯
0,朋也のクラスメート 杏,CL/WE07-75,120 円,remaining:◯
0,まじめな女の子 智代,CL/WE07-76,120 円,remaining:◯
0,“部員募集中!”渚,CL/WE07-77,120 円,remaining:◯
0,仲良し夫婦 渚&朋也,CL/WE07-78,680 円,remaining:◯
