,card_name,card_num,price,status
0,“<刻々帝>”狂三(サイン入り),DAL/WE33-004SP,"59,800 円",remaining:×
0,対峙する黒白(サイン入り),DAL/WE33-024SP,"7,980 円",remaining:×
0,“<狂々帝>”白の女王(サイン入り),DAL/WE33-027SP,"19,800 円",remaining:×
0,ぶつかり合う思い(サイン入り),DAL/WE33-049SP,"5,980 円",remaining:1pcs
0,“ナイトメア・オア・クイーン”狂三,DAL/WE33-001OFR,"5,980 円",remaining:×
0,悪夢を纏いし少女 狂三,DAL/WE33-002OFR,"2,480 円",remaining:×
0,“ナイトメア・オア・クイーン”狂三,DAL/WE33-001,"2,480 円",remaining:◯
0,悪夢を纏いし少女 狂三,DAL/WE33-002,220 円,remaining:◯
0,黒衣の精霊 狂三,DAL/WE33-003,320 円,remaining:8pcs
0,“<刻々帝>”狂三,DAL/WE33-004,320 円,remaining:◯
0,白衣の精霊 白の女王,DAL/WE33-026,220 円,remaining:◯
0,“<狂々帝>”白の女王,DAL/WE33-027,220 円,remaining:◯
0,突き付けた銃口 狂三,DAL/WE33-005,120 円,remaining:◯
0,来訪者 狂三,DAL/WE33-006,80 円,remaining:◯
0,格の違い 狂三,DAL/WE33-007,80 円,remaining:◯
0,元の姿 響,DAL/WE33-008,80 円,remaining:◯
0,泰然自若 狂三,DAL/WE33-009,320 円,remaining:◯
0,合理的な判断 狂三,DAL/WE33-010,80 円,remaining:◯
0,新たな物語 狂三＆響,DAL/WE33-011,180 円,remaining:◯
0,宣戦布告 白の女王,DAL/WE33-028,180 円,remaining:◯
0,辿り着くべき結末 白の女王,DAL/WE33-029,80 円,remaining:◯
0,白く沈む影 白の女王,DAL/WE33-030,120 円,remaining:◯
0,“【一の弾】”狂三,DAL/WE33-012,80 円,remaining:◯
0,竜虎相搏 狂三,DAL/WE33-013,220 円,remaining:◯
0,精密射撃 狂三,DAL/WE33-014,80 円,remaining:◯
0,束の間の共闘 響,DAL/WE33-015,50 円,remaining:◯
0,解き放たれた鎖,DAL/WE33-023,80 円,remaining:◯
0,“人形遣い”パニエ,DAL/WE33-031,50 円,remaining:◯
0,幸せな日々 紗和,DAL/WE33-032,50 円,remaining:◯
0,くノ一 唯,DAL/WE33-033,50 円,remaining:◯
0,突き付けた銃口 白の女王,DAL/WE33-034,50 円,remaining:◯
0,色褪せない思い出 紗和,DAL/WE33-035,180 円,remaining:◯
0,弾く弾丸 白の女王,DAL/WE33-036,50 円,remaining:◯
0,追憶の中で 蒼,DAL/WE33-037,180 円,remaining:◯
0,色褪せない思い出 狂三,DAL/WE33-016,30 円,remaining:◯
0,追憶の中で 響,DAL/WE33-017,30 円,remaining:◯
0,問答無用 狂三,DAL/WE33-018,30 円,remaining:◯
0,抱えた白猫 狂三,DAL/WE33-019,30 円,remaining:◯
0,取り引き 狂三,DAL/WE33-020,30 円,remaining:◯
0,駆け抜ける凶弾 狂三,DAL/WE33-021,80 円,remaining:◯
0,居るはずのない影 狂三,DAL/WE33-022,30 円,remaining:◯
0,“【天秤の弾】”白の女王,DAL/WE33-038,30 円,remaining:◯
0,親友の面影 白の女王,DAL/WE33-039,30 円,remaining:◯
0,致命の一手 白の女王,DAL/WE33-040,30 円,remaining:◯
0,追憶の中で イサミ,DAL/WE33-041,30 円,remaining:◯
0,白の空間 白の女王,DAL/WE33-042,30 円,remaining:◯
0,正しい剣 イサミ,DAL/WE33-043,30 円,remaining:◯
0,追憶の中で パニエ,DAL/WE33-044,30 円,remaining:◯
0,孤独の世界 白の女王,DAL/WE33-045,30 円,remaining:◯
0,圧倒的な差 白の女王,DAL/WE33-046,30 円,remaining:◯
0,追憶の中で 唯,DAL/WE33-047,30 円,remaining:◯
0,戦闘態勢 蒼,DAL/WE33-048,30 円,remaining:◯
0,対峙する黒白,DAL/WE33-024,120 円,remaining:◯
0,ぶつかり合う思い,DAL/WE33-049,120 円,remaining:◯
0,<刻々帝>,DAL/WE33-025,80 円,remaining:◯
0,<狂々帝>,DAL/WE33-050,80 円,remaining:◯
0,“ナイトメア・オア・クイーン”狂三(ホロ),DAL/WE33-001,"2,480 円",remaining:6pcs
0,悪夢を纏いし少女 狂三(ホロ),DAL/WE33-002,320 円,remaining:×
0,黒衣の精霊 狂三(ホロ),DAL/WE33-003,420 円,remaining:7pcs
0,“<刻々帝>”狂三(ホロ),DAL/WE33-004,420 円,remaining:4pcs
0,白衣の精霊 白の女王(ホロ),DAL/WE33-026,320 円,remaining:6pcs
0,“<狂々帝>”白の女王(ホロ),DAL/WE33-027,320 円,remaining:5pcs
0,突き付けた銃口 狂三(ホロ),DAL/WE33-005,180 円,remaining:4pcs
