,card_name,card_num,price,status
0,夏の終わり ひな(サイン入り),DBG/W87-001SP,"5,980 円",remaining:1pcs
0,映画撮影の日 成神 空(サイン入り),DBG/W87-002SP,"2,480 円",remaining:×
0,大魔法の日 伊座並 杏子(サイン入り),DBG/W87-027SP,"2,980 円",remaining:×
0,全てを知る者 ひな(サイン入り),DBG/W87-053SP,"12,800 円",remaining:×
0,天使が堕ちる日 神宮司 ひかり(サイン入り),DBG/W87-076SP,"6,980 円",remaining:2pcs
0,闘牌の日 天願 賀子(サイン入り),DBG/W87-077SP,"1,980 円",remaining:×
0,最後の夏 ひな(サイン入り),DBG/W87-T12SP,"7,980 円",remaining:×
0,夏の思い出,DBG/W87-023R,500 円,remaining:3pcs
0,妹のお願い,DBG/W87-024R,180 円,remaining:8pcs
0,堕天使入ります,DBG/W87-025R,320 円,remaining:2pcs
0,大魔法,DBG/W87-048R,420 円,remaining:×
0,神懸かり的な脚本,DBG/W87-050R,"1,980 円",remaining:1pcs
0,神の力,DBG/W87-073R,"2,480 円",remaining:×
0,夜に咲く花,DBG/W87-075R,420 円,remaining:4pcs
0,無限立直,DBG/W87-098R,180 円,remaining:10pcs
0,神との遭遇 成神 空,DBG/W87-T06R,320 円,remaining:5pcs
0,神との邂逅 伊座並 杏子,DBG/W87-T07R,320 円,remaining:◯
0,全知の神 ひな,DBG/W87-T17R,220 円,remaining:×
0,夏の風物詩 ひな,DBG/W87-003S,220 円,remaining:4pcs
0,初めての絵コンテ 成神 空,DBG/W87-004S,320 円,remaining:1pcs
0,夏咲く丘で かなで＆ひな＆友利,DBG/W87-005S,"2,480 円",remaining:×
0,怪しい誘い 神宮司 ひかり,DBG/W87-008S,420 円,remaining:4pcs
0,集いしスタッフ,DBG/W87-021S,980 円,remaining:1pcs
0,夏の風物詩 成神 空,DBG/W87-026S,"2,480 円",remaining:×
0,前に進むために 伊座並 杏子,DBG/W87-028S,420 円,remaining:2pcs
0,祭の日 天願 賀子,DBG/W87-030S,220 円,remaining:×
0,自主映画の撮影 成神 空,DBG/W87-031S,980 円,remaining:×
0,心のままに 伊座並 杏子,DBG/W87-032S,220 円,remaining:2pcs
0,祭の日 成神 空,DBG/W87-033S,180 円,remaining:4pcs
0,遺されたメッセージ,DBG/W87-046S,780 円,remaining:7pcs
0,過ぎ去る日々 ひな,DBG/W87-051S,500 円,remaining:1pcs
0,夏の風物詩 伊座並 杏子,DBG/W87-052S,420 円,remaining:×
0,祭の日 伊座並 杏子,DBG/W87-055S,320 円,remaining:3pcs
0,キュートな女神様 ひな,DBG/W87-057S,220 円,remaining:1pcs
0,宝箱のような思い出,DBG/W87-071S,320 円,remaining:2pcs
0,祭の日 神宮司 ひかり,DBG/W87-079S,180 円,remaining:4pcs
0,リベルタス杯主催者 天願 賀子,DBG/W87-080S,180 円,remaining:◯
0,深い問い,DBG/W87-096S,180 円,remaining:4pcs
0,降臨の日 ひな,DBG/W87-T13S,120 円,remaining:8pcs
0,神の宣託,DBG/W87-T18S,80 円,remaining:◯
0,夏の終わり ひな,DBG/W87-001,320 円,remaining:◯
0,映画撮影の日 成神 空,DBG/W87-002,180 円,remaining:5pcs
0,夏の風物詩 ひな,DBG/W87-003,80 円,remaining:◯
0,夏の風物詩 成神 空,DBG/W87-026,980 円,remaining:×
0,大魔法の日 伊座並 杏子,DBG/W87-027,80 円,remaining:◯
0,過ぎ去る日々 ひな,DBG/W87-051,320 円,remaining:2pcs
0,夏の風物詩 伊座並 杏子,DBG/W87-052,80 円,remaining:◯
0,全てを知る者 ひな,DBG/W87-053,"1,280 円",remaining:◯
0,天使が堕ちる日 神宮司 ひかり,DBG/W87-076,780 円,remaining:◯
0,闘牌の日 天願 賀子,DBG/W87-077,80 円,remaining:◯
0,初めての絵コンテ 成神 空,DBG/W87-004,120 円,remaining:◯
0,夏咲く丘で かなで＆ひな＆友利,DBG/W87-005,500 円,remaining:9pcs
