,card_name,card_num,price,status
0,ドタバタ Morning 音夢(サイン入り),DC/WE40-02SPA,"12,800 円",remaining:×
0,ドタバタ Morning 音夢(サイン入り),DC/WE40-02SPB,"12,800 円",remaining:×
0,うたまると一緒 さくら(サイン入り),DC/WE40-07SP,"7,980 円",remaining:6pcs
0,甘やかしお姉ちゃん 音姫(サイン入り),DC/WE40-12SPA,"39,800 円",remaining:2pcs
0,甘やかしお姉ちゃん 音姫(サイン入り),DC/WE40-12SPB,"29,800 円",remaining:2pcs
0,不器用な愛情表現 由夢(サイン入り),DC/WE40-18SP,"39,800 円",remaining:1pcs
0,まっすぐな気持ち ことり(サイン入り),DC/WE40-19SP,"19,800 円",remaining:1pcs
0,優美な天才美少女 リッカ(サイン入り),DC3/WE40-10SP,"29,800 円",remaining:1pcs
0,魅惑のお誘い シャルル(サイン入り),DC3/WE40-11SP,"17,800 円",remaining:1pcs
0,やまとなでしこ 姫乃(サイン入り),DC3/WE40-20SP,"9,980 円",remaining:1pcs
0,はにかみツインテール サラ(サイン入り),DC3/WE40-24SPA,"19,800 円",remaining:7pcs
0,はにかみツインテール サラ(サイン入り),DC3/WE40-24SPB,"19,800 円",remaining:1pcs
0,幸せを抱きしめて 葵(サイン入り),DC3/WE40-39SP,"17,800 円",remaining:3pcs
0,枯れない桜の下で 有里咲(サイン入り),DC4/WE40-04SP,"69,800 円",remaining:1pcs
0,甘いご褒美 諳子(サイン入り),DC4/WE40-21SP,"5,980 円",remaining:2pcs
0,指輪の交換 二乃(サイン入り),DC4/WE40-26SP,"8,980 円",remaining:×
0,新たなる高みへ！ ひより(サイン入り),DC4/WE40-34SP,"6,980 円",remaining:×
0,波長を合わせる特訓 詩名(サイン入り),DC4/WE40-40SP,"14,800 円",remaining:×
0,これからの未来の話 有里栖(サイン入り),DC4/WE40-41SP,"34,800 円",remaining:1pcs
0,約束したから 愛乃亜(サイン入り),DC5/WE40-08SP,"7,980 円",remaining:1pcs
0,“恋”した魔法使い 瑞花(サイン入り),DC5/WE40-13SP,"19,800 円",remaining:×
0,今にも星が降ってきそうな夜に 可子(サイン入り),DC5/WE40-22SP,"17,800 円",remaining:2pcs
0,二人の大晦日 あいか(サイン入り),DC5/WE40-33SP,"12,800 円",remaining:×
