,card_name,card_num,price,status
0,生粋の冒険者 妖精弓手(サイン入り),GBS/S63-002SP,"3,980 円",remaining:×
0,元気印の幼馴染 牛飼娘(サイン入り),GBS/S63-028SP,"6,980 円",remaining:×
0,滅殺の鉄影 ゴブリンスレイヤー(サイン入り),GBS/S63-030SP,"5,980 円",remaining:×
0,寵愛されし大司教 剣の乙女(サイン入り),GBS/S63-062SP,"12,800 円",remaining:×
0,清廉なる護り手 女神官(サイン入り),GBS/S63-064SP,"12,800 円",remaining:×
0,地母神の御使い 女神官(サイン入り),GBS/S63-T13SP,"12,800 円",remaining:×
0,冒険の色彩,GBS/S63-025R,420 円,remaining:×
0,共に歩む戦友,GBS/S63-027R,420 円,remaining:3pcs
0,LastBreath,GBS/S63-056R,500 円,remaining:×
0,命懸けの死闘,GBS/S63-057R,"1,980 円",remaining:9pcs
0,Brand New Morning,GBS/S63-058R,"5,980 円",remaining:1pcs
0,揺れる乙女の肖像,GBS/S63-096R,220 円,remaining:3pcs
0,大いなる加護,GBS/S63-097R,680 円,remaining:1pcs
0,冒険者のために、あなたのために。,GBS/S63-100R,180 円,remaining:8pcs
0,殲滅の律動,GBS/S63-T09R,420 円,remaining:1pcs
0,縁の下の華 受付嬢,GBS/S63-T11R,320 円,remaining:×
0,慈悲深き心 女神官,GBS/S63-T20R,"7,980 円",remaining:10pcs
0,森人の矜持 妖精弓手,GBS/S63-001S,500 円,remaining:×
0,未知への羨望 妖精弓手,GBS/S63-003S,420 円,remaining:×
0,勇士を訪ねて 妖精弓手,GBS/S63-004S,320 円,remaining:1pcs
0,緻密な戦略 ゴブリンスレイヤー,GBS/S63-029S,"2,480 円",remaining:6pcs
0,魅惑の美貌 魔女,GBS/S63-033S,320 円,remaining:×
0,背負いし宿業 ゴブリンスレイヤー,GBS/S63-034S,780 円,remaining:×
0,はじける活力 牛飼娘,GBS/S63-035S,320 円,remaining:×
0,ギルドの看板娘 受付嬢,GBS/S63-060S,220 円,remaining:×
0,優しき聖職者 女神官,GBS/S63-061S,680 円,remaining:×
0,情熱的な恋慕 剣の乙女,GBS/S63-063S,500 円,remaining:×
0,日常のときめき 受付嬢,GBS/S63-066S,180 円,remaining:×
0,あどけない笑顔 女神官,GBS/S63-067S,180 円,remaining:×
0,まっすぐな瞳 女神官,GBS/S63-068S,680 円,remaining:2pcs
0,純潔の生娘 女神官,GBS/S63-070S,680 円,remaining:×
0,静謐なる佇まい 剣の乙女,GBS/S63-072S,320 円,remaining:×
0,小鬼を殺す者 ゴブリンスレイヤー,GBS/S63-T03S,80 円,remaining:◯
0,地母神の御使い 女神官,GBS/S63-T13S,220 円,remaining:×
0,森人の矜持 妖精弓手,GBS/S63-001,320 円,remaining:×
0,生粋の冒険者 妖精弓手,GBS/S63-002,420 円,remaining:◯
0,元気印の幼馴染 牛飼娘,GBS/S63-028,420 円,remaining:◯
0,緻密な戦略 ゴブリンスレイヤー,GBS/S63-029,"1,480 円",remaining:◯
0,滅殺の鉄影 ゴブリンスレイヤー,GBS/S63-030,180 円,remaining:◯
0,ギルドの看板娘 受付嬢,GBS/S63-060,120 円,remaining:◯
0,優しき聖職者 女神官,GBS/S63-061,420 円,remaining:◯
0,寵愛されし大司教 剣の乙女,GBS/S63-062,980 円,remaining:◯
0,情熱的な恋慕 剣の乙女,GBS/S63-063,220 円,remaining:×
0,清廉なる護り手 女神官,GBS/S63-064,320 円,remaining:◯
0,未知への羨望 妖精弓手,GBS/S63-003,180 円,remaining:◯
0,勇士を訪ねて 妖精弓手,GBS/S63-004,120 円,remaining:◯
0,気前良き酒豪 鉱人道士,GBS/S63-005,80 円,remaining:◯
0,必中の一矢 妖精弓手,GBS/S63-006,80 円,remaining:◯
0,連弾の石礫 鉱人道士,GBS/S63-007,120 円,remaining:◯
0,異端を狩る者 蜥蜴僧侶,GBS/S63-008,120 円,remaining:◯
0,本当の絆 ゴブリンスレイヤー,GBS/S63-031,320 円,remaining:◯
0,妖艶な仕草 魔女,GBS/S63-032,80 円,remaining:◯
0,魅惑の美貌 魔女,GBS/S63-033,120 円,remaining:◯
0,背負いし宿業 ゴブリンスレイヤー,GBS/S63-034,180 円,remaining:◯
0,はじける活力 牛飼娘,GBS/S63-035,120 円,remaining:◯
0,《ゲート》のスクロール,GBS/S63-052,120 円,remaining:◯
0,私だけの特別報酬 女神官,GBS/S63-065,120 円,remaining:◯
0,日常のときめき 受付嬢,GBS/S63-066,80 円,remaining:◯
0,あどけない笑顔 女神官,GBS/S63-067,80 円,remaining:◯
0,まっすぐな瞳 女神官,GBS/S63-068,120 円,remaining:◯
0,透き通った素肌 剣の乙女,GBS/S63-069,80 円,remaining:◯
0,純潔の生娘 女神官,GBS/S63-070,180 円,remaining:×
0,必然の大団円 女神官,GBS/S63-071,80 円,remaining:◯
0,静謐なる佇まい 剣の乙女,GBS/S63-072,80 円,remaining:×
0,精一杯の助力 受付嬢,GBS/S63-073,50 円,remaining:◯
0,秘めた本心 剣の乙女,GBS/S63-074,80 円,remaining:◯
0,臨戦態勢 蜥蜴僧侶,GBS/S63-009,50 円,remaining:◯
0,破裂寸前! 妖精弓手,GBS/S63-010,50 円,remaining:◯
0,後方支援 妖精弓手,GBS/S63-011,50 円,remaining:◯
0,歴戦の観察眼 鉱人道士,GBS/S63-012,50 円,remaining:◯
0,竜骨,GBS/S63-023,50 円,remaining:◯
0,サイコロ,GBS/S63-024,50 円,remaining:◯
0,折れない意志 牛飼娘,GBS/S63-036,50 円,remaining:◯
0,ひとときの安寧 牛飼娘,GBS/S63-037,80 円,remaining:◯
0,定められた結末 ゴブリンスレイヤー,GBS/S63-038,120 円,remaining:4pcs
0,ちょっとした親切 魔女,GBS/S63-039,50 円,remaining:◯
0,煌めく凶刃 ゴブリンスレイヤー,GBS/S63-040,50 円,remaining:◯
0,二人の居場所 牛飼娘,GBS/S63-041,80 円,remaining:◯
0,大物狩り 槍使い,GBS/S63-042,50 円,remaining:◯
0,不変のスタンス ゴブリンスレイヤー,GBS/S63-043,50 円,remaining:◯
0,松明,GBS/S63-053,50 円,remaining:◯
0,カナリア,GBS/S63-054,50 円,remaining:◯
0,雑嚢,GBS/S63-055,50 円,remaining:◯
0,激レアショット! 受付嬢,GBS/S63-075,50 円,remaining:◯
0,水の街へようこそ 剣の乙女,GBS/S63-076,50 円,remaining:◯
0,未来のために 受付嬢,GBS/S63-077,50 円,remaining:◯
0,博識の理由 女神官,GBS/S63-078,50 円,remaining:◯
0,切なる依頼 剣の乙女,GBS/S63-079,50 円,remaining:◯
0,ふくれっ面の女神官,GBS/S63-080,50 円,remaining:◯
0,営業スマイル 受付嬢,GBS/S63-081,50 円,remaining:◯
0,いつだって一緒に 女神官,GBS/S63-082,50 円,remaining:◯
0,相談とは何か? 女神官,GBS/S63-083,50 円,remaining:◯
0,黒曜等級証,GBS/S63-094,50 円,remaining:◯
0,処女同衾の奇跡《蘇生》,GBS/S63-095,80 円,remaining:◯
0,抑えきれない興味 妖精弓手,GBS/S63-013,30 円,remaining:◯
0,授けられた奇跡 蜥蜴僧侶,GBS/S63-014,30 円,remaining:◯
0,精霊の酒夢 鉱人道士,GBS/S63-015,30 円,remaining:◯
0,効果抜群の一言 妖精弓手,GBS/S63-016,30 円,remaining:◯
0,念願の味覚 蜥蜴僧侶,GBS/S63-017,30 円,remaining:◯
0,内なる誓い 妖精弓手,GBS/S63-018,30 円,remaining:◯
0,最後の戦い 賢者,GBS/S63-019,30 円,remaining:◯
0,最後の戦い 剣聖,GBS/S63-020,30 円,remaining:◯
0,竜骨より出でし兵士 竜牙兵,GBS/S63-021,30 円,remaining:◯
0,最後の戦い 勇者,GBS/S63-022,30 円,remaining:◯
0,昏睡への誘い 魔女,GBS/S63-044,30 円,remaining:◯
0,怪しい依頼 魔女,GBS/S63-045,30 円,remaining:◯
0,そうか縛り ゴブリンスレイヤー,GBS/S63-046,30 円,remaining:◯
0,星空の下で 牛飼娘,GBS/S63-047,30 円,remaining:◯
0,焼尽の火矢 ゴブリンスレイヤー,GBS/S63-048,30 円,remaining:◯
0,銀の勇躍 ゴブリンスレイヤー,GBS/S63-049,30 円,remaining:◯
0,健康優良 牛飼娘,GBS/S63-050,30 円,remaining:◯
0,辺境最強の意地 槍使い,GBS/S63-051,30 円,remaining:◯
0,独断の機転 女神官,GBS/S63-084,30 円,remaining:◯
