,card_name,card_num,price,status
0,銃は剣よりも強し ホル・ホース(サイン入り),JJ/SE41-07SP,"3,980 円",remaining:6pcs
0,完全なる存在 DIO&ザ・ワールド(サイン入り),JJ/SE41-17SP,"19,800 円",remaining:5pcs
0,勝利をその手に ポルナレフ&シルバーチャリオッツ(サイン入り),JJ/SE41-38SP,"7,980 円",remaining:×
0,火炎の創造 アヴドゥル&マジシャンズレッド(サイン入り),JJ/SE41-49SP,"9,980 円",remaining:3pcs
0,強固な精神 花京院&ハイエロファントグリーン(サイン入り),JJ/SE41-51SP,"7,980 円",remaining:1pcs
0,自由な生き様 イギー&ザ・フール(サイン入り),JJ/SE41-52SP,"9,980 円",remaining:×
0,希望の星 承太郎&スタープラチナ(サイン入り),JJ/SE41-53SP,"24,800 円",remaining:×
0,過去最高の力 DIO(箔押し入り),JJ/SE41-01J,"1,480 円",remaining:×
0,地獄の門番 ペット・ショップ(箔押し入り),JJ/SE41-02J,180 円,remaining:◯
0,「セト神」のアレッシー(箔押し入り),JJ/SE41-03J,420 円,remaining:×
0,テレンス・T・ダービー&アトゥム神(箔押し入り),JJ/SE41-04J,180 円,remaining:◯
0,傲岸不遜 DIO(箔押し入り),JJ/SE41-05J,220 円,remaining:4pcs
0,亜空の瘴気 ヴァニラ・アイス(箔押し入り),JJ/SE41-06J,220 円,remaining:3pcs
0,銃は剣よりも強し ホル・ホース(箔押し入り),JJ/SE41-07J,420 円,remaining:3pcs
0,「ゲブ神」のンドゥール(箔押し入り),JJ/SE41-08J,220 円,remaining:3pcs
0,「バステト女神」のマライア(箔押し入り),JJ/SE41-09J,220 円,remaining:◯
0,無敵の兄弟 オインゴ&ボインゴ(箔押し入り),JJ/SE41-10J,220 円,remaining:◯
0,冥府の神 アヌビス神(箔押し入り),JJ/SE41-11J,220 円,remaining:7pcs
0,ダニエル・J・ダービー&オシリス神(箔押し入り),JJ/SE41-12J,220 円,remaining:5pcs
0,最後の攻撃 DIO(箔押し入り),JJ/SE41-13J,420 円,remaining:8pcs
0,絶対的存在 DIO(箔押し入り),JJ/SE41-14J,420 円,remaining:10pcs
0,おぞましい処刑 DIO(箔押し入り),JJ/SE41-15J,420 円,remaining:◯
0,スガスガしい気分 DIO(箔押し入り),JJ/SE41-16J,780 円,remaining:×
0,完全なる存在 DIO&ザ・ワールド(箔押し入り),JJ/SE41-17J,"1,980 円",remaining:8pcs
0,DIOの世界(箔押し入り),JJ/SE41-18J,180 円,remaining:◯
0,ホル・ホースの人生哲学(箔押し入り),JJ/SE41-19J,320 円,remaining:7pcs
0,スタンドラッシュ!!(箔押し入り),JJ/SE41-20J,320 円,remaining:◯
0,止まった時の世界(箔押し入り),JJ/SE41-21J,"1,480 円",remaining:1pcs
0,焼き尽くす炎 アヴドゥル(箔押し入り),JJ/SE41-22J,680 円,remaining:×
0,命懸けの戦い イギー(箔押し入り),JJ/SE41-23J,180 円,remaining:◯
0,仇敵を探せ ポルナレフ(箔押し入り),JJ/SE41-24J,180 円,remaining:◯
0,歴戦の導き手 ジョセフ&ハーミットパープル(箔押し入り),JJ/SE41-25J,680 円,remaining:8pcs
0,咄嗟の反応 アヴドゥル(箔押し入り),JJ/SE41-26J,320 円,remaining:◯
0,熱くクールに 承太郎(箔押し入り),JJ/SE41-27J,"1,280 円",remaining:◯
0,ジョースター家の伝統 承太郎(箔押し入り),JJ/SE41-28J,500 円,remaining:◯
0,好物のチェリー 花京院(箔押し入り),JJ/SE41-29J,420 円,remaining:×
0,オラオララッシュ 承太郎&スタープラチナ(箔押し入り),JJ/SE41-30J,500 円,remaining:5pcs
0,打開の一手 花京院(箔押し入り),JJ/SE41-31J,"2,480 円",remaining:◯
0,戦いの年季 ジョセフ(箔押し入り),JJ/SE41-32J,320 円,remaining:1pcs
0,目にも止まらぬ速さ ポルナレフ&シルバーチャリオッツ(箔押し入り),JJ/SE41-33J,220 円,remaining:◯
0,唯一の方法 承太郎(箔押し入り),JJ/SE41-34J,420 円,remaining:10pcs
0,頼りになる仲間 花京院(箔押し入り),JJ/SE41-35J,220 円,remaining:◯
0,振り絞った命 イギー(箔押し入り),JJ/SE41-36J,220 円,remaining:◯
0,「魂」のオールイン 承太郎(箔押し入り),JJ/SE41-37J,320 円,remaining:◯
0,勝利をその手に ポルナレフ&シルバーチャリオッツ(箔押し入り),JJ/SE41-38J,680 円,remaining:×
0,帰ってきた男 アヴドゥル(箔押し入り),JJ/SE41-39J,220 円,remaining:◯
0,愛を求めるポルナレフ(箔押し入り),JJ/SE41-40J,420 円,remaining:4pcs
0,波紋疾走 ジョセフ(箔押し入り),JJ/SE41-41J,220 円,remaining:◯
0,土壇場での強さ 承太郎(箔押し入り),JJ/SE41-42J,980 円,remaining:10pcs
0,流星指刺 承太郎(箔押し入り),JJ/SE41-43J,420 円,remaining:2pcs
0,夢の中 花京院(箔押し入り),JJ/SE41-44J,220 円,remaining:◯
0,遠隔地の念写 ジョセフ(箔押し入り),JJ/SE41-45J,220 円,remaining:◯
0,エジプト上陸 承太郎(箔押し入り),JJ/SE41-46J,220 円,remaining:◯
0,夢の中 ハイエロファントグリーン(箔押し入り),JJ/SE41-47J,320 円,remaining:8pcs
0,遺志を胸に ポルナレフ(箔押し入り),JJ/SE41-48J,220 円,remaining:◯
0,火炎の創造 アヴドゥル&マジシャンズレッド(箔押し入り),JJ/SE41-49J,500 円,remaining:1pcs
0,止まらぬ追撃 承太郎(箔押し入り),JJ/SE41-50J,320 円,remaining:4pcs
0,強固な精神 花京院&ハイエロファントグリーン(箔押し入り),JJ/SE41-51J,500 円,remaining:7pcs
0,自由な生き様 イギー&ザ・フール(箔押し入り),JJ/SE41-52J,"1,780 円",remaining:5pcs
0,希望の星 承太郎&スタープラチナ(箔押し入り),JJ/SE41-53J,"1,780 円",remaining:×
