,card_name,card_num,price,status
0,エンリコ・P&Ws(サイン入り),JJ/SE42-13SP,"6,980 円",remaining:×
0,父を救うため 徐倫&S・F(サイン入り),JJ/SE42-29SP,"29,800 円",remaining:×
0,託された「希望」 E・アルニーニョ(サイン入り),JJ/SE42-31SP,"3,480 円",remaining:×
0,惚れた弱み ナルシソ・A&D・D(サイン入り),JJ/SE42-43SP,"4,980 円",remaining:×
0,本物の「知性」 フー・F(サイン入り),JJ/SE42-45SP,"3,980 円",remaining:×
0,姉御肌 E・コステロ&Ki(サイン入り),JJ/SE42-48SP,"3,980 円",remaining:1pcs
0,譲れない戦い ウェザー・R&W・R(サイン入り),JJ/SE42-53SP,"7,980 円",remaining:×
0,娘を守るため(サイン入り),JJ/SE42-56SP,"14,800 円",remaining:×
0,2枚のDISC Ws(箔押し入り),JJ/SE42-01J,"3,980 円",remaining:10pcs
0,ヴィヴァーノ・W&P・W(箔押し入り),JJ/SE42-02J,320 円,remaining:◯
0,緑色の赤ちゃん(箔押し入り),JJ/SE42-03J,680 円,remaining:1pcs
0,孤独な数字 エンリコ・P(箔押し入り),JJ/SE42-04J,320 円,remaining:◯
0,運命の手引き エンリコ・P(箔押し入り),JJ/SE42-05J,180 円,remaining:◯
0,ドナテロ・ヴェルサス&U・W(箔押し入り),JJ/SE42-06J,220 円,remaining:◯
0,ケンゾー&Dr・Dr(箔押し入り),JJ/SE42-07J,220 円,remaining:◯
0,『Su』の使い手 グッチョ(箔押し入り),JJ/SE42-08J,220 円,remaining:◯
0,油断大敵 Y・Y・M(箔押し入り),JJ/SE42-09J,180 円,remaining:◯
0,DIOの信奉者 ジョンガリ・A(箔押し入り),JJ/SE42-10J,420 円,remaining:1pcs
0,グェス&G・G・D(箔押し入り),JJ/SE42-11J,220 円,remaining:×
0,死の先 S・マックス(箔押し入り),JJ/SE42-12J,220 円,remaining:◯
0,エンリコ・P&Ws(箔押し入り),JJ/SE42-13J,680 円,remaining:×
0,社会への鬱憤 ウンガロ(箔押し入り),JJ/SE42-14J,220 円,remaining:◯
0,リキエル&S・H(箔押し入り),JJ/SE42-15J,220 円,remaining:×
0,14の言葉 エンリコ・P(箔押し入り),JJ/SE42-16J,780 円,remaining:2pcs
0,腐った邪悪 サンダー・M(箔押し入り),JJ/SE42-17J,180 円,remaining:◯
0,博打の代償 ミラション(箔押し入り),JJ/SE42-18J,220 円,remaining:◯
0,ミュッチャー・ミューラー&J・H・L(箔押し入り),JJ/SE42-19J,220 円,remaining:◯
0,ラング・ラングラー&J・J・F(箔押し入り),JJ/SE42-20J,220 円,remaining:◯
0,記憶の略取 Ws(箔押し入り),JJ/SE42-21J,220 円,remaining:4pcs
0,重力の支配 C・M(箔押し入り),JJ/SE42-22J,780 円,remaining:×
0,『天国』への到達 エンリコ・P(箔押し入り),JJ/SE42-23J,500 円,remaining:◯
0,無限大の加速 M・I・H(箔押し入り),JJ/SE42-24J,500 円,remaining:◯
0,『天国』の追求(箔押し入り),JJ/SE42-25J,680 円,remaining:×
0,DISCを巡る攻防(箔押し入り),JJ/SE42-26J,220 円,remaining:×
0,新しい世界(箔押し入り),JJ/SE42-27J,500 円,remaining:◯
0,宿敵との決着 ウェザー・R(箔押し入り),JJ/SE42-28J,220 円,remaining:◯
0,父を救うため 徐倫&S・F(箔押し入り),JJ/SE42-29J,"3,480 円",remaining:×
0,不思議なシール E・コステロ(箔押し入り),JJ/SE42-30J,320 円,remaining:◯
0,託された「希望」 E・アルニーニョ(箔押し入り),JJ/SE42-31J,220 円,remaining:5pcs
0,記憶喪失 ウェザー・R(箔押し入り),JJ/SE42-32J,320 円,remaining:4pcs
0,F・F弾を喰らえ フー・F(箔押し入り),JJ/SE42-33J,320 円,remaining:7pcs
0,受け継がれたスタンド W・R(箔押し入り),JJ/SE42-34J,220 円,remaining:◯
0,尽きない闘志 徐倫(箔押し入り),JJ/SE42-35J,"1,480 円",remaining:×
0,知恵比べ フー・F(箔押し入り),JJ/SE42-36J,420 円,remaining:◯
0,一対一 ナルシソ・A(箔押し入り),JJ/SE42-37J,180 円,remaining:◯
0,戦いの凄み 徐倫(箔押し入り),JJ/SE42-38J,500 円,remaining:2pcs
0,天候操作 ウェザー・R&W・R(箔押し入り),JJ/SE42-39J,180 円,remaining:×
0,スタンド使いとの出会い E・コステロ(箔押し入り),JJ/SE42-40J,180 円,remaining:◯
0,分裂と合体 E・コステロ&Ki(箔押し入り),JJ/SE42-41J,420 円,remaining:◯
0,自在な糸 徐倫&S・F(箔押し入り),JJ/SE42-42J,320 円,remaining:◯
0,惚れた弱み ナルシソ・A&D・D(箔押し入り),JJ/SE42-43J,220 円,remaining:◯
0,精神の成長 徐倫(箔押し入り),JJ/SE42-44J,980 円,remaining:1pcs
0,本物の「知性」 フー・F(箔押し入り),JJ/SE42-45J,220 円,remaining:◯
0,別れの言葉 フー・F(箔押し入り),JJ/SE42-46J,320 円,remaining:◯
0,戦い上等 徐倫(箔押し入り),JJ/SE42-47J,320 円,remaining:7pcs
0,姉御肌 E・コステロ&Ki(箔押し入り),JJ/SE42-48J,220 円,remaining:◯
0,命を懸けた作戦 ナルシソ・A(箔押し入り),JJ/SE42-49J,220 円,remaining:◯
0,愛と復讐 E・コステロ&Ki(箔押し入り),JJ/SE42-50J,220 円,remaining:◯
0,体内への潜航 ナルシソ・A&D・D(箔押し入り),JJ/SE42-51J,220 円,remaining:4pcs
