,card_name,card_num,price,status
0,家族と絆 流子&マコ,KLK/SP03-01S,500 円,remaining:×
0,“人衣一体”鮮血,KLK/SP03-02S,580 円,remaining:2pcs
0,片太刀鋏武滾流猛怒 流子,KLK/SP03-03S,500 円,remaining:×
0,“暴走”流子,KLK/SP03-04S,580 円,remaining:×
0,“鮮血更衣”流子,KLK/SP03-05S,500 円,remaining:×
0,“神衣純潔”皐月,KLK/SP03-06S,780 円,remaining:×
0,人類の生存のために 皐月,KLK/SP03-07S,220 円,remaining:×
0,迷いなき志 皐月,KLK/SP03-08S,180 円,remaining:×
0,家族と絆 流子&マコ,KLK/SP03-01,320 円,remaining:5pcs
0,“人衣一体”鮮血,KLK/SP03-02,420 円,remaining:×
0,片太刀鋏武滾流猛怒 流子,KLK/SP03-03,320 円,remaining:2pcs
0,“暴走”流子,KLK/SP03-04,420 円,remaining:4pcs
0,“鮮血更衣”流子,KLK/SP03-05,320 円,remaining:3pcs
0,“神衣純潔”皐月,KLK/SP03-06,500 円,remaining:×
0,人類の生存のために 皐月,KLK/SP03-07,180 円,remaining:◯
0,迷いなき志 皐月,KLK/SP03-08,120 円,remaining:◯
0,野望のために 縫,KLK/SP03-09,320 円,remaining:◯
0,冬の光景 流子,KLK/SP03-10,320 円,remaining:×
