,card_name,card_num,price,status
0,渚の天使 マリエール(サイン入り),LH/SE20-01SP,"5,980 円",remaining:×
0,主君の忍 アカツキ(サイン入り),LH/SE20-03SP,"9,980 円",remaining:×
0,記録の地平線代表 シロエ(サイン入り),LH/SE20-28SP,"12,800 円",remaining:×
0,アカツキ(サイン入り),LH/SE20-T02SP,"7,980 円",remaining:×
0,アカツキ,LH/SE20-T02R,500 円,remaining:×
0,シロエ,LH/SE20-T15R,320 円,remaining:5pcs
0,付与術師 シロエ,LH/SE20-T17S,180 円,remaining:2pcs
0,渚の天使 マリエール,LH/SE20-01,580 円,remaining:×
0,暗殺者 アカツキ,LH/SE20-02,180 円,remaining:2pcs
0,主君の忍 アカツキ,LH/SE20-03,"1,280 円",remaining:4pcs
0,にゃん太,LH/SE20-26,180 円,remaining:◯
0,戦場哨戒 ミノリ,LH/SE20-27,180 円,remaining:◯
0,記録の地平線代表 シロエ,LH/SE20-28,"1,280 円",remaining:8pcs
0,三日月同盟 セララ,LH/SE20-04,120 円,remaining:6pcs
0,五十鈴,LH/SE20-05,120 円,remaining:6pcs
0,おしゃれは苦手? アカツキ,LH/SE20-06,120 円,remaining:◯
0,冒険者 ルンデルハウス,LH/SE20-07,120 円,remaining:◯
0,セララ,LH/SE20-08,120 円,remaining:◯
0,乙女心 アカツキ,LH/SE20-09,120 円,remaining:3pcs
0,全力管制戦闘 シロエ,LH/SE20-29,120 円,remaining:◯
0,ふたりでワルツを シロエ,LH/SE20-30,120 円,remaining:◯
0,記録の地平線 にゃん太,LH/SE20-31,220 円,remaining:◯
0,世界を変える決意 シロエ,LH/SE20-32,120 円,remaining:◯
0,頼れる相棒 直継,LH/SE20-33,120 円,remaining:◯
0,守護戦士 直継,LH/SE20-34,120 円,remaining:◯
0,ルディの飼い主? 五十鈴,LH/SE20-10,120 円,remaining:◯
0,ふたりでワルツを アカツキ,LH/SE20-11,80 円,remaining:3pcs
0,ヘンリエッタ,LH/SE20-12,50 円,remaining:◯
0,頼りになる会計士 ヘンリエッタ,LH/SE20-13,50 円,remaining:◯
0,寡黙な仕事人 アカツキ,LH/SE20-14,180 円,remaining:8pcs
0,妖術師 ルンデルハウス,LH/SE20-15,50 円,remaining:◯
0,ギルドマスター シロエ,LH/SE20-35,50 円,remaining:◯
0,レイネシア,LH/SE20-36,80 円,remaining:◯
0,ソウジロウ,LH/SE20-37,80 円,remaining:◯
0,みんなの班長 にゃん太,LH/SE20-38,50 円,remaining:◯
0,クラスティ,LH/SE20-39,50 円,remaining:◯
0,ミノリ,LH/SE20-40,50 円,remaining:◯
0,ルンデルハウス,LH/SE20-16,30 円,remaining:◯
0,にゃん太さん大好き セララ,LH/SE20-17,30 円,remaining:◯
0,クレセントムーン店長 マリエール,LH/SE20-18,30 円,remaining:◯
0,小竜,LH/SE20-19,30 円,remaining:◯
0,ぷちアカツキ,LH/SE20-20,30 円,remaining:5pcs
0,施療神官 マリエール,LH/SE20-21,30 円,remaining:◯
0,吟遊詩人 五十鈴,LH/SE20-22,30 円,remaining:◯
0,着せ替えアカツキちゃん,LH/SE20-23,80 円,remaining:◯
0,乙女心 ミノリ,LH/SE20-41,30 円,remaining:◯
0,ぷち直継,LH/SE20-42,30 円,remaining:◯
0,武士 トウヤ,LH/SE20-43,120 円,remaining:◯
0,トウヤ,LH/SE20-44,30 円,remaining:◯
0,ぷちシロエ,LH/SE20-45,30 円,remaining:◯
0,筆写師 シロエ,LH/SE20-46,30 円,remaining:◯
0,アイザック,LH/SE20-47,30 円,remaining:◯
0,マインドショック,LH/SE20-48,50 円,remaining:◯
0,ふたりでワルツを,LH/SE20-24,320 円,remaining:5pcs
0,三日月同盟,LH/SE20-25,80 円,remaining:◯
0,記録の地平線,LH/SE20-49,80 円,remaining:◯
0,略式・全力管制戦闘,LH/SE20-50,120 円,remaining:8pcs
0,森呪遣い セララ,LH/SE20-T01,30 円,remaining:◯
0,アカツキ,LH/SE20-T02,180 円,remaining:5pcs
0,念話するマリエール,LH/SE20-T03,120 円,remaining:3pcs
0,正体は美少女 アカツキ,LH/SE20-T04,30 円,remaining:◯
0,照れるアカツキ,LH/SE20-T05,120 円,remaining:◯
0,三日月同盟会計 ヘンリエッタ,LH/SE20-T06,50 円,remaining:◯
0,三日月同盟代表 マリエール,LH/SE20-T07,50 円,remaining:◯
0,怒りのアカツキ,LH/SE20-T08,30 円,remaining:◯
0,アサシネイト,LH/SE20-T09,80 円,remaining:7pcs
0,料理人 にゃん太,LH/SE20-T10,80 円,remaining:8pcs
0,グリフォンに乗る シロエ,LH/SE20-T11,30 円,remaining:◯
0,盗剣士 にゃん太,LH/SE20-T12,120 円,remaining:◯
0,初めての実戦 直継,LH/SE20-T13,30 円,remaining:◯
0,余裕の表情 シロエ,LH/SE20-T14,80 円,remaining:◯
0,シロエ,LH/SE20-T15,120 円,remaining:7pcs
0,直継,LH/SE20-T16,30 円,remaining:◯
0,付与術師 シロエ,LH/SE20-T17,180 円,remaining:2pcs
0,付与術師の援護,LH/SE20-T18,80 円,remaining:9pcs
0,精緻な連携,LH/SE20-T19,80 円,remaining:◯
0,初めての戦利品,LH/SE20-T20,80 円,remaining:10pcs
0,渚の天使 マリエール(ホロ),LH/SE20-01,680 円,remaining:6pcs
0,暗殺者 アカツキ(ホロ),LH/SE20-02,320 円,remaining:×
0,主君の忍 アカツキ(ホロ),LH/SE20-03,"1,480 円",remaining:◯
0,にゃん太(ホロ),LH/SE20-26,220 円,remaining:◯
0,戦場哨戒 ミノリ(ホロ),LH/SE20-27,220 円,remaining:◯
0,記録の地平線代表 シロエ(ホロ),LH/SE20-28,"1,480 円",remaining:◯
0,三日月同盟 セララ(ホロ),LH/SE20-04,180 円,remaining:1pcs
0,五十鈴(ホロ),LH/SE20-05,180 円,remaining:◯
0,おしゃれは苦手? アカツキ(ホロ),LH/SE20-06,180 円,remaining:◯
0,冒険者 ルンデルハウス(ホロ),LH/SE20-07,180 円,remaining:◯
0,セララ(ホロ),LH/SE20-08,180 円,remaining:◯
0,乙女心 アカツキ(ホロ),LH/SE20-09,180 円,remaining:1pcs
0,全力管制戦闘 シロエ(ホロ),LH/SE20-29,180 円,remaining:◯
0,ふたりでワルツを シロエ(ホロ),LH/SE20-30,180 円,remaining:◯
0,記録の地平線 にゃん太(ホロ),LH/SE20-31,320 円,remaining:3pcs
0,世界を変える決意 シロエ(ホロ),LH/SE20-32,180 円,remaining:7pcs
0,頼れる相棒 直継(ホロ),LH/SE20-33,180 円,remaining:◯
0,守護戦士 直継(ホロ),LH/SE20-34,180 円,remaining:×
0,ルディの飼い主? 五十鈴(ホロ),LH/SE20-10,180 円,remaining:◯
0,ふたりでワルツを アカツキ(ホロ),LH/SE20-11,120 円,remaining:◯
0,ヘンリエッタ(ホロ),LH/SE20-12,80 円,remaining:◯
0,頼りになる会計士 ヘンリエッタ(ホロ),LH/SE20-13,80 円,remaining:◯
0,寡黙な仕事人 アカツキ(ホロ),LH/SE20-14,220 円,remaining:3pcs
0,妖術師 ルンデルハウス(ホロ),LH/SE20-15,80 円,remaining:◯
0,ギルドマスター シロエ(ホロ),LH/SE20-35,80 円,remaining:◯
0,レイネシア(ホロ),LH/SE20-36,120 円,remaining:3pcs
0,ソウジロウ(ホロ),LH/SE20-37,120 円,remaining:5pcs
0,みんなの班長 にゃん太(ホロ),LH/SE20-38,80 円,remaining:◯
0,クラスティ(ホロ),LH/SE20-39,80 円,remaining:10pcs
0,ミノリ(ホロ),LH/SE20-40,80 円,remaining:◯
0,ルンデルハウス(ホロ),LH/SE20-16,50 円,remaining:◯
0,にゃん太さん大好き セララ(ホロ),LH/SE20-17,50 円,remaining:◯
0,クレセントムーン店長 マリエール(ホロ),LH/SE20-18,50 円,remaining:◯
0,小竜(ホロ),LH/SE20-19,50 円,remaining:◯
0,ぷちアカツキ(ホロ),LH/SE20-20,50 円,remaining:3pcs
0,施療神官 マリエール(ホロ),LH/SE20-21,80 円,remaining:6pcs
0,吟遊詩人 五十鈴(ホロ),LH/SE20-22,50 円,remaining:◯
0,着せ替えアカツキちゃん(ホロ),LH/SE20-23,120 円,remaining:◯
0,乙女心 ミノリ(ホロ),LH/SE20-41,50 円,remaining:◯
0,ぷち直継(ホロ),LH/SE20-42,50 円,remaining:◯
0,武士 トウヤ(ホロ),LH/SE20-43,180 円,remaining:×
0,トウヤ(ホロ),LH/SE20-44,50 円,remaining:◯
0,ぷちシロエ(ホロ),LH/SE20-45,50 円,remaining:◯
0,筆写師 シロエ(ホロ),LH/SE20-46,50 円,remaining:◯
0,アイザック(ホロ),LH/SE20-47,50 円,remaining:◯
0,マインドショック(ホロ),LH/SE20-48,80 円,remaining:◯
0,ふたりでワルツを(ホロ),LH/SE20-24,420 円,remaining:×
0,三日月同盟(ホロ),LH/SE20-25,120 円,remaining:◯
0,記録の地平線(ホロ),LH/SE20-49,120 円,remaining:9pcs
0,略式・全力管制戦闘(ホロ),LH/SE20-50,180 円,remaining:10pcs
0,手をとりあって アカツキ,LH/SE20-P01,120 円,remaining:◯
0,手をとりあって シロエ,LH/SE20-P02,120 円,remaining:◯
0,濡羽,LH/SE20-P03,320 円,remaining:×
0,魔法使いの弟子 ミノリ,LH/SE20-P04,420 円,remaining:9pcs
0,絶妙なコンビネーション 五十鈴,LH/SE20-P05,220 円,remaining:◯
