,card_name,card_num,price,status
0,繋がるステージ 天王寺 璃奈(サイン入り),LNJ/W97-001SSP,"9,980 円",remaining:×
0,心に届くステージ 桜坂 しずく(サイン入り),LNJ/W97-002SSP,"39,800 円",remaining:×
0,可愛いが溢れるステージ 中須 かすみ(サイン入り),LNJ/W97-003SSP,"12,800 円",remaining:1pcs
0,アイドルじゃないからできること 高咲 侑(サイン入り),LNJ/W97-031SSP,"34,800 円",remaining:1pcs
0,大好きを叫ぶステージ 優木 せつ菜(サイン入り),LNJ/W97-032SSP,"108,000 円",remaining:1pcs
0,楽しいを分かち合うステージ 宮下 愛(サイン入り),LNJ/W97-033SSP,"24,800 円",remaining:1pcs
0,みんなのためのステージ 上原 歩夢(サイン入り),LNJ/W97-034SSP,"29,800 円",remaining:×
0,高みのステージへ 朝香 果林(サイン入り),LNJ/W97-069SSP,"19,800 円",remaining:1pcs
0,心温まるステージ エマ・ヴェルデ(サイン入り),LNJ/W97-070SSP,"24,800 円",remaining:2pcs
0,夢見るステージ 近江 彼方(サイン入り),LNJ/W97-071SSP,"34,800 円",remaining:3pcs
0,世界で一番のワンダーランド 中須 かすみ(サイン入り),LNJ/W97-004SP,"5,980 円",remaining:2pcs
0,繋がった想い 天王寺 璃奈(サイン入り),LNJ/W97-006SP,"2,980 円",remaining:1pcs
0,役者にしてスクールアイドル 桜坂 しずく(サイン入り),LNJ/W97-007SP,"3,480 円",remaining:1pcs
0,夢に向かって 上原 歩夢(サイン入り),LNJ/W97-036SP,"3,980 円",remaining:×
0,未知なる道へ 宮下 愛(サイン入り),LNJ/W97-038SP,"2,980 円",remaining:×
0,正体不明のスクールアイドル 優木 せつ菜(サイン入り),LNJ/W97-041SP,"5,980 円",remaining:×
0,期待を胸に エマ・ヴェルデ(サイン入り),LNJ/W97-073SP,"9,980 円",remaining:2pcs
0,いつでも全力 近江 彼方(サイン入り),LNJ/W97-075SP,"2,980 円",remaining:2pcs
0,人気読モ 朝香 果林(サイン入り),LNJ/W97-077SP,"2,480 円",remaining:1pcs
0,Cutest ガール,LNJ/W97-028R,680 円,remaining:5pcs
0,しずく、モノクローム,LNJ/W97-029R,500 円,remaining:×
0,笑顔のカタチ(//＞▽＜//),LNJ/W97-030R,320 円,remaining:1pcs
0,花ひらく想い,LNJ/W97-064R,"1,280 円",remaining:1pcs
0,大好きを叫ぶ,LNJ/W97-065R,"1,280 円",remaining:×
0,はじまりのトキメキ,LNJ/W97-066R,320 円,remaining:×
0,未知なるミチ,LNJ/W97-068R,"1,280 円",remaining:4pcs
0,ハルカカナタ,LNJ/W97-098R,"1,980 円",remaining:×
0,仲間でライバル,LNJ/W97-099R,220 円,remaining:1pcs
0,今しかできないことを,LNJ/W97-100R,680 円,remaining:×
0,自分なりの一番 中須 かすみ,LNJ/W97-005S,320 円,remaining:3pcs
0,さらけ出した心 桜坂 しずく,LNJ/W97-008S,220 円,remaining:1pcs
0,スクールアイドルフェスティバル 天王寺 璃奈,LNJ/W97-009S,220 円,remaining:5pcs
0,スクールアイドルフェスティバル 桜坂 しずく,LNJ/W97-010S,320 円,remaining:7pcs
0,虹を咲かせに 桜坂 しずく,LNJ/W97-011S,220 円,remaining:×
0,今の私の精一杯 天王寺 璃奈,LNJ/W97-012S,320 円,remaining:4pcs
0,虹を咲かせに 中須 かすみ,LNJ/W97-013S,320 円,remaining:2pcs
0,虹を咲かせに 天王寺 璃奈,LNJ/W97-014S,180 円,remaining:7pcs
0,スクールアイドルフェスティバル 中須 かすみ,LNJ/W97-015S,180 円,remaining:2pcs
