,card_name,card_num,price,status
0,素敵な旅へご案内♪ 鬼塚 夏美(サイン入り),LSP/WE38-004SP,"5,980 円",remaining:1pcs
0,素敵な旅へご案内♪ 若菜 四季(サイン入り),LSP/WE38-007SP,"4,980 円",remaining:2pcs
0,素敵な旅へご案内♪ 米女 メイ(サイン入り),LSP/WE38-008SP,"4,980 円",remaining:4pcs
0,素敵な旅へご案内♪ 桜小路 きな子(サイン入り),LSP/WE38-011SP,"9,980 円",remaining:×
0,素敵な旅へご案内♪ 嵐 千砂都(サイン入り),LSP/WE38-020SP,"9,980 円",remaining:3pcs
0,素敵な旅へご案内♪ 平安名 すみれ(サイン入り),LSP/WE38-021SP,"4,980 円",remaining:3pcs
0,素敵な旅へご案内♪ 澁谷 かのん(サイン入り),LSP/WE38-027SP,"9,980 円",remaining:3pcs
0,素敵な旅へご案内♪ 唐 可可(サイン入り),LSP/WE38-032SP,"7,980 円",remaining:×
0,素敵な旅へご案内♪ 葉月 恋(サイン入り),LSP/WE38-035SP,"3,980 円",remaining:1pcs
0,素敵な旅へご案内♪ 鬼塚 夏美(箔押し入り),LSP/WE38-004FP,120 円,remaining:◯
0,素敵な旅へご案内♪ 若菜 四季(箔押し入り),LSP/WE38-007FP,120 円,remaining:◯
0,素敵な旅へご案内♪ 米女 メイ(箔押し入り),LSP/WE38-008FP,120 円,remaining:◯
0,素敵な旅へご案内♪ 桜小路 きな子(箔押し入り),LSP/WE38-011FP,220 円,remaining:◯
0,素敵な旅へご案内♪ 嵐 千砂都(箔押し入り),LSP/WE38-020FP,180 円,remaining:◯
0,素敵な旅へご案内♪ 平安名 すみれ(箔押し入り),LSP/WE38-021FP,120 円,remaining:◯
0,素敵な旅へご案内♪ 澁谷 かのん(箔押し入り),LSP/WE38-027FP,120 円,remaining:◯
0,素敵な旅へご案内♪ 唐 可可(箔押し入り),LSP/WE38-032FP,120 円,remaining:◯
0,素敵な旅へご案内♪ 葉月 恋(箔押し入り),LSP/WE38-035FP,120 円,remaining:◯
0,素敵な旅へご案内♪ 鬼塚 夏美,LSP/WE38-004,80 円,remaining:◯
0,素敵な旅へご案内♪ 若菜 四季,LSP/WE38-007,80 円,remaining:◯
0,素敵な旅へご案内♪ 米女 メイ,LSP/WE38-008,80 円,remaining:◯
0,素敵な旅へご案内♪ 桜小路 きな子,LSP/WE38-011,180 円,remaining:◯
0,素敵な旅へご案内♪ 嵐 千砂都,LSP/WE38-020,120 円,remaining:◯
0,素敵な旅へご案内♪ 平安名 すみれ,LSP/WE38-021,80 円,remaining:◯
0,素敵な旅へご案内♪ 澁谷 かのん,LSP/WE38-027,80 円,remaining:◯
0,素敵な旅へご案内♪ 唐 可可,LSP/WE38-032,80 円,remaining:◯
0,素敵な旅へご案内♪ 葉月 恋,LSP/WE38-035,80 円,remaining:◯
0,“繋がる音色”Liella!,LSP/WE38-P04,680 円,remaining:×
